分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
旅遊,是時候，讓自己踏上浪漫冒險了。,https://www.books.com.tw/img/001/092/35/0010923580.jpg,顏溫蒂,尖端,2022/05/12,優惠價：79折 466元,"生命中，都該出現一場名為浪漫的冒險旅程。
微笑，就是我暢遊世界的護照。
橫越地球上的各大洲，跨過許多不同的國境，親吻了35個國家的美麗臉龐。
對我而言，這是人生中極為驚奇的518...more",https://www.books.com.tw/products/0010923580?loc=P_0005_001,"['【統一生機】日曬海鹽加碘立袋 450g/袋', '漫長的紀念 Heart of Gold', '走吧!旅途中或許能找到不同的答案：我在徒步環島中，遇見那些別人眼中的自己', '他從世界的那頭來：2450天，那些旅人寄放在我這的勇氣、信仰和冒險', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '神奇西芹汁：醫療靈媒給你這個時代最有效、療癒全球數百萬人的靈藥', '【經家味】小混蛋(鐵蛋/滷蛋綜合)', '薩提爾的故事溝通：陪孩子練習愛，在愛中學習成長', '練心：李崇建與雨果幼兒園的薩提爾教育實踐', '嬉皮、薩滿、遊牧人生：放逐拉丁美洲420天', '出發後，才開始的故事：真心想做一件事，全世界都會幫你', '結果還是做不到', '好好生活 慢慢相遇：30歲，想把溫柔留給自己', '低風險創業：樊登的創業6大心法', 'Ari 帶著問號往前走']"
旅遊,在台北生存的一百個理由（五版）（大塊文化25週年增修紀念版）（五位作者豪華親簽版）,https://www.books.com.tw/img/001/092/27/0010922731.jpg,"馬世芳,許允斌,姚瑞中,陳光達,黃威融",大塊文化,2022/04/29,優惠價：79折 537元,"◎「台北學」的濫觴，二十五年來無同類書能出其右。
◎馬世芳、許允斌、姚瑞中、陳光達、黃威融二十郎噹歲時的劃時代集體創作。
◎堂堂邁入第五版！2022新版收錄16P全新圖文內容。
◎加贈...more",https://www.books.com.tw/products/0010922731?loc=P_0005_002,"['星星是暗夜的眼睛(靜謐精裝版+限量贈品)', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)', '余英時評政治現實(限量珍藏印章版)', '十字軍首役：以聖戰為名的權力遊戲，形塑歐洲文明的重要之戰【限量作者簽名版】', '外婆 我的故鄉我的家：涂崇聖攝影集【作者親簽版】', '偽魚販指南', '郭婞淳：舉重若輕的婞念(親簽版)', 'GLOW 6月號/2022', '竜樹諒漫畫作品集：我所看到的未來', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '昨日書', '雪佛【首刷限量作者簽名版】：年度散文獎得主王盛弘散文書寫再創新格局作品', '內景唐人街', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', '地下鄉愁藍調 十周年版', '孽子舞台劇二○二○全紀錄(限量簽名版，隨書附贈DVD兌換券)', '精準提問：找到問題解方，培養創意思維、發揮專業影響力的16個提問心法', '不知道的都叫樹', '【muva】舒筋雙享球~按摩肌肉放鬆!', '原生家庭木馬快篩：三步驟解鎖並拋棄繼承家族負向印記']"
旅遊,漫長的紀念 Heart of Gold,https://www.books.com.tw/img/001/092/36/0010923636.jpg,陳浪,尖端,2022/05/10,優惠價：79折 379元,"「走過荒蕪又絢爛的世界，成為溫柔又堅毅的靈魂。」
年度暢銷旅行文學作家陳浪，紀念後疫情時代中的第一趟「遠行」──
▍隻身縱貫美國西岸，追尋自由的5000公里長旅
2021年夏天，來到太平...more",https://www.books.com.tw/products/0010923636?loc=P_0005_003,"['旅行的形狀：影像札記 Into Solitude ： Photo Diary', '我的美麗日記 能亮雙激粹EX?黑珍珠面膜6入 ─修護', '我不懂青春，只懂遠行', '拚命無恙 限定版：林夕.筆風|林夕親筆書法鋁質書籤(兩款隨機出貨)', '是時候，讓自己踏上浪漫冒險了。', '好好再見 不負遇見', '法國法鉑─橄欖油經典馬賽皂─400g', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '郭婞淳：舉重若輕的婞念(親簽版)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '老派少女購物路線', '[MUJI無印良品]自由換芯膠墨筆芯/黑0.7mm', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '他從世界的那頭來：2450天，那些旅人寄放在我這的勇氣、信仰和冒險', 'i【五度入選本屋大賞、直木賞得主 西加奈子 震撼人心之長篇傑作】', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '[MUJI無印良品]自由換芯膠墨筆芯/黑0.38mm', '明年見，明天見(台北星夜版)', '好好生活 慢慢相遇：30歲，想把溫柔留給自己', '永遠的哥哥張國榮(博客來獨家PET雋永珍藏卡組)']"
旅遊,環遊日本摩托車日記【精裝版】：走遍47都道府縣、1741市町村，看見最美麗的日本風景,https://www.books.com.tw/img/001/092/45/0010924566.jpg,仁科勝介,日出出版,2022/05/23,優惠價：79折 988元,"「走訪完所有市町村後，究竟能看到什麼樣的風景呢？
我只是想知道這個，就踏上旅程了。」
▲帶你拜訪你熟悉、與不熟悉的日本
▲最真實、無修飾的日本原鄉風景
▲在這本書中，有1741個日本的故事
日本共...more",https://www.books.com.tw/products/0010924566?loc=P_0005_004,"['《王德傳》2021臨滄春蕊原葉研磨濾掛茶 8入', '《王德傳》金萱烏龍原葉研磨濾掛茶 8入', '葛飾北齋の浮世繪設計力【博客來獨家.書衣海報版】：入門學欣賞，藝術、攝影、設計人學會活用超高段的日式美學神髓', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', '日系攝影：探究日本美學的表現與本質', '【中衛】醫療口罩1盒入(50片/盒)─ 青蘋綠', '全世界旅人都想去大阪限量套書：大阪滋味+復刻日式老店的美味料理手帳', '【新竹福源】花生芝麻蛋捲', '【日本咖啡時光套書】(二冊)：《京都喫茶記事》、《日本純喫茶物語》', '大和日記：西日本(博客來獨家贈 小林の沒禮貌旅行筆記本+西日本【日車‧夜車】紀念車票書籤)']"
旅遊,走吧！旅途中或許能找到不同的答案：我在徒步環島中，遇見那些別人眼中的自己,https://www.books.com.tw/img/001/092/22/0010922297.jpg,Joyce,台灣東販,2022/04/27,優惠價：9折 315元,"徒步環島的路上，每個人都朝著不同的目標前進，
即便是同樣的路也有不同的領悟，而這些都得靠自己慢慢感受。
相信所有的迷惘都能在68天1046公里的徒步環島中找到正確的方向
 
電影《朝聖之...more",https://www.books.com.tw/products/0010922297?loc=P_0005_005,"['全台旅行景點提案：在台灣就很好玩!一次網羅100個吃喝玩樂好去處', '他從世界的那頭來：2450天，那些旅人寄放在我這的勇氣、信仰和冒險', '在遺憾之前，用力去愛：橫跨歐亞的單車慢旅，找回生活的意義', '是時候，讓自己踏上浪漫冒險了。', '北台灣一日小旅行：基北8條路線X桃竹5大特區X宜蘭35個吃喝玩樂要點', 'Keith純鈦 Ti5311湯匙叉子開瓶器掛勾(附收納袋)', '【中衛 W博拭】酒精濕紙巾 1袋入(10片/袋)', '早知道就待在家【歲月的印記典藏版】', '走在夢想的路上', '菜市.台南', '因為尋找，所以看見：一個人的朝聖之路 【限量：作者親簽版】', '穿越撒哈拉：流浪，走向風沙未竟之地', '魔術方塊', '療癒的飲食與斷食：新時代的個人營養學', '原來有這站：台灣秘境鐵道旅，探訪山城聚落、海岸風景、特色景點的火車深度漫遊提案', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '【SunFlower三花】50_三花1/2男女適用休閒襪(襪子/短襪)黑', '好客民宿50+：旅途中另一個家，暖暖的幸福味不想錯過!', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '千里步道，環島慢行']"
旅遊,他從世界的那頭來：2450天，那些旅人寄放在我這的勇氣、信仰和冒險,https://www.books.com.tw/img/001/091/94/0010919490.jpg,賴小馬,禾禾文化,2022/04/26,優惠價：79折 277元,"//後疫情時代最適合閱讀的旅遊散文//
邁開雙腳才能遇見的遠方，一張沙發卻將世界從遠方迎來

2450天，24國，38座城市，100+背包客

從世界那頭而來
在一座名為宜蘭的小鎮，卸下背包，留下故事……...more",https://www.books.com.tw/products/0010919490?loc=P_0005_006,"['走吧!旅途中或許能找到不同的答案：我在徒步環島中，遇見那些別人眼中的自己', '晨讀10分鐘：運動故事集(附閱讀素養題本)', '內景唐人街', '是時候，讓自己踏上浪漫冒險了。', '文茜說世紀典範人物之二：從平凡到不平凡的─梅克爾、羅斯福夫人、杜魯門', '失落的衛星：深入中亞大陸的旅程', '偽魚販指南', '我一個人走走停停：美好日常的小旅行', '像樹那樣生活：改變韓國十萬讀者，從樹木身上學到35項堅毅的人生智慧', '最討厭的哥哥死了：被迫出來收屍的妹妹、前妻，還有女兒，又恨又哭加上一點笑聲的五日紀事', '漫長的紀念 Heart of Gold', '星期五的書店：夏天與汽水', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '【DUYAN 竹漾】Cool─Fi 瞬間涼感6D冰涼墊 / 加大 / 湖水綠', '你好，這裡是記憶花店', '走進布農的山', '【日本ARIEL】新升級超濃縮深層抗菌除臭洗衣精 630g補充包x12包 室內晾衣型', '從你的全世界路過', 'Yopokki 泡菜罐頭']"
旅遊,北台灣步道攻略完全制霸,https://www.books.com.tw/img/001/092/22/0010922238.jpg,吳俊緯．蒙金蘭．墨刻編輯部,墨刻,2022/04/28,優惠價：79折 379元,"踏上步道，呼吸新鮮空氣、感受大自然的洗禮吧！
北台灣完整步道，內含台北大縱走全收錄！
涵蓋北北基宜桃竹六縣市，戶外郊遊踏青不怕沒處去！
依照難易度分類，方便規劃行程。
步道狀況、路程...more",https://www.books.com.tw/products/0010922238?loc=P_0005_007,"['小店不敗!低成本也能說好故事、抓住人心的個人餐飲店經營術', '【德國BRITA】MAXTRA Plus 濾芯全效型(3入裝)', '一個操盤手的虧損自白：長銷30年的獲利經典', '【日本咖啡時光套書】(二冊)：《京都喫茶記事》、《日本純喫茶物語》', '這樣解痛，才是聖經!!：所有疼痛，該整的是神經(附示範影片QR碼)', '桃竹苗自然步道100', '大台北步道 100 影音增強版：PLUS 達人全程帶隊']"
旅遊,全世界旅人都想去大阪限量套書：大阪滋味＋復刻日式老店的美味料理手帳,https://www.books.com.tw/img/001/092/39/0010923900.jpg,"江弘毅,丫曼達",橙實文化,2022/05/20,優惠價：79折 315元,"當你想念起日本的復古風情巷弄時，
當你想吃點日式街頭美食時，
這本套書能給你雙重的視覺、味覺滿足感！
 
大阪滋味
─連美食記者都讚不絕口的私藏美味餐館
&
復刻日式老店的美味料理手帳
─21道在...more",https://www.books.com.tw/products/0010923900?loc=P_0005_008,['環遊日本摩托車日記【精裝版】：走遍47都道府縣、1741市町村，看見最美麗的日本風景']
旅遊,日本懷古城鎮散步：文化．美食．手繪地圖，深入走訪 65個被時空遺忘的寧靜古鎮,https://www.books.com.tw/img/001/092/20/0010922065.jpg,瑞昇,more,2022/04/20,優惠價：9折 342元,"文化X美食X手繪地圖 
深入走訪65個被時空遺忘的寧靜古鎮
來一趟遠離喧囂的浪漫歷史之旅
感受日本傳統景緻的山中村落
見證時代更迭後的新．老街風情
 
#古色古香#人文風情#去商業化
 
煩膩了...more",https://www.books.com.tw/products/0010922065?loc=P_0005_009,"['大和日記：西日本(博客來獨家贈 小林の沒禮貌旅行筆記本+西日本【日車‧夜車】紀念車票書籤)', '[MUJI 無印良品]棉棒(補充用)/200支', '[MUJI無印良品]女棉混足口寬鬆舒適直角襪四雙組 柔白23~25cm', '風起臺灣Be Sky Taiwan：我想從老鷹的背上俯瞰全世界，發現臺灣。', '【台東地區農會 】夏雪芒果果醬230公克', '屁屁偵探動畫漫畫4 噗噗 怪盜U喜歡熱呼呼']"
旅遊,那些單車旅行教我們的事,https://www.books.com.tw/img/001/092/27/0010922777.jpg,阿拉喜(Alashi),四塊玉文創,2022/04/29,優惠價：79折 362元,"當我2005年決定要單車環北海道時，其他人覺得我不是瘋了，就是傻了。2005年啊！那是個就連說：「我要單車環島！」時，身邊的人都認為你是神經病的保守年代。
只有我的啟蒙老師對我說：「如果現在...more",https://www.books.com.tw/products/0010922777?loc=P_0005_010,"['一個人的自療旅程：去沒人認識你的地方', '李欣頻的環球旅行箱(套書三冊)', '最新版世界行政立體地圖', '孩子，謝謝你，陪著我們流浪', 'Nala’s World，最幸福的旅程：一人一貓的單車環球冒險']"
