分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
宗教命理,你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦,https://www.books.com.tw/img/001/092/25/0010922512.jpg,千里淳風,天下雜誌,2022/04/28,優惠價：79折 292元,"人生總會遇到卡關的時候，我們必須給自己一個機會，
鬆開生命中的執著，停下來化解眼前的痛苦與困境。
工作不順、財務困窘、情人負心、婚姻失和、孩子不如人……。
生活總有那麼多待解的難...more",https://www.books.com.tw/products/0010922512?loc=P_0005_001,"['其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '零阻力改變：華頓商學院爆紅行為科學課，直擊內在弱點，高效自我成長', '別人怎麼對你，都因為你說的話', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '療癒的飲食與斷食：新時代的個人營養學', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '時間，才是最後的答案', '底層邏輯：看清這個世界的底牌', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '記得你是誰(暢銷15萬冊紀念版)：哈佛的最後一堂課', '妳可以乖，但不能不懂男人的壞', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '練心：李崇建與雨果幼兒園的薩提爾教育實踐', '立下界限：卸除生命中不必要的內疚感，找回平靜，成為溫柔且堅定的自己', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '今天雖然很好，但不知道明天會怎樣：別怕受傷，生活就是懂得擁抱傷口再緩慢前行，這樣就很幸福了', '原子習慣：細微改變帶來巨大成就的實證法則']"
宗教命理,其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好,https://www.books.com.tw/img/001/092/21/0010922103.jpg,吳若權,悅知文化,2022/04/25,優惠價：79折 300元,"心理勵志暢銷作家．吳若權
繼《先放手，再放心：我從《心經》學到的人生智慧》，
全新心靈成長作品！
【超值影音課程】
每章皆設計「靈魂練習題」，並結合線上影片，
掃描QRcode，即可延伸閱...more",https://www.books.com.tw/products/0010922103?loc=P_0005_002,"['先放手，再放心：我從《心經》學到的人生智慧', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '愈成熟，愈天真：與自己的內在小孩重逢', '女兒是吸收媽媽情緒長大的：獻給世上所有女兒、母親、女性的自我修復心理學', '再難過，也終會度過：總有那些迷惘、不知所措的時刻──給不知不覺成為大人的你', '別人怎麼對你，都因為你說的話', '顯化效應：每天都能做的「注意力鍊金術」，讓你心想事成', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '原子習慣：細微改變帶來巨大成就的實證法則', '原生家庭木馬快篩：三步驟解鎖並拋棄繼承家族負向印記', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '願所有相遇，都恰逢其時【60萬冊暢銷增訂版】：成為有趣而不扭曲的人，過努力而不糾結的人生', '時間，才是最後的答案', '正面的解讀；逆向的思考：聖嚴法師開導 吳若權筆記 108課人生智慧學習', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '無，生命的最佳狀態：用科學方法消除痛苦與不安', '謙卑的力量：放下，才是真正的抵達', '底層邏輯：看清這個世界的底牌']"
宗教命理,拜、請：信仰與文化的綻放,https://www.books.com.tw/img/001/092/52/0010925266.jpg,洪振傑,開學文化,2022/06/01,優惠價：79折 371元,"拜、請。不僅是請神明的降臨賜福。
我們敬拜、甚至迎請神明入厝供奉，那份虔誠與信念，就如同生活般的自然。
人會老去，而歷史文化與包含著思念記憶的香火將永傳。
 
六十年前...more",https://www.books.com.tw/products/0010925266?loc=P_0005_003,"['粧佛唐興閣黃德勝', '田口護談待客之道：巴哈咖啡館深得人心的服務思惟與店面經營', '圖解台灣陣頭：宋江系統武陣', '火來了，快跑', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '圖解台灣行業神明圖鑑：台南體傳統工藝']"
宗教命理,你擁有世界上所有的時間：用集中感知力，活出沒有極限的人生,https://www.books.com.tw/img/001/092/49/0010924937.jpg,麗莎‧布羅德利,方智,2022/06/01,優惠價：79折 245元,"​你相不相信，你有能力放慢時間，或是延長、彎曲時間？
給所有曾經擔心「時間不夠用」的人，
這本書將永遠改變你看待時間的方式！
 
李欣頻│陳德中│周介偉│安一心│陳嘉堡│馬歇爾．葛...more",https://www.books.com.tw/products/0010924937?loc=P_0005_004,"['咖啡時間的自我對話：5分鐘改寫潛意識，實現任何目標(收錄夢想成真「自我對話腳本」)', '心想事成加值驚喜包!【1書+2日記】3分鐘未來日記：寫下的願望真的都實現了!', '從負債2000萬到奇蹟罩我每一天：8個吸引好運、財富和人緣的超狂變身機制，順應宇宙法則，更快心想事成!', '療癒人與動物的直傳靈氣', '我的一天從4點30分開始：當你酣睡時，有人已醒來實現夢想!', '全方位理財的第一堂課：你一生必學的五大財務規畫', '療癒的飲食與斷食：新時代的個人營養學', 'A大的理財金律：從零存款開始也能越過越好【1書+1夢想筆記本】', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '【統一生機】薑黃綜合堅果隨手包六入組 168g(28g*6包)/袋', '取材.執筆.推敲：《被討厭的勇氣》作者直授，最全面的寫作指南', '沒問題!一切都能稱心如意：善用潛意識，打造夢想人生', '達標：芝大商學院教授親授，意想不到的激勵課', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '長線思維：杜克商學院教授教你，如何在短視的世界成為長遠思考者', '原生家庭木馬快篩：三步驟解鎖並拋棄繼承家族負向印記', '原子習慣：細微改變帶來巨大成就的實證法則', '逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證', '底層邏輯：看清這個世界的底牌', '【中衛 W博拭】酒精濕紙巾 1袋入(10片/袋)']"
宗教命理,跨PRAY,https://www.books.com.tw/img/001/092/54/0010925438.jpg,李協聰,希望之聲文化有限公司,2022/06/01,優惠價：79折 237元,這是一本專屬你的書，世上別無取代！生命的成長無需著急，我們鼓勵你一周、一周地完成操練，一步、一步地踏穩步伐向前行。願神從此刻開啟你靈裡的畫布與稿紙，讓你開始為祂創作，並且開始分享與祝福更...more,https://www.books.com.tw/products/0010925438?loc=P_0005_005,"['【大師兄銷魂麵舖】大師兄銷魂 酥脆雞皮(90g/包)', '婚姻成長學：從聖經出發的幸福夫妻對話練習', '【理膚寶水】青春潔膚凝膠 400ml 超值限定組(溫和控油)', '(4支1包)PILOT變芯筆芯0.4橘紫綠深藍', '你就好好當你自己：不完美也值得被愛的勇氣']"
宗教命理,真我之眼：讓虛幻無所遁形的真實覺醒世界【意識能量學大師進階之作】,https://www.books.com.tw/img/001/092/43/0010924332.jpg,大衛．霍金斯,三采,2022/05/20,優惠價：79折 435元,"★★★意識能量學大師進階之作★★★
揭開最難理解的靈性神祕面紗
★一部關於「人」的終極實相★
 
唯有了解真相，人才能真正脫苦
 
人的痛苦既多元又複雜、既精密又脆弱。每個人一生中總有不少的痛...more",https://www.books.com.tw/products/0010924332?loc=P_0005_006,"['臣服之享：遇萬事皆靜好自在的心提升練習【意識能量學大師經典之作】', '心靈能量：藏在身體裡的大智慧', '療癒的飲食與斷食：新時代的個人營養學', '心電感應大角星：星際馬雅時間飛船計畫(限量附贈：最新「星際旅人13月亮曆法」學習手冊)', '從負債2000萬到奇蹟罩我每一天：8個吸引好運、財富和人緣的超狂變身機制，順應宇宙法則，更快心想事成!', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '潛富：成為真正富人的潛意識關鍵【潛意識大師經典致富法則】', '原生家庭木馬快篩：三步驟解鎖並拋棄繼承家族負向印記', '老神再在Ⅳ：乘風展翼', '意念使用手冊：瞬間改變時間和空間的量子習慣', '在定靜中成為自己：體會活在當下的自由與喜悅', '醫療靈媒：慢性與難解疾病背後的祕密，以及健康的終極之道', '顯化效應：每天都能做的「注意力鍊金術」，讓你心想事成', '星際種子神諭卡：喚醒靈魂的記憶，釋放你的內在天賦和使命', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '【L’ERBOLARIO 蕾莉歐】忍冬植物香氛皂100g', '【午茶夫人】康福茶─10入/袋']"
宗教命理,老神再在Ⅳ：乘風展翼,https://www.books.com.tw/img/001/092/53/0010925329.jpg,謝明杰,商周出版,2022/06/02,優惠價：79折 300元,"看見真相即解脫！得知真理就自由！
 
2020年的開頭，世紀病毒席捲，全球許多國家開始鎖國、封城，人類的經濟活動和自由度受到重創⋯⋯
 
這時你會發現，「不安全感」才是人類生命所有問題的根源...more",https://www.books.com.tw/products/0010925329?loc=P_0005_007,"['老神再在Ⅲ：破繭而出(修訂版)', '懂你自己，才能做你自己：謝明杰不專業修行筆記', '老神再在套書組3 (老神再在【暢銷修訂版】：奇蹟對話錄 + 老神再在II【暢銷修訂版】：愛的覺醒)', '老神再在(暢銷修訂版)：奇蹟對話錄', '古今八字六百造', '六十甲子論命術', '老神再在II(暢銷修訂版)：愛的覺醒', '從負債2000萬到奇蹟罩我每一天：8個吸引好運、財富和人緣的超狂變身機制，順應宇宙法則，更快心想事成!', '靈售力：你不會得到你想要的，你會得到你相信的。', '原生家庭木馬快篩：三步驟解鎖並拋棄繼承家族負向印記', '《聖祖貢糖》原味貢糖(12入/包)', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '不動怒，與亞斯伯格症孩子親近溝通', '醫療靈媒：慢性與難解疾病背後的祕密，以及健康的終極之道', '顯化效應：每天都能做的「注意力鍊金術」，讓你心想事成', '扒扒飯─雙椒醬', '真我之眼：讓虛幻無所遁形的真實覺醒世界【意識能量學大師進階之作】', '一個瑜伽行者的自傳(賈伯斯唯一下載至ipad、每年重讀之書)']"
宗教命理,盧恩符文神諭占卜卡【第一副最完整中文化牌卡】,https://www.books.com.tw/img/001/092/18/0010921862.jpg,洛娜・艾薇思登,漫遊者文化,2022/06/06,優惠價：79折 552元,"～開啟智慧・預見未來・洞察當下・迎接能量～
來自古老北歐，結合諸神與自然力量
第一組最完整的盧恩符文中文化牌卡
 
【產品內容】
◆神諭占卜書（尺寸:19.5×14.5cm）：96頁，介紹文化與歷...more",https://www.books.com.tw/products/0010921862?loc=P_0005_008,"['能量神諭卡：找到改變命運的方向，實現美好的財富、愛情、職業、健康、人生', '火系魔法【自然元素魔法系列3】：關於力量、創造、重生的魔法', '雷諾曼卡寶典：從牌義、解牌到應用，讓你輕鬆學習、精準實占', '盧恩符文占卜自學手冊：釐清煩惱、了解他人、尋求指引，30天連結高我(隨附25張盧恩符文卡)', '新巴赫花精療法 2：反應情緒的身體地圖', '藥草與魔法：女巫、符咒、飛行軟膏與西方古老傳說', '新巴赫花精療法 1：療癒身心靈的12種花精軌道', '盧恩符文初學指南', '風系魔法【自然元素魔法系列2】：關於智慧、溝通、改變的魔法', '指導靈全書：召喚七種靈性幫手，完成你的今生使命', '大地魔法：取之自然的實用威卡魔法', '新巫魔法書：改變生命的實修魔法', '魔法防禦術：除咒、護盾、逆襲，打開個人能量護罩', '塔羅牌陣全書：活用76種牌陣，解讀能力大升級', '熊讚卡', '情緒療癒卡', '星際馬雅十三月亮曆：13調性×20圖騰，活出自己的天賦能量，以更高維度的視角校準人生', '女神智慧：藉助古老教導與實踐連結神聖陰性力量', '占星學全指引：了解你的星座與星盤，初學與進階必備案頭書', '與精靈連結：探索大自然精靈的魔法世界']"
宗教命理,早期課8,https://www.books.com.tw/img/001/092/61/0010926194.jpg,Jane Roberts,賽斯文化,2022/06/01,優惠價：79折 490元,《早期課》是珍‧羅伯茲最早於一九六三年十二月開始在出神或出離狀態中說話，替知名的「以能量為體性的人格」賽斯傳述的資料，共有五百一十節內容，涵蓋了一九六三年十一月二十日到一九七〇年一月十九...more,https://www.books.com.tw/products/0010926194?loc=P_0005_009,"['早期課 7', '早期課 6', '早期課 4', '早期課 5', '早期課 3', '早期課 第2冊', '【統一生機】薑黃綜合堅果 150g/袋', '早期課 1', '超越的力量', '一個美國哲學家的死後日誌：威廉‧詹姆士的世界觀', '【統一生機】有機薑黃麵線 300g/包', '解憂雜貨店【暖心紀念版】', 'ORIGINS 品木宣言 Dr.WEIL青春無敵健康光潤機能水(200ml)─國際航空版', '時間預言：超靈七號系列三', '漫遊前世今生：超靈七號系列一', '從心設定', '靜心的優雅節奏', '接納：化解反向對抗的自己', '快樂醫心', '穿梭幻相實相：超靈七號系列二']"
宗教命理,你就是覺性：《八曲仙人之歌》講記,https://www.books.com.tw/img/001/092/57/0010925776.jpg,三不叟,紅桌文化,2022/06/01,優惠價：79折 356元,"給21世紀求道者的修行備忘錄
 
「深陷世俗生活的人啊！
放下虛妄分別，隨緣快樂地過好一生。
專職修行的人啊！
放下修行中的做者感，不要以修行人的身分為傲。」
 
本書是三不叟禪師應弟子祈請...more",https://www.books.com.tw/products/0010925776?loc=P_0005_010,"['祕典卡巴萊恩：失落的赫米斯7大宇宙法則', '尼薩迦達塔「最後的教誨」套書：《能知之力與究竟實相》+《先於能知之力》', '達賴喇嘛講三主要道―—宗喀巴大師的精華教授']"
