分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
親子教養,兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說,https://www.books.com.tw/img/001/092/16/0010921600.jpg,黑川伊保子,時報出版,2022/04/26,優惠價：79折 277元,"你是否覺得兒子像一堵牆壁一樣難以理解？
怎麼跟他講，總是講不聽？
但是，你以為他心不在焉，
他卻會記得你今天笑了幾次……
暢銷作家繼47萬本《老婆使用說明書》、
16萬本《老公使用說明書》大賣後的系列...more",https://www.books.com.tw/products/0010921600?loc=P_0005_001,"['老公使用說明書：腦科學專家教的——夫婦善哉70年聖經!在妳將老公當「大型垃圾」丟棄之前，請先看這本書。', '老婆使用說明書：腦科學專家教的 夫婦善哉70年聖經!如何和不講理的老婆相處?老公此生最大的專案管理。', '媽媽使用說明書', '不敗學習力：學霸都在用的10大聰明讀書法', '剛剛好的管教：放心與放手，讓孩子長出自信和力量', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '練心：李崇建與雨果幼兒園的薩提爾教育實踐', '薩提爾的故事溝通：陪孩子練習愛，在愛中學習成長', '家人使用說明書：腦科學專家寫給總是被家人一秒惹怒的你', '原子習慣：細微改變帶來巨大成就的實證法則', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '如果生物課都這麼ㄎㄧㄤ!【動物知識噴笑漫畫】豬狗貓激萌演出，笑到你滿地找頭', '底層邏輯：看清這個世界的底牌', '輕鬆當爸媽，孩子更健康：超人氣小兒科醫師黃瑽寧教你安心育兒【暢銷增訂版】', '女兒是吸收媽媽情緒長大的：獻給世上所有女兒、母親、女性的自我修復心理學', '小學生高效學習原子習慣 (附贈小學生考試學習自學手冊)：拆解8大策略X23個實作心法，引導孩子學習如何學', '勇敢的獅子兄弟(北歐理事會兒童青少年文學獎獲獎作品)']"
親子教養,練心：李崇建與雨果幼兒園的薩提爾教育實踐,https://www.books.com.tw/img/001/092/26/0010922682.jpg,"李崇建,林文煌",親子天下,2022/05/04,優惠價：79折 316元,"「過去的傳統教育、當今的另類教育或雙語教育、理念教育，還有諸多的教學策略，我認為最終的目的，是培養出幸福、和諧與自在的生命！」∼李崇建

「我們的教育模式，不是保證孩子不受傷...more",https://www.books.com.tw/products/0010922682?loc=P_0005_002,"['薩提爾的故事溝通：陪孩子練習愛，在愛中學習成長', '你背負了誰的傷：從家庭的原生三角關係，療癒代際傷害', '薩提爾的對話練習(十萬冊融冰紀念版，內附精美薩提爾練習專用練習本《冰山練習曲》)：以好奇的姿態，理解你的內在冰山，探索自己，連結他人', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '李崇建談冰山之渴望：幸福的奧義(上下冊不分售)', '直捷之道【阿迪亞香提的覺醒課】：30堂課，體驗真正的開悟和解脫', '小學生高效學習原子習慣 (附贈小學生考試學習自學手冊)：拆解8大策略X23個實作心法，引導孩子學習如何學', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '精準提問：找到問題解方，培養創意思維、發揮專業影響力的16個提問心法', '心教：點燃每個孩子的學習渴望', '薩提爾縱深對話：李崇建與學思達夥伴的提問與實踐', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '遊戲人生72變：線上‧實體遊戲教學一本通', '教室裡的對話練習：當學思達遇見薩提爾', '專題式學習，從小就能開始!', '給長耳兔的36封信：成長進行式', '允許悲傷：最溫柔的療癒', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '斷食善終——送母遠行，學習面對死亡的生命課題', '薩提爾的親子對話：每個孩子，都是我們的孩子 從實戰經驗淬鍊超強親子對話(附超擬真實作練習)']"
親子教養,歡迎光臨心情聊天室：給少年的74個情緒解方(校園篇),https://www.books.com.tw/img/001/092/33/0010923398.jpg,楊俐容,未來出版,2022/05/06,優惠價：9折 342元,"讓情緒大師楊俐容陪青少年渡過困惑與煩憂，走一條逐夢踏實的成長路！
涵蓋四大範疇：人際關係、課業成績、感情問題、生涯規劃，青少年成長過程中最常見的情緒困擾。
幫助家長與青少年一起擁抱內心小野獸，...more",https://www.books.com.tw/products/0010923398?loc=P_0005_003,"['兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '不敗學習力：學霸都在用的10大聰明讀書法', '【星巴克】派克市場咖啡豆200g 派克市場', '魔法十年屋特別篇1+2套書(獨家套書加贈限量魔法師鑰匙圈)', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '科學發明王33：節能減碳', '成為更好的自己：未來少年的18堂心理必修課', '晨讀10分鐘：做自己，不一定要叛逆(附閱讀素養題本)', '歡迎光臨心情聊天室：給少年的情緒解方(家庭篇+校園篇)', '羞辱創傷：最日常，卻最椎心的痛楚', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '練心：李崇建與雨果幼兒園的薩提爾教育實踐', 'MILAN 雲彩朵朵圓桿色鉛筆6色', '【令和】KF94 韓版 醫療級成人立體口罩|10入/盒 珊瑚橘', '【TOMBOW日本蜻蜓】ippo兒童學習防滑六角點點鉛筆─2B黃', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '剛剛好的管教：放心與放手，讓孩子長出自信和力量', '機密任務2：代號K，快來解除世界危機', '字的傳奇3：搶救倉頡爺爺', '小學生高效學習原子習慣 (附贈小學生考試學習自學手冊)：拆解8大策略X23個實作心法，引導孩子學習如何學']"
親子教養,你的賦權，是最好的成全：讓孩子踏上勇於跨界的生命旅程,https://www.books.com.tw/img/001/092/60/0010926053.jpg,謝智謀,親子天下,2022/06/06,優惠價：79折 284元,"學校沒有教
卻是攸關幸福人生的關鍵！
謝智謀，人稱小謀老師，
台灣戶外體驗與領導教育第一把交椅。
這位全國優良教師、TED講員、師鐸獎、美國體驗學會「實踐家獎」首位非美籍得主，
在...more",https://www.books.com.tw/products/0010926053?loc=P_0005_004,"['登峰：一堂改變生命、探索世界的行動領導課', '遊戲人生72變：線上‧實體遊戲教學一本通', '練心：李崇建與雨果幼兒園的薩提爾教育實踐', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '塗鴉吧!用視覺模板翻轉人生：6種框架x4個步驟，學習、工作、時間管理全搞定', '晨讀10分鐘：做自己，不一定要叛逆(附閱讀素養題本)', '羞辱創傷：最日常，卻最椎心的痛楚', '我在地球的奇異旅程', '專題式學習，從小就能開始!', '從讀到寫，林怡辰的閱讀教育：用閱讀、寫作， 讓無動力孩子愛上學習', '溝通分析心理學經典1【人間遊戲】：拆解日常生活每一個互動、每一段對話中的真實密碼', '用電影和孩子談生命中重要的事：85部好片 X 200道提問，親師必備的引導對話指南', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '畫人測驗的實作與解讀', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '薩提爾的對話練習(十萬冊融冰紀念版，內附精美薩提爾練習專用練習本《冰山練習曲》)：以好奇的姿態，理解你的內在冰山，探索自己，連結他人', '不敗學習力：學霸都在用的10大聰明讀書法', '離島星星數一數 逃出數學的密室(附 超實用攻略本)', '【池上鄉農會】剝皮辣椒 ─ 450g/罐', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)']"
親子教養,不動怒，與亞斯伯格症孩子親近溝通,https://www.books.com.tw/img/001/092/50/0010925044.jpg,王意中,寶瓶文化,2022/05/24,優惠價：79折 269元,"──固著性強和社交困難，隔離了亞斯兒與世界──
我們好無力，如何能親近孩子？
孩子多無助，滿腹心事說不出。
●本書幫助父母和老師，與亞斯兒建立關係，溝通無礙。

我們有彈性，亞斯...more",https://www.books.com.tw/products/0010925044?loc=P_0005_005,"['不讓你孤單：破解亞斯伯格症孩子的固著性與社交困難', '陪伴孩子的情緒行為障礙', '化解孩子的「對立反抗」', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '覺察孩子的焦慮危機：咬手、拔頭髮、猛眨眼……從辨識警訊開始，讓孩子學會紓解焦慮，安定成長', '301個過動兒教養祕訣', '學習障礙：逃不出的學習噩夢', '說不出口的，更需要被聽懂：11個暖心對話練習，走進孩子的心', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '當過動媽遇到亞斯兒，有時還有亞斯爸', '不敗學習力：學霸都在用的10大聰明讀書法', '我爸爸超厲害!', '孩子不專心，媽媽怎麼辦?', '星星的孩子其實可以更好──曲智鑛老師的27種自閉症特質實證本位訓練法，教出孩子的生活自理、社交溝通和工作能力', '戒掉孩子的拖延症', '你被孩子3C勒索嗎?', '【星巴克】濾掛咖啡─家常咖啡(4入/盒) 家常咖啡', '不吼不叫，激發孩子內在學習力', '原子習慣：細微改變帶來巨大成就的實證法則', '羞辱創傷：最日常，卻最椎心的痛楚']"
親子教養,升級孩子的語言力：光光老師╳美希老師的40堂語言發展課,https://www.books.com.tw/img/001/092/47/0010924769.jpg,"光光老師（廖笙光）,美希老師（葉美希）",遠流,2022/05/26,優惠價：79折 300元,"語言力，會影響孩子的未來！
40種孩子聽說讀的疑難雜症，這本一次解決！
兒童發展專家光光老師╳ 語言治療名師美希老師
強強聯手，協助師長全面認識語言力，
從生理發展了解問題...more",https://www.books.com.tw/products/0010924769?loc=P_0005_006,"['剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '表達力決定你是誰：提升表達力，成為自己期待的樣子', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '說不出口的，更需要被聽懂：11個暖心對話練習，走進孩子的心', '薩提爾的故事溝通：陪孩子練習愛，在愛中學習成長', '練心：李崇建與雨果幼兒園的薩提爾教育實踐', '高手詞彙必修課：70個贏得話語權，打造文字亮點的強力詞彙使用法', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '知識複利：將內容變現，打造專家型個人品牌的策略', '0~3歲給對愛就不怕寵壞：兒童權威心理醫師的心靈育兒法，化情緒難處為正面力量，陪伴孩子安心探索成長之路', '群加 PowerSync 3P轉2P電源轉接頭(TYN39A)', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '溫和且堅定的正向教養：姚以婷審定推薦，暢銷全球40年的阿德勒式教養經典，教出自律、負責、合作的孩子，賦予孩子解決問題的能力', '媽媽，你會永遠愛我嗎?', '南僑水晶葡萄柚籽抗菌洗手皂120g/盒', '遊戲式情緒教養魔法書 ：教育現場也適用!遊戲治療師專為3~9歲設計，101種協助孩子克服焦慮、調節情緒、促進連結的親子遊戲!']"
親子教養,寫給中學生看的AI課：AI生態系需要文理兼具的未來人才,https://www.books.com.tw/img/001/092/19/0010921963.jpg,蔡宗翰,三采,2022/04/22,優惠價：79折 332元,"第一本針對108課綱科技素養的趨勢教育書。
 
AI一定是理科腦？
文科腦在AI發展有何重要性？
「AI界李白」蔡宗翰教授結合輔導高中以上學生與台灣人工智慧學校的豐富經驗，
...more",https://www.books.com.tw/products/0010921963?loc=P_0005_007,"['不敗學習力：學霸都在用的10大聰明讀書法', '富小孩與窮小孩：給現代青少年的24堂財務思維課', '製造數據科學：邁向智慧製造與數位決策', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '漫畫大英百科【文明文化5】：未來職業', '變化中的世界秩序：橋水基金應對國家興衰的原則', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', 'NSCA運動科學(附彩圖光碟)', '做孩子需要的媽媽，就好：教授媽媽郭葉珍〔聽、愛、馭〕三步驟，化解衝突，讓孩子願意聽你說', '艾惟諾葡萄柚活力淨亮護手霜50g', '只是開玩笑，竟然變被告?：中小學生最需要的24堂法律自保課', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '以太，下一波贏家：第一本以太幣的投資專書(隨書附贈「加速入圈超值包」)', '商業模式轉型：獲利世代2 價值創新的6大途徑', '過目不忘的文轉圖深化記憶法：跟著世界記憶權威用大腦最節能的學習途徑，讓你的輸出有觀點，學習力、企劃力、專注力全面升級', '只是開玩笑，竟然變被告2：中小學生和老師家長都需要的法律自保課', '2030科技趨勢全解讀：元宇宙、AI、區塊鏈、雲端、大數據、5G、物聯網，七大最新科技一本就搞懂!', '一個操盤手的虧損自白：長銷30年的獲利經典']"
親子教養,終於開始反抗了：汪培珽手記11,https://www.books.com.tw/img/001/092/35/0010923521.jpg,汪培珽,愛孩子愛自己,2022/05/10,優惠價：79折 253元,"孩子聽話受教，覺得欣慰。
孩子開始反抗，父母會出現何種情緒？
大人的情緒，左右了教養的方向。
原本聽話的孩子，一旦開始反抗，我們很難不出現負面情緒。
例如孩子生氣，我們更生...more",https://www.books.com.tw/products/0010923521?loc=P_0005_008,"['兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '再抱一下', '好言相勸：汪培珽想對大孩子說的話', '不罵：汪培珽手記拾', '金菱網洗衣袋 防纏繞/貼身衣物洗衣網 文胸袋17×15cm', '[MUJI無印良品]懷舊棉花糖/1個(S)', '前青春期的孩子 情緒像隻貓：管不住!講不聽! 父母該學會和設限一樣重要的事', '不敗學習力：學霸都在用的10大聰明讀書法', '最有梗的人體教室：針筒兄弟與他們的器官小夥伴', '善存 醫用口罩(未滅菌)─成人立體型 藍莓優格(25入/盒)', '金菱網洗衣袋 防纏繞/貼身衣物洗衣網 中號40x50cm', '這個是什麼?那個是什麼?', '不動怒，與亞斯伯格症孩子親近溝通', 'LION日本獅王 牙周抗 敏牙刷 單入 (顏色隨機出貨)', '【MOTEX 摩戴舒】醫用口罩 小臉款 櫻花粉(30片/盒) 櫻花粉', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '臭臉的歲月', '魔法十年屋特別篇1+2套書(獨家套書加贈限量魔法師鑰匙圈)', '成語怪探：沒道理的B計畫', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)']"
親子教養,給不小心又對孩子大吼大叫的你：韓國最強教養軍師的9大育兒方案，養出「好好講就會聽」的孩子,https://www.books.com.tw/img/001/092/50/0010925017.jpg,崔旼俊,采實文化,2022/05/25,優惠價：79折 300元,"小孩耳朵硬又愛頂嘴，一件事總要吼個五六七八遍？
曾以為自己可以溫柔堅定的教養，但真實育兒戰場卻是大小衝突不斷，
面對自己偶爾失控的情緒，總是陷入愧疚懊悔中……
韓國媽媽公認最強教養軍師──崔旼...more",https://www.books.com.tw/products/0010925017?loc=P_0005_009,"['教養，從改變說話口氣開始：開啟孩子「正向人生」的31個教養關鍵句', '教養，從跟孩子的情緒做朋友開始：孩子鬧脾氣，正是開發全腦的好時機', '父母的情緒，孩子都知道：與孩子一同練習調節情緒溫度，爸媽不失控，孩子才能做情緒的主人', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '大吼大叫的企鵝媽媽', 'TEAM 十銓 500X 32GB MicroSD UHS─I 記憶卡 (含轉卡+終身保固)', '怪傑佐羅力60：怪傑佐羅力太空大作戰', '國家地理終極昆蟲百科', '創意啟蒙認知翻翻書：形狀躲貓貓(50個翻頁)', '致，被兒子搞瘋的媽媽：秒懂兒子心事，療癒媽媽心靈，不吼不叫也能養出好兒子', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '屁屁偵探動畫漫畫5 噗噗 怪盜U對上怪盜U?!(怪盜U頭冠限量版)', '叭!叭!叭!這是什麼車?', '爸媽不用忍的正向教養：改掉頂嘴、動作慢、依賴、行為退化、缺乏成就動機……的免爆氣親子對話範本', '國家地理終極海洋百科', '恆溫教養：成為父母，要當「恆溫計」而非溫度計!用耐心回應孩子的情緒，用理解安定孩子心靈，構築坦率的信任關係，維持愛的恆溫!']"
親子教養,塔木德親子財富課：向猶太人學致富，從小開始,https://www.books.com.tw/img/001/092/20/0010922088.jpg,金今善,遠流,2022/04/27,優惠價：79折 277元,"幼年的財富課，塑造未來的大富翁
★韓國最大網路書店YES24 9.8分超好評★
 
孩子未來面對的是和現在完全不同的世界，
期盼孩子有美好的未來，
就要為孩子打造在不斷變化的世界中致富的...more",https://www.books.com.tw/products/0010922088?loc=P_0005_010,"['打造小小巴菲特 贏在起跑點：陳重銘的親子理財15堂課', '孩子，我們來談錢：從7歲開始給他零用錢，不如教他變有錢', '薩提爾的故事溝通：陪孩子練習愛，在愛中學習成長', '不敗學習力：學霸都在用的10大聰明讀書法', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '運用心智圖，72小時5000單QR Code版(隨書附作者完全解說音檔QR Code)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '魔法十年屋特別篇1+2套書(獨家套書加贈限量魔法師鑰匙圈)', '馬哈親子理財10堂課：存錢、花錢、賺錢，魔法便利貼的金錢教養', '把小錢滾成大財富：愈早看破愈早財務自由的存錢迷思', '進步一點點，人生就會不一樣', '幫助每一個孩子成功：發展正向性格，培養面對未來挑戰所需的恆久能力', '[MUJI無印良品]聚丙烯檔案盒.標準型.寬.1/2.白灰.約15x32x12cm', '塔木德─猶太人的致富聖經：1000多年來帶領猶太人快速累積財富的神祕經典[修訂版]', '[MUJI無印良品]聚丙烯檔案盒.標準型.寬25CM.1/2.白灰', '[MUJI無印良品]聚丙烯檔案盒.標準型.寬25CM.白灰', '6年存到300張股票2022修訂版：股子股息讓股票零成本', '知識複利：將內容變現，打造專家型個人品牌的策略', '邊玩邊學的親子自然遊樂園：動動腦.動動手與孩子一起親近自然的遊戲提案書', '療癒的飲食與斷食：新時代的個人營養學']"
