分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
童書/青少年文學,逃離吧！腳就是用來跑的(獨家加贈限量解憂便利貼),https://www.books.com.tw/img/001/092/54/0010925452.jpg,吉竹伸介,親子天下,2022/05/31,優惠價：79折 269元,"★★獨家贈送★★吉竹伸介解憂便利貼
日本幽默繪本大師吉竹伸介暖心療癒之作
獻給所有曾在人際關係徬徨迷惘的孩子，最受用的生存密語
亞馬遜讀者廣大迴響並讚譽
｢這是吉竹伸介寫過最好的書！｣、｢看完後心也跟...more",https://www.books.com.tw/products/0010925452?loc=P_0005_001,"['這個是什麼?那個是什麼?', '最有梗的人體教室：針筒兄弟與他們的器官小夥伴', '麵包國王套組(綜合口味)：贈台灣限定可愛吐司杯墊', '我有理由', '結果還是做不到', '晨讀10分鐘：做自己，不一定要叛逆(附閱讀素養題本)', '字的傳奇3：搶救倉頡爺爺', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '如果的世界', '我有意見', '討厭的人都跌倒吧', '太熱的話，脫外套就好啦!', '屁屁偵探動畫漫畫5 噗噗 怪盜U對上怪盜U?!(怪盜U頭冠限量版)', '君偉的怪奇報告', '令人怦然心動的狹小空間', '真好耶!小學生快樂生活日記(日本知名編劇筒井共美X人氣繪本作家吉竹伸介超療癒之作)', '達克比辦案11─荒漠救命蛙：沙漠生態系與動物的適應', '明明啊明明(首刷限量贈冷靜、不氣雙卡組)', '我超想要那個：吉竹伸介的智慧筆記', '怪傑佐羅力60：怪傑佐羅力太空大作戰']"
童書/青少年文學,麵包國王套組（綜合口味）：贈台灣限定可愛吐司杯墊,https://www.books.com.tw/img/001/092/59/0010925974.jpg,江口里佳,上誼文化公司,2022/06/01,優惠價：79折 758元,"日本最大廣告公司電通藝術總監親自操刀
獲日本LIBRO繪本大賞
★台灣限定贈送可愛吐司杯墊★
最好吃的麵包繪本新鮮出爐
嚴選食材．元氣100%
讓人忍不住驚呼──世界上怎麼會有這麼可愛的繪本！...more",https://www.books.com.tw/products/0010925974?loc=P_0005_002,"['逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '失物招領所', '捉迷藏(華語版)[精裝]', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '屁屁偵探動畫漫畫5 噗噗 怪盜U對上怪盜U?!(怪盜U頭冠限量版)', '綿羊理髮廳', '花花鹿牙醫', '浣熊洗衣店', '貓咪小偷', '摸布想自己賺罐罐：黑山的烏鴉原創故事集(隨書附贈「Sitting in 7─11」海報)', 'nac nac EDI超純水濕巾20抽/6入', '南僑水晶肥皂食器洗滌液體皂極淨&去味800ml/補充包', '臺灣水果有學問1─5套書：隨書加贈(限量)【繽紛造型冰棒模】', '媽媽，你會永遠愛我嗎?', '打開冰箱拿出來!', '【統一生機】日曬海鹽加碘立袋 450g/袋', '《公主出任務 》套書組 (共5冊)', '小草莓，妳在哪裡?', '鴿子郵差的送信之旅', '麵包小偷2：誰偷了葡萄乾麵包']"
童書/青少年文學,穿越故宮大冒險7：驚天動地多寶格（限量贈故宮人氣國寶貼紙）,https://www.books.com.tw/img/001/092/28/0010922877.jpg,鄭宗弦,小天下,2022/04/29,優惠價：79折 237元,"暢銷得獎作家鄭宗弦磅礴力作！

風靡全臺的奇幻冒險故事，同學們一集接著一集欲罷不能

這次讓我們一起穿越時空前往清朝，合力找出

「竹絲纏枝花卉紋多寶格圓盒」的袖珍畫神祕下落

 ...more",https://www.books.com.tw/products/0010922877?loc=P_0005_003,"['穿越故宮大冒險6：快雪時晴帖神乎其技', '魔法十年屋特別篇1+2套書(獨家套書加贈限量魔法師鑰匙圈)', '玉使(仙靈傳奇5)', '穿越故宮大冒險 1─5冊套書', '不敗學習力：學霸都在用的10大聰明讀書法', '瞎掰舊貨攤1：斷尾虎爺', '瞎掰舊貨攤2：子母雞大碗公', '科學偵探謎野真實特別篇：科學偵探怪奇事件檔案1─廢棄醫院的亡靈', '怪傑佐羅力60：怪傑佐羅力太空大作戰', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '魔法十年屋3：拒絕委託的十年屋', '長生石的守護者(《養心》《修煉》作者最新作品)', '魔法十年屋4：需要推理的委託物', '如果歷史是一群喵(9)：五代十國篇【萌貓漫畫學歷史】', '君偉的怪奇報告', '魔法十年屋1+2套書(共兩冊)', '世界史偵探柯南9：馬雅文明的破解', '神奇柑仔店11：失控的最強驅蟲香水', '養心1：消失的生死玦', '神奇柑仔店12：神祕人與駱駝輕鬆符']"
童書/青少年文學,青春解憂三部曲：金魚男孩+橡皮擦男孩+墓園女孩(3冊套書),https://www.books.com.tw/img/001/092/39/0010923927.jpg,麗莎‧湯普森,小樹文化,2022/05/27,優惠價：75折 788元,"＼青春期的困頓與焦慮，需要故事來解答／
◆◇◆卡內基兒童文學大獎‧入圍作家暢銷三部曲◆◇◆
關於理解、認識自我、學會情緒控制的溫馨故事
 
患有強迫症的《金魚男孩》
無法控制情緒的《橡皮擦男孩》
面...more",https://www.books.com.tw/products/0010923927?loc=P_0005_004,"['《公主出任務 》套書組 (共5冊)', '不敗學習力：學霸都在用的10大聰明讀書法', '如果生物課都這麼ㄎㄧㄤ!【動物知識噴笑漫畫】豬狗貓激萌演出，笑到你滿地找頭', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '學前注音ㄅㄆㄇ練習本', '百樂 超細變芯筆芯0.5藍藍', '【荷蘭史翠普】焦糖煎餅250g', '少年讀世說新語(全套3冊)', '路易斯.薩奇爾校園故事經典1：《歪歪小學的荒誕故事》+《歪歪小學要倒了》', '字的神話(全套3冊)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '歡迎光臨換心店：好品格從心開始(橋梁故事書全套2冊)', '文山手作皂─淨身艾草_洗滌身心 淨身除穢(所有膚質適用)', '管弦樂團', '人間失格又怎樣?Human Lost 手帳日記：【生而為人，我很抱歉】太宰治厭世語錄 × 365天耍廢無極限方眼格筆記本', '吸墨鬼來了 1─3集套書', '字的傳奇3：搶救倉頡爺爺', '魔法校車自然發音故事讀本(附MP3 CD & StoryPlus)Magic School Bus Phonics Fun Set', '[MUJI無印良品]棉圈絨手巾/中厚型/附環扣/淺灰']"
童書/青少年文學,屁屁偵探動畫漫畫5 噗噗 怪盜U對上怪盜U？！（怪盜U頭冠限量版）,https://www.books.com.tw/img/001/092/56/0010925617.jpg,"Troll,東映動畫株式會社",遠流,2022/06/02,優惠價：79折 237元,"真假難辨！怪盜Ｕ鬧雙胞？！
屁屁偵探原創故事新系列──動畫漫畫第5集報到！！
接受灰狼城城主沃爾夫斯基先生的委託，
屁屁偵探和汪汪警察們來到了灰狼城。
預告要偷竊灰狼家傳家...more",https://www.books.com.tw/products/0010925617?loc=P_0005_005,"['屁屁偵探動畫漫畫4 噗噗 怪盜U喜歡熱呼呼', '哆啦A夢知識大探索5：世界家屋觀測器', '達克比辦案11─荒漠救命蛙：沙漠生態系與動物的適應', '怪傑佐羅力60：怪傑佐羅力太空大作戰', '世界史偵探柯南10：阿拉伯之夜的輝煌', '屁屁偵探讀本10：屁屁偵探戀愛了?!', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '字的傳奇3：搶救倉頡爺爺', '跑跑薑餅人12：尖端科技的科學', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '這個是什麼?那個是什麼?', '河內尋寶記', '跑跑薑餅人城市大逃亡12：阿姆斯特丹', '麵包國王套組(綜合口味)：贈台灣限定可愛吐司杯墊', '用點心學校13：超級大明星(附贈首刷限量應援扇，三款隨機出貨)', '運動場的小妖怪1', '藍染小仙', '雷頓不可思議偵探社6：卡特莉&孤獨的幽靈', '妖怪托顧所3&4套書：妖怪們的春夏秋冬/半妖之子(附限量精緻刺繡御守──學業成就款)']"
童書/青少年文學,魔法十年屋特別篇1+2套書（獨家套書加贈限量魔法師鑰匙圈）,https://www.books.com.tw/img/001/092/21/0010922178.jpg,廣嶋玲子,親子天下,2022/04/28,優惠價：75折 480元,"風靡臺日韓三地小學生、系列累計銷售逾三十萬本
西洋魔幻版神奇柑仔店，暢銷作家廣嶋玲子《魔法十年屋特別篇》全新開張！
魔法街上除了十年屋以外，還有哪些神祕的魔法師能為人們解決各種難題？
一起來看...more",https://www.books.com.tw/products/0010922178?loc=P_0005_006,"['魔法十年屋4：需要推理的委託物', '魔法十年屋3：拒絕委託的十年屋', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '魔法十年屋1+2套書(共兩冊)', '玉使(仙靈傳奇5)', '怪傑佐羅力60：怪傑佐羅力太空大作戰', '博物館與它的產地', '不敗學習力：學霸都在用的10大聰明讀書法', '君偉的怪奇報告', '科學偵探謎野真實特別篇：科學偵探怪奇事件檔案1─廢棄醫院的亡靈', '只是開玩笑，竟然變被告?：中小學生最需要的24堂法律自保課', '只是開玩笑，竟然變被告2：中小學生和老師家長都需要的法律自保課', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '妖怪托顧所3&4套書：妖怪們的春夏秋冬/半妖之子(附限量精緻刺繡御守──學業成就款)', '狐狸一族心探險1：不能說的禁忌', '穿越故宮大冒險 1─5冊套書', '穿越故宮大冒險6：快雪時晴帖神乎其技', '博物館偵探骨爾摩斯1+2(獨家套書)', '瞎掰舊貨攤1：斷尾虎爺', '小學生高效學習原子習慣 (附贈小學生考試學習自學手冊)：拆解8大策略X23個實作心法，引導孩子學習如何學']"
童書/青少年文學,晨讀10分鐘：做自己，不一定要叛逆（附閱讀素養題本）,https://www.books.com.tw/img/001/092/53/0010925304.jpg,"羅怡君,明星煌,宮能安,褚士瑩",親子天下,2022/05/31,優惠價：79折 315元,"為什麼「有個性」和「搞叛逆」只有一線之隔？
面對日益複雜的人際關係，如何才能舒服的「做自己」？
親職溝通專家羅怡君精心選編，四組啟動自由人生的關鍵字
解答學校沒教卻又不可不知的成長痛點...more",https://www.books.com.tw/products/0010925304?loc=P_0005_007,"['晨讀10分鐘：文學大師短篇名作選(附閱讀素養題本)', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '晨讀10分鐘：閱讀素養故事集(附閱讀練習本)', '字的傳奇3：搶救倉頡爺爺', '晨讀10分鐘：未來媒體我看見(附閱讀素養題本)', '離島星星數一數 逃出數學的密室(附 超實用攻略本)', '君偉的怪奇報告', '魔法十年屋特別篇1+2套書(獨家套書加贈限量魔法師鑰匙圈)', '晨讀10分鐘：世界和你想的不一樣(附閱讀素養題本)', '我在地球的奇異旅程', '晨讀10分鐘：未來世界我改變(附閱讀素養題本)', '不敗學習力：學霸都在用的10大聰明讀書法', '玉使(仙靈傳奇5)', '狐狸一族心探險1：不能說的禁忌', '最有梗的人體教室：針筒兄弟與他們的器官小夥伴', '晨讀10分鐘：科學和你想的不一樣(附閱讀素養題本)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '字的傳奇1：馴字師捉妖去', '你的賦權，是最好的成全：讓孩子踏上勇於跨界的生命旅程', '跟阿德勒學正向教養：特殊需求兒童篇 撕下診斷標籤，幫助孩子面對日常挑戰，培養韌性、負責與適應力']"
童書/青少年文學,字的傳奇3：搶救倉頡爺爺,https://www.books.com.tw/img/001/092/52/0010925297.jpg,林世仁,親子天下,2022/05/31,優惠價：79折 237元,"暢銷50萬冊「字的童話」系列
金鼎獎作者林世仁再次出擊，
推出「字的傳奇」漢字奇幻故事第三彈
穿越時空進入「甲骨文」的奇幻漢字世界
 
「字的傳奇」雙主角每集登場：
字靈界的帥氣馴字師...more",https://www.books.com.tw/products/0010925297?loc=P_0005_008,"['字的傳奇2：火神的進擊', '字的傳奇1：馴字師捉妖去', '字的神話(全套3冊)', '達克比辦案11─荒漠救命蛙：沙漠生態系與動物的適應', '妖怪托顧所3&4套書：妖怪們的春夏秋冬/半妖之子(附限量精緻刺繡御守──學業成就款)', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '晨讀10分鐘：做自己，不一定要叛逆(附閱讀素養題本)', '屁屁偵探動畫漫畫5 噗噗 怪盜U對上怪盜U?!(怪盜U頭冠限量版)', '狐狸一族心探險1：不能說的禁忌', '玉使(仙靈傳奇5)', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '君偉的怪奇報告', '小熊兄妹的點子屋1：點子屋新開張(新版)', '小學生高效學習原子習慣 (附贈小學生考試學習自學手冊)：拆解8大策略X23個實作心法，引導孩子學習如何學', '怪傑佐羅力60：怪傑佐羅力太空大作戰', '魔法十年屋特別篇1+2套書(獨家套書加贈限量魔法師鑰匙圈)', '用點心學校13：超級大明星(附贈首刷限量應援扇，三款隨機出貨)', '世界史偵探柯南10：阿拉伯之夜的輝煌', '最有梗的人體教室：針筒兄弟與他們的器官小夥伴', '大象忘忘']"
童書/青少年文學,怪傑佐羅力60：怪傑佐羅力太空大作戰,https://www.books.com.tw/img/001/092/20/0010922083.jpg,原裕,親子天下,2022/05/06,優惠價：79折 253元,"怪傑佐羅力、伊豬豬、魯豬豬終於達成「三心合一」波形同步
三人駕駛救災機器人「新世代‧福氣戰士」飛向太空尋找不幸故障飄流的火箭
他們能夠將錢多多和葛雷平安帶回地球嗎？
 
佐羅力三人終於放出...more",https://www.books.com.tw/products/0010922083?loc=P_0005_009,"['怪傑佐羅力59：怪傑佐羅力之機器人救災大作戰', '怪傑佐羅力58：怪傑佐羅力之打敗噴火龍2', 'QBQ!問題背後的問題(30萬冊紀念版)', '魔法十年屋特別篇1+2套書(獨家套書加贈限量魔法師鑰匙圈)', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '怪傑佐羅力57：怪傑佐羅力之地底大探險', '怪傑佐羅力56：怪傑佐羅力之海底大探險', '達克比辦案11─荒漠救命蛙：沙漠生態系與動物的適應', '只是開玩笑，竟然變被告2：中小學生和老師家長都需要的法律自保課', '屁屁偵探動畫漫畫5 噗噗 怪盜U對上怪盜U?!(怪盜U頭冠限量版)', '只是開玩笑，竟然變被告?：中小學生最需要的24堂法律自保課', '屁屁偵探動畫漫畫4 噗噗 怪盜U喜歡熱呼呼', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '怪傑佐羅力之大圖鑑 角色大全集', '狐狸一族心探險1：不能說的禁忌', '最有梗的人體教室：針筒兄弟與他們的器官小夥伴', '怪傑佐羅力1：怪傑佐羅力之打敗噴火龍', '怪傑佐羅力55：怪傑佐羅力之好吃的金牌', '魔法十年屋3：拒絕委託的十年屋', '玉使(仙靈傳奇5)']"
童書/青少年文學,X尋寶探險隊 38 回魂笛音：蒙古．野馬．成吉思汗,https://www.books.com.tw/img/001/092/10/0010921079.jpg,李國權,小角落文化,2022/05/26,優惠價：79折 237元,"據說笛音能讓死者起死回生？
蘭蘭祖傳的寶物到底是什麼東西？
小航接受冒險家協會的委託，
來到蒙古野馬坑尋找機密文件和傳說中的笛子，
然而一行人不僅遭敵人偷襲，
對方甚至用笛子喚醒...more",https://www.books.com.tw/products/0010921079?loc=P_0005_010,"['X星際探險隊II 1天魔繼承者(附學習單)', '河內尋寶記', 'X尋寶探險隊 37 貓神的使者：開羅.木乃伊.混沌之蛇', 'X極限挑戰王：(6) 失控!狂暴巨猩(附學習單)', '哆啦A夢知識大探索5：世界家屋觀測器', '跑跑薑餅人城市大逃亡12：阿姆斯特丹', 'X尋寶探險隊 完全設定集', '科學偵探謎野真實特別篇：科學偵探怪奇事件檔案2─外星人入侵之謎', 'X尋寶探險隊 36 夜光斷風劍：柬埔寨.吳哥.第七之子', '達克比辦案11─荒漠救命蛙：沙漠生態系與動物的適應', 'X尋寶探險隊 35 藍夢狂氣：峇里島.海底佛寺.神龍', '楓之谷大冒險31：勇闖海盜村', '科學發明王33：節能減碳', '爆笑科學王(11)：精神的程式設計大冒險', '世界史偵探柯南10：阿拉伯之夜的輝煌', '雷頓不可思議偵探社6：卡特莉&孤獨的幽靈', 'X尋寶探險隊 34 鐵甲飛拳：澳洲.尖峰石陣.機器人', 'X極限挑戰王：(5) 空襲危機!荒漠禿鷲(附學習單)', '屁屁偵探動畫漫畫5 噗噗 怪盜U對上怪盜U?!(怪盜U頭冠限量版)', '爆笑科學王(10)：精神的動物世界']"
