分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
漫畫/圖文書,SPY×FAMILY 間諜家家酒 9 (首刷限定版),https://www.books.com.tw/img/001/092/38/0010923896.jpg,遠藤達哉,東立,2022/05/30,優惠價：95折 133元,"約兒vs暗殺者集團的戰鬥進入尾聲…！
另一方面，豪華郵輪上
被人安裝了炸彈－－！
察覺危機的洛伊德與安妮亞
各自盡力解決難題，不過…？...more",https://www.books.com.tw/products/0010923896?loc=P_0005_001,"['SPY×FAMILY 間諜家家酒 8', 'SPY×FAMILY 間諜家家酒 7', 'SPY×FAMILY 間諜家家酒 6', 'SPY×FAMILY 間諜家家酒 4', 'SPY×FAMILY 間諜家家酒 5', 'SPY×FAMILY 間諜家家酒 1', 'SPY×FAMILY 間諜家家酒 3', 'SPY×FAMILY 間諜家家酒 2', '旗艦級相片沖印 4*6吋【受託代銷】', '膽大黨 (首刷限定版) 1', '入間同學入魔了! 4', 'SPY×FAMILY間諜家家酒公式資料手冊：EYES ONLY', '咒術迴戰 19', '【我推的孩子】(05)', '海波追尋的終幕 2 (首刷限定版)', '東京卍復仇者 12 (首刷附錄版)', '魔法少年賈修 完全版 5 (首刷附錄版)', 'ONE PIECE航海王 102 (首刷限定版)', '圖書館的大魔法師 02', '久保同學不放過我 3']"
漫畫/圖文書,我讓最想被擁抱的男人給威脅了 8 (首刷限定版),https://www.books.com.tw/img/001/092/27/0010922768.jpg,桜日梯子,東立,2022/05/25,優惠價：95折 238元,"在這世上只有一個人，
能把我變成野獸。
 
因為戲劇「clear」的拍攝工作，導致高人被牛頭原組盯上。拍攝工作結束後，組員們將高人帶到廢工廠，還不知為何拿著攝影機對準他……
 
...more",https://www.books.com.tw/products/0010922768?loc=P_0005_002,['NaN']
漫畫/圖文書,媽媽的每一天：高木直子陪你一起慢慢長大（首刷高木直子簽名祝福限量印刷扉頁）,https://www.books.com.tw/img/001/092/29/0010922997.jpg,高木直子,大田,2022/05/01,優惠價：79折 261元,"不想錯過女兒的任何一個階段，我們整天都在一起……
一起學習，泡澡時唸浴室的大海報あいうえお；
一起散步，紅燈靠邊停，綠燈直直走，一起看路上的小花小草；
二十四小時，...more",https://www.books.com.tw/products/0010922997?loc=P_0005_003,"['旗艦級相片沖印 4*6吋【受託代銷】', '一個人的第一次(第一次擁有雙書籤版)', '再來一碗：高木直子全家吃飽飽萬歲!', '媽媽的每一天：高木直子手忙腳亂日記', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', 'SPY×FAMILY 間諜家家酒 3', '深夜食堂 24', 'SPY×FAMILY 間諜家家酒 1', 'SPY×FAMILY 間諜家家酒 2', 'ONE PIECE航海王 102 (首刷限定版)', 'SPY×FAMILY 間諜家家酒 5', 'SPY×FAMILY 間諜家家酒 4', 'SPY×FAMILY 間諜家家酒 7', 'SPY×FAMILY 間諜家家酒 6', 'SPY×FAMILY 間諜家家酒 8', '已經不是一個人：高木直子40脫單故事', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '一個人好想吃：高木直子念念不忘，吃飽萬歲!', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】']"
漫畫/圖文書,綠之歌 -收集群風-（台日高度矚目．新銳台灣漫畫家高妍首部長篇作品，上下冊不分售）,https://www.books.com.tw/img/001/092/43/0010924363.jpg,高妍,臉譜,2022/05/25,優惠價：85折 595元,"《挪威的森林》作者、小說家村上春樹
HAPPYEND鼓手、〈收集群風〉作詞人松本隆
──推薦──
「偶然相遇的命運之人，竟讓我的夢境實現；
偶然聽見的遠方之歌，竟把我帶向了世界──」
村上春樹指...more",https://www.books.com.tw/products/0010924363?loc=P_0005_004,"['村上T 我愛的那些T恤', '蟲與歌：市川春子作品集(《寶石之國》作者處女作品集)', '艾笛的永生契約(作者親筆簽名扉頁版+獨家奇幻透卡)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '誰會愛上你受的傷(作者親簽版，Netflix動畫影集《馬男波傑克》主創首部短篇小說集)', '海波追尋的終幕 2 (首刷限定版)', '南瓜與我的野放生活', '山與林的深處：一位臺裔環境歷史學家的尋鄉之旅，在臺灣的植物、島嶼風光和歷史間探尋家族與自身的來處與記憶', '魔女(全)【五十嵐大介經典代表作】', '貓與海的彼端', '彼岸花盛開之島【台灣獨家書封】(台灣首位，芥川獎得獎作!)', '栞與紙魚子1', '栞與紙魚子2', '驀然回首 全', '洛夫克拉夫特傑作集：星之彩(隨書附贈原畫精緻酷卡)', '捉迷藏(華語版)[精裝]', 'cocoon 繭：沖繩姬百合隊的血色青春', '圖書館的大魔法師 02', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', '酒店開門之前 卜洛克的作家養成記']"
漫畫/圖文書,守護者【博客來獨家限量：雙英雄＆羅夏墨跡測驗原畫三張海報組】,https://www.books.com.tw/img/001/092/61/0010926134.jpg,艾倫・摩爾,木馬文化,2022/06/08,優惠價：79折 790元,"☆獲得科幻藝術界的至高榮譽——雨果獎（此前從未有漫畫獲得此獎項）
☆DC漫畫必讀25部經典之一！
☆經典神作，時代雜誌評選百大英文小說唯一圖像小說
☆徹底顛覆超級英雄的漫畫，美國漫畫新時代開端的...more",https://www.books.com.tw/products/0010926134?loc=P_0005_005,"['蝙蝠俠：致命玩笑(精裝典藏版)', 'V怪客：英文出版30週年紀念豪華版', '日常運動', '洛夫克拉夫特傑作集：星之彩(隨書附贈原畫精緻酷卡)', '魔法少年賈修 完全版 5 (首刷附錄版)', '膽大黨 (首刷限定版) 1', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '五星物語(14)', '勇者系列紀念設計集DX', '[益生堂] 仙楂粒', 'UBIK尤比克【這部小說無所不能，《銀翼殺手》菲利普.狄克傳世經典】', '不准畫太好：人氣YouTuber的4大繪圖障礙破解術', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '魔法少年賈修 完全版 4 (首刷附錄版)', '科多.馬提斯Corto Maltese：鹹海敘事曲', '殺手寓言(05)', '殺手寓言(06)', '村上T 我愛的那些T恤', 'SPY×FAMILY 間諜家家酒 9', '原來你什麼都不想要(博客來獨家作者親簽版)']"
漫畫/圖文書,ONE PIECE航海王 102 (首刷限定版),https://www.books.com.tw/img/001/092/27/0010922784.jpg,尾田榮一郎,東立,2022/05/06,優惠價：95折 119元,復活的魯夫，再次與海道對峙！迎向天王山局面的兩雄戰鬥，最後的勝利將歸誰手？另一方面，夥伴們於各處對付幹部的激戰也即將要分出勝負。和之國篇超精彩佳境！一場爭奪「ONEPIECE」的海上冒險故事！...more,https://www.books.com.tw/products/0010922784?loc=P_0005_006,"['咒術迴戰 19', 'ONE─PUNCH MAN 一拳超人 24', 'ONE PIECE航海王 101 (首刷限定版)', 'ONE PIECE航海王 100', '魔法少年賈修 完全版 4 (首刷附錄版)', 'DRAGON BALL超 七龍珠超 17', '中華小廚師!極 11', 'ONE PIECE航海王 99', 'SPY×FAMILY 間諜家家酒 3', 'SPY×FAMILY 間諜家家酒 1', 'SPY×FAMILY 間諜家家酒 2', 'SPY×FAMILY 間諜家家酒 7', 'SPY×FAMILY 間諜家家酒 5', 'SPY×FAMILY 間諜家家酒 6', 'ONE PIECE航海王 98', 'SPY×FAMILY 間諜家家酒 4', 'SPY×FAMILY 間諜家家酒 8', 'ONE PIECE航海王 101', 'ONE PIECE航海王 96', 'Dr.STONE 新石紀 23']"
漫畫/圖文書,獸人與少年Ω的命定契約 6 (首刷限定版),https://www.books.com.tw/img/001/092/31/0010923171.jpg,羽純ハナ,東立,2022/06/08,優惠價：95折 181元,"「我明明不可能背叛你－－」
 
達特不敢把自己對威爾的碰觸不會產生拒絕反應之事告訴猶達。
猶達對隱瞞了什麼事、態度不對勁的達特感到焦躁，
因此用彷彿責備的方式地抱了他。
...more",https://www.books.com.tw/products/0010923171?loc=P_0005_007,['NaN']
漫畫/圖文書,膽大黨 (首刷限定版) 1,https://www.books.com.tw/img/001/092/44/0010924469.jpg,龍幸伸,東立,2022/06/02,優惠價：95折 124元,"認為幽靈存在但不相信外星人存在，喜歡演員高倉健的綾瀨桃，
班上有一個相信外星人存在但不相信幽靈存在的超自然宅‧高倉健。
兩人為了證明自己的是唯一正解，各自前往兩個靈異聖地，
...more",https://www.books.com.tw/products/0010924469?loc=P_0005_008,"['SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '海波追尋的終幕 2 (首刷限定版)', '魔法少年賈修 完全版 5 (首刷附錄版)', '入間同學入魔了! 4', '進擊的巨人 全彩版 2', '九龍大眾浪漫 2', 'SPY×FAMILY 間諜家家酒 9', '【我推的孩子】(05)', '殺手寓言(05)', '殺手寓言(06)', '地下忍者(04)', '圖書館的大魔法師 02', '天使禁獵區 愛藏版 5 (首刷附錄版)', '殭屍100~在成為殭屍前要做的100件事~ 6', '古見同學是溝通魯蛇。(18)', '通靈童子 & a garden 1 (首刷限定版)', '地獄樂 13完', '星期一的豐滿 青版 3 (首刷限定版)', '五星物語(14)', '水流向大海 1']"
漫畫/圖文書,SPY×FAMILY 間諜家家酒 9,https://www.books.com.tw/img/001/092/38/0010923895.jpg,遠藤達哉,東立,2022/06/02,優惠價：95折 105元,"約兒vs暗殺者集團的戰鬥進入尾聲…！
另一方面，豪華郵輪上
被人安裝了炸彈－－！
察覺危機的洛伊德與安妮亞
各自盡力解決難題，不過…？...more",https://www.books.com.tw/products/0010923895?loc=P_0005_009,"['SPY×FAMILY 間諜家家酒 8', 'SPY×FAMILY 間諜家家酒 7', 'SPY×FAMILY 間諜家家酒 6', 'SPY×FAMILY 間諜家家酒 5', 'SPY×FAMILY 間諜家家酒 4', 'SPY×FAMILY 間諜家家酒 3', 'SPY×FAMILY 間諜家家酒 2', 'SPY×FAMILY 間諜家家酒 1', '膽大黨 (首刷限定版) 1', 'ONE PIECE航海王 102', '被擦掉的初戀 5', '亞爾斯蘭戰記 16', '古見同學是溝通魯蛇。(18)', '葬送的芙莉蓮 6', '咒術迴戰 19', '入間同學入魔了! 4', '勿說是推理(08)', '魔法使的印刷廠 (6) (完)', '【我推的孩子】(05)', '殺手寓言(05)']"
漫畫/圖文書,戀上換裝娃娃 9 (首刷限定版),https://www.books.com.tw/img/001/092/47/0010924780.jpg,福田晋一,東立,2022/06/10,優惠價：95折 162元,"原來大人也會隨身帶著娃娃…
 
海夢增加打工，終於將單眼相機買到手了。難得買下了相機，於是決定以「拍攝方」的身分參加Ｃｏｓ活動。另一方面，新菜則是要在同一場活動上，去與在ＳＮＳ上認...more",https://www.books.com.tw/products/0010924780?loc=P_0005_010,"['SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '戀上換裝娃娃 7', '戀上換裝娃娃 1', '戀上換裝娃娃 2', '戀上換裝娃娃 5', '戀上換裝娃娃 3', '戀上換裝娃娃 4', '戀上換裝娃娃 6', '進擊的巨人 全彩版 2', '五等分的新娘 全彩版 12', '前輩有夠煩 4', '戀上換裝娃娃 8', '膽大黨 (首刷限定版) 1', '關於我在無意間被隔壁的天使變成廢柴這件事 5.5 (首刷限定版)', '救了遇到痴漢的S級美少女才發現是鄰座的青梅竹馬4', '出租女友 24 (首刷限定版)', 'Sword art Online刀劍神域 Progressive 陰沉薄暮的詼諧曲 (1)', 'S級怪獸《貝希摩斯》被誤認成小貓，成為精靈女孩的騎士(寵物)一起生活 2', '入間同學入魔了! 4', '妄想學生會 19']"
