分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
語言學習,逆轉人生的英語課：Netflix、Disney+翻譯官的英語學習術，讓你的英文跳躍式大進步,https://www.books.com.tw/img/001/092/36/0010923664.jpg,Esther,字覺文化,2022/05/04,優惠價：79折 299元,"在學英語的路上，你才是主角！
一位好老師，除了不藏私的教你技巧，
還能啟發你思考、激發你行動，
帶你建立最適合自己的學習系統！
 
跟著Netflix、Disney+授權翻譯官Esther老師，
找回「不輕易熄...more",https://www.books.com.tw/products/0010923664?loc=P_0005_001,"['卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '原子習慣：細微改變帶來巨大成就的實證法則', '全方位理財的第一堂課：你一生必學的五大財務規畫', '不敗學習力：學霸都在用的10大聰明讀書法', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '知識複利：將內容變現，打造專家型個人品牌的策略', '時間管理：先吃掉那隻青蛙', '英文精準表現 ：學會藏在細節裡的英文使用規則!避免誤解、不得罪人，情境、用字遣詞、語氣全都恰到好處!(附實際運用對話 MP3 QR Code)', '逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '我的一天從4點30分開始：當你酣睡時，有人已醒來實現夢想!', '詞源：漫步在英語詞彙之間，追溯環環相扣的隱密源流', '漸進式英語學習聽說讀寫：北美最強語言學校團隊成功上萬例教學實踐，英語力循序漸進 扎實大躍進!(附：專屬英語學習網站)', '英文字源解剖全圖鑑：第一本左右跨頁，完整呈現拉丁語希臘語的英語起源', '人生路引：我從閱讀中練就的28個基本功', '【iPaper】CFS A5 size 特殊膠裝筆記本 (格子) UCCU Paper', '薩提爾的對話練習(十萬冊融冰紀念版，內附精美薩提爾練習專用練習本《冰山練習曲》)：以好奇的姿態，理解你的內在冰山，探索自己，連結他人', '高手學習+高手賽局(「精英日課」人氣作家萬維鋼高手自學雙書組合)', 'A大的理財金律：從零存款開始也能越過越好【1書+1夢想筆記本】']"
語言學習,古埃及文作業簿,https://www.books.com.tw/img/001/092/35/0010923533.jpg,薛良凱,釀出版,2022/05/10,優惠價：9折 45元,"搭配《簡明版古埃及文字典》使用，練習古埃及文字的專用練習簿。
本書特色
可搭配《簡明版古埃及文字典》使用，透過書寫愈加熟悉每筆每劃！...more",https://www.books.com.tw/products/0010923533?loc=P_0005_002,"['簡明版古埃及文字典', '來上一堂古埃及象形文字課', 'OGSM變革領導：打造企業創新力，建立靈活、隨時擴充的全公司溝通系統工具', '圖解古埃及象形文字', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '圖解古埃及神祇', '[MUJI 無印良品]棉棒(補充用)/200支', '古埃及象形文字(套書)', '突然降臨的埃及神 全', '怪傑佐羅力60：怪傑佐羅力太空大作戰', '滿月珈啡店 櫻田千尋插畫集：「那是心靈疲憊的人才能到達的店」超越季節、徜徉星空，融合甜蜜與溫暖，用視覺擄獲味蕾，享受虛擬中的真實快樂!', 'MIDORI 迴轉印章─ 補充墨水黑', '最輕鬆好背的衍生記憶法.韓文單字語源圖鑑', 'steady 7月號/2022', '魔法十年屋1+2套書(共兩冊)', '【翠菓子】航空米果綜合米果禮盒(22包/盒)', '[MUJI無印良品]即食迷你拉麵 (雞汁風味)/120g', '簡明版古埃及文字典 (電子書)', '【ACTIVE CORPORATION】春彩櫻花站立式便利貼', '極光之色 多色漸層 成人平面醫用口罩 (50入/盒) 一盒五款漸層色']"
語言學習,簡明版古埃及文字典,https://www.books.com.tw/img/001/092/35/0010923534.jpg,薛良凱,釀出版,2022/05/09,優惠價：79折 300元,"這不單是一本字典
而是你開啟學習古埃及文字的一把鑰匙
古埃及人透過象形文字來描繪、書寫萬物，具有平易近人的優雅美感，在長時間演變下，發展出包括各種不同文體。為了便於使用與攜帶，本...more",https://www.books.com.tw/products/0010923534?loc=P_0005_003,"['古埃及文作業簿', '來上一堂古埃及象形文字課', '古埃及象形文字(套書)', '怪傑佐羅力60：怪傑佐羅力太空大作戰', '圖解古埃及象形文字', '圖解古埃及神祇', 'KEIRA FLEUR Flower Course 花藝之書：宛如庭園般自然，風格與美學的實踐', '[MUJI 無印良品]棉棒(補充用)/200支', '最輕鬆好背的衍生記憶法.韓文單字語源圖鑑', 'ONE PIECE航海王 102 (首刷限定版)', '圖解 古埃及文明：這樣認識古埃及真有趣', '滿月珈啡店 櫻田千尋插畫集：「那是心靈疲憊的人才能到達的店」超越季節、徜徉星空，融合甜蜜與溫暖，用視覺擄獲味蕾，享受虛擬中的真實快樂!', '圖解美國史', 'SPY×FAMILY 間諜家家酒 5', '表現社 透明玻璃紙膠帶 招財貓', '動物水晶療癒：運用30種常見水晶療癒動物身心靈', '我在詐騙公司上班', 'SPY×FAMILY 間諜家家酒 4', '【Wa─Life】女孩時光紙膠帶 ‧ 花卉', 'SPY×FAMILY 間諜家家酒 3']"
語言學習,超越英文法：大量應用語意邏輯策略，以500則錯誤例示，心智鍛鍊英文認知能力，一掃學習迷思！,https://www.books.com.tw/img/001/092/59/0010925976.jpg,黃宋賢,凱信企管,2022/06/08,優惠價：79折 332元,"學習方法永遠沒有最好，只有更超越！
擁有二十多年英語教學資歷深受英語教學界老師們推崇的黃宋賢老師，
嘔心大作《超越英文法》重磅出擊！
是國內第一本取材自各類英文學習書、各類英文升...more",https://www.books.com.tw/products/0010925976?loc=P_0005_004,"['英文精準表現 ：學會藏在細節裡的英文使用規則!避免誤解、不得罪人，情境、用字遣詞、語氣全都恰到好處!(附實際運用對話 MP3 QR Code)', '讓人說 YES!企劃書.提案.報告：商用範例隨選即用PowerPoint(附光碟)', '逆轉人生的英語課：Netflix、Disney+翻譯官的英語學習術，讓你的英文跳躍式大進步', '從零開始的1頁企劃書：掌握3大重點，12要素，企劃‧提案書一次就上手!', '草本之家─紅花籽油CLA 60粒', '【江鳥咖啡 RiverBird】烘豆師醇拿鐵《10入/盒》', 'OGSM打造高敏捷團隊：OKR做不到的，OGSM一頁企畫書精準達成!', '三民精解英漢辭典(全新增訂版)', '數位時代新聞學', '[MUJI無印良品]自由換芯附蓋膠墨筆/黑0.38mm', '[MUJI無印良品]自由換芯附蓋膠墨筆/紅0.38mm', '為什麼男人不聽，女人不看地圖?', 'Karen M. McManus Boxset', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', '心智圖單字記憶法：心智圖的聯想記憶法，字根、字首、字尾串聯3000個國際英語測驗必背字', '給存股新手的財富翻滾筆記【隨書附贈：存股新手SOP小冊】：最適合小資族的「金融股543規律」，用薪水4萬輕鬆打造年收股息20萬!', '村上收音機', '[MUJI無印良品]自由換芯附蓋膠墨筆/藍0.38mm', '【農心】爽口海鮮味烏龍麵(4入/袋)', '[MUJI無印良品]國產番薯脆片(梅粉味)/95g']"
語言學習,高手詞彙必修課：70個贏得話語權，打造文字亮點的強力詞彙使用法,https://www.books.com.tw/img/001/092/47/0010924776.jpg,宋淑憙,遠流,2022/05/26,優惠價：79折 284元,"一個字就引發數百萬點擊、
一句話就吸引千萬人觀看、
一個詞就創造出上億商機！
 
★揭開韓劇台詞、綜藝節目、商品文案、廣告看板
之所以抓住目光、深植人心的秘密，
告訴你「全世界最貴的文...more",https://www.books.com.tw/products/0010924776?loc=P_0005_005,"['知識複利：將內容變現，打造專家型個人品牌的策略', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '表達力決定你是誰：提升表達力，成為自己期待的樣子', '四國˙遍路 給人生的20道力量：人生即遍路。日本流傳一千兩百年的四國遍路，讓人頓悟的傳說之路', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '2040世界未來報告書：太空淘金、人機共生、移動革命、能源戰爭、ESG策略，疫後時代如何抓住正在崛起的工作與商機?', '腦與力無限公司：虛實整合的挑戰!史丹佛商學院教你領先企業必備的十大核心能力', '編輯的創新與創業：日台韓越泰61個編輯創意團隊的實戰經驗', '精準提問：找到問題解方，培養創意思維、發揮專業影響力的16個提問心法', '底層邏輯：看清這個世界的底牌', '順勢溝通【博客來獨家親簽版】：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '最高選擇法：腦科學專家親授，教你如何直擊問題本質、突破思考盲點、一秒找出最佳解!', '超級思維：跨界、跨域、跨能，突破思考盲點，提升解決能力的心智模式大全', '內在原力：9個設定，活出最好的人生版本', '東大教授十小時教會你大學四年的社會學', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證', '給存股新手的財富翻滾筆記【隨書附贈：存股新手SOP小冊】：最適合小資族的「金融股543規律」，用薪水4萬輕鬆打造年收股息20萬!', '華爾街操盤手給年輕人的15堂理財課']"
語言學習,JLPT新日檢 N3一本合格【博客來獨家贈第四回紙本模擬試題】（附單字句型記憶小冊音檔MP3＋模擬試題暨詳解4回）,https://www.books.com.tw/img/001/092/18/0010921865.jpg,Hackers Academia,EZ叢書館,2022/05/05,優惠價：77折 461元,"【獨家擁有完整四回紙本模擬試題】
最強外語檢定攻略品牌Hackers日語研究團隊
每場日檢親臨考場，提供最逼真最符合趨勢的模擬試題
單字文法教學+單元習題+4回模擬試題+所有選項詳解
搭配...more",https://www.books.com.tw/products/0010921865?loc=P_0005_006,"['一定會考的JLPT日檢N3選擇題1，000：高效能、高報酬、新日檢快速過關!(免費附贈「Youtor App」內含VRP虛擬點讀筆)', 'JLPT新日檢 N4一本合格(附單字句型記憶小冊音檔MP3+模擬試題暨詳解4回)', '新日檢完勝500題N3：文字.語彙.文法', '新日檢N3模擬試題+完全解析 QR Code版(隨書附日籍名師親錄標準日語聽解試題音檔QR Code)', 'N3、N2、N1新日檢常見500文型：一目瞭然!必考文法考前筆記總整理(附 QR 碼線上音檔)', '穩紮穩打!新日本語能力試驗 N3文法 (修訂版)', '新日檢完勝單語N3(附MP3+手機APP)', '和菓子物語：Nippon所藏日語嚴選講座 (1書1雲端MP3音檔)', '犀牛盾 iPhone 1.2M編織傳輸充電線─Lightning to USB', '新日檢 JLPT N3 合格模試：全新仿真模考題，含逐題完整解析，滿分不是夢!(附聽解線上收聽+全書音檔下載QR碼)', '日本人的哈啦妙招!日文擬聲‧擬態語輕鬆學：附MP3音檔QR Code', '新日檢JLPT N3關鍵單字2，500：主考官的單字庫完全收錄，新日檢N3快速過關!(附1主考官一定會考的單字隨身冊+1CD+虛擬點讀筆APP)', '【美味田】極特濃系_原味乳酪絲(煙燻風味)(60g)', '30天考上!新日檢N4題庫+完全解析：546題文字‧語彙、文法、讀解、聽解(隨書附日籍名師親錄標準日語聽解試題音檔QR Code)', '穩紮穩打!新日本語能力試驗 N2文法 (修訂版)', '新日檢N3單字帶著背!全新修訂版', '新日檢 JLPT N4 合格模試：最接近實際日檢測驗!含逐題完整解析(附聽解線上收聽+音檔下載QR碼)', '60字法則商用日語文章術', '日本鬼秘話：Nippon所藏日語嚴選講座：(1書1雲端MP3音檔)', '韓檢初級大數據重點單字']"
語言學習,台語心花開：學台文超入門,https://www.books.com.tw/img/001/092/41/0010924124.jpg,鄭順聰,木馬文化,2022/05/18,優惠價：79折 316元,"這間台文的百貨公司，滿足你學台語的各種需求。
想學台語又畏懼台文的人，這本書正好是絕佳入門書。——黃筱純（鏡新聞台語主播）
繼學台語的第一本書《台語好日子》之後，致力推廣台文的作家鄭順聰推...more",https://www.books.com.tw/products/0010924124?loc=P_0005_007,"['台語好日子：學台語的第一本書', '台語現代小說選', '地獄谷：台語小說集', '台灣羅馬字拼音圖解(三版)', '覕相揣(臺語版)[精裝]', '矢板明夫在台灣「說三道四」', '台語認證考古題', '青瓦厝ê安妮(台英雙語.附台語朗讀)', '我的第一本台灣話：中文、羅馬拼音對照，6天學會說台語 (附MP3)', '熱天的時陣：嚕嚕的夏天(台文/中文雙語繪本，附台語朗讀音檔)', '台語的鄉土口味—俗諺、俚語', '臺灣名人傳記漫畫：巴克禮【臺文版】', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '你無聽──過ê格林童話(台德雙語.附台語朗讀)', '台語原來是這樣2：台南生活的台語日常', '漢文與東亞世界：從東亞視角重新認識漢字文化圈', '仙化伯的烏金人生', '灶雞仔 Tsàu─ke─á：台語短篇小說集', '安德尼斯烘焙坊的祕密：每日完售!吳克己的烘焙關鍵技法，在家重現店內的40款秒殺麵包', '3M 百利爐具/鍋具專用海綿菜瓜布6片裝']"
語言學習,"一定會考的JLPT日檢N1選擇題1,000：高效能、高報酬、新日檢快速過關！(附「Youtor App」內含VRP虛擬點讀筆)",https://www.books.com.tw/img/001/092/38/0010923878.jpg,"山口廣輝,吳沛珊",我識,2022/05/04,優惠價：79折 394元,"想搞定日檢考試，
就要先搞定「日檢選擇題」，
為什麼要搞定「日檢選擇題」？
因為日檢考試100％都考選擇題，
「搞定選擇題」就等於「搞定日檢考試」！
 
就算用猜的，都要比別人強！
最完整N1題型...more",https://www.books.com.tw/products/0010923878?loc=P_0005_008,"['全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析【修訂版】(2書+1CD+文法教學影片+「Youtor App」內含VRP虛擬點讀筆+防水書套)', '全新制20次多益滿分的怪物講師TOEIC多益單字+文法(附1CD+防水書套)', '連面試官都讚嘆的英語口試應考大全 【虛擬點讀筆版】(附「Youtor App」內含VRP虛擬點讀筆)', '全圖解、10倍速英語會話【全彩增修版】(附「Youtor App」內含VRP虛擬點讀筆)(二版)', '最強英文寫作指南：風靡全球的萬用寫作法，五大類文體完全適用!', '考遍天下無敵手英文文法大全【全新修訂版】', '睡前5分鐘的超好玩親子互動英文：專為台灣家庭打造的英文學習書(免費附贈虛擬點讀筆App + 1 CD + 45個中英文故事 + 線上下載爸爸媽媽親子互動手冊)', '全新制TOEIC多益單字放口袋(附贈應試祕笈+「Youtor App」內含VRP虛擬點讀筆)(二版)', '日本最強技術分析：1張圖看出漲跌訊號、1分鐘看懂價量分析', '世界最強英文溝通技巧：食、衣、住、行、育、樂、職都能輕鬆表達的英語會話指南(附1張「用英文開口說遊樂地圖」及「Youtor App」內含VRP虛擬點讀筆)', '一定會考的JLPT日檢N2選擇題1，000：高效能、高報酬、新日檢快速過關!(免費附贈「Youtor App」內含VRP虛擬點讀筆)', '全新制多益TOEIC考試有祕密：30天挑戰多益600分(二版)(附贈一定會考的單字隨身手冊+「Youtor App」內含VRP虛擬點讀筆)', '讓74億人都驚呆的多益單字心智地圖(附17張超好學全彩心智地圖拉頁+「Youtor App」內含VRP虛擬點讀筆)', '超高命中率GEPT全民英檢初級單字+文法+片語(附1MP3)', '考遍天下無敵手10，000單字：全國唯一完整收錄國內外10大英文考試的必備單字書【虛擬點讀筆版】(二版)(免費附贈「Youtor App(內含VRP虛擬點讀筆)」+名師真人講解「文法影片」)', '讓74億人都驚呆的英文文法心智地圖(附10張文法心智地圖拉頁)', '怪物講師教學團隊的GEPT全民英檢中級初試10回模擬試題+解析【增修版】(2書+整回/單題聽力雙模式MP3+「Youtor App」內含VRP虛擬點讀筆+防水書套)', '新日檢完勝500題N1：文字.語彙.文法', '7天攻頂，怪物講師教學團隊的TOEIC多益閱讀10回1，000題全真模擬試題+解析(2書+防水書套)', '7天攻頂，怪物講師教學團隊的TOEIC多益聽力10回1，000題全真模擬試題+解析(2書+「Youtor App」內含VRP虛擬點讀筆+防水書套)']"
語言學習,新制New TOEIC聽力閱讀超高分：最新多益改版黃金試題2000題【聽力+閱讀雙書版】 （16K+寂天雲隨身聽APP）,https://www.books.com.tw/img/001/092/38/0010923814.jpg,Ki Taek Lee,寂天,2022/05/06,優惠價：9折 882元,"最多人推薦！多益改制超級熱門暢銷書！
這本書題目一定要做過一次！
 
戰勝新多益聽力的關鍵是什麼？做題要靠「熟感」，下筆要能快、狠、準！
黃金試題網羅所有經典題型，實戰NEWTOE...more",https://www.books.com.tw/products/0010923814?loc=P_0005_009,"['新制多益 NEW TOEIC 單字大全：2018起多益更新單字資訊完全掌握!(附13小時8種版本MP3)', 'New TOEIC多益新制黃金團隊5回全真試題+詳解(附2MP3+防水書套)', '新制多益TOEIC單字/全新!聽力+閱讀 題庫大全【博客來獨家套書】：最完備、全面的新制多益學習套書(附3 MP3+互動式聽力答題訓練光碟+音檔下載QR碼)', '全新!新制多益TOEIC聽力/閱讀題庫解析【博客來獨家套書】：全新收錄精準 10 回模擬試題!徹底反映命題趨勢、大幅提升實戰能力!(附2 MP3+音檔下載QR碼)', '讓74億人都驚呆的多益單字心智地圖(附17張超好學全彩心智地圖拉頁+「Youtor App」內含VRP虛擬點讀筆)', '全新制20次多益滿分的怪物講師TOEIC多益單字+文法(附1CD+防水書套)', '全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析【修訂版】(2書+1CD+文法教學影片+「Youtor App」內含VRP虛擬點讀筆+防水書套)', 'New TOEIC多益新制黃金團隊FINAL終極版5回全真試題+詳解(QR Code+防水書套)', 'New TOEIC TEST多益單字群超強串記3000 (英美口音MP3免費下載)', '[星巴克]精選咖啡蛋捲禮盒', '挑戰新制多益聽力滿分：模擬試題1000題(16K+寂天雲隨身聽APP)', '7天攻頂，怪物講師教學團隊的TOEIC多益閱讀10回1，000題全真模擬試題+解析(2書+防水書套)', 'NEW TOEIC新制多益必考單字600 附MP3：BARRON’S(第六版)', 'TOEIC L&R TEST多益[閱讀+聽力]解密套書', '挑戰新制多益聽力閱讀滿分：模擬試題2000題【聽力+閱讀雙書版】(16K+寂天雲隨身聽APP)', '[星巴克]星巴克咖啡捲心酥', 'TOEIC L&R TEST多益閱讀解密[全新制]', 'TOEIC L&R TEST多益[閱讀+聽力+文法]解密套']"
語言學習,穩紮穩打！新日本語能力試驗 N5文法 (修訂版),https://www.books.com.tw/img/001/092/27/0010922790.jpg,目白JFL教育研究會,想閱文化有限公司,2022/05/10,優惠價：79折 316元,"★市面上最詳細的暢銷日檢學習系列，隆重改版！
★初版銷售冠軍，上市數週後即搶購一空絕版！
★有口皆碑、廣受好評，為你鋪好日語學習的康莊大道！
 
這是一本專為華語圈日語學習者所量...more",https://www.books.com.tw/products/0010922790?loc=P_0005_010,"['穩紮穩打!新日本語能力試驗 N4文法 (修訂版)', '穩紮穩打!新日本語能力試驗 N3文法 (修訂版)', '穩紮穩打!新日本語能力試驗 N2文法 (修訂版)', '穩紮穩打!新日本語能力試驗 N1文法 (修訂版)', '穩紮穩打!新日本語能力試驗 文法・讀解特別篇', '你以為你懂，但其實你不懂的日語文法Q & A', '大家學標準日本語【初級本】(超值組合：課本+文法解說.練習題本+東京標準音MP3)', '新日檢完勝單語N5(附MP3+免費APP試題)', '[MUJI無印良品]聚丙烯檔案盒用(小物盒)/約90x40x100mm', '新日檢JLPT N4 N5關鍵單字2，500：主考官的單字庫完全收錄，新日檢N4 N5快速過關!(附1主考官一定會考的單字隨身冊+1CD+虛擬點讀筆APP)', '新制日檢 絕對合格 N1，N2，N3，N4，N5單字分類圖像大全—從零基礎到考上N1日語自學就靠這一本 (25K+QR碼線上音檔+MP3)', '新日檢N5單字帶著背!QR Code版(隨書附日籍名師親錄標準日語朗讀音檔QR Code)', '專為初學者準備的日文課本：跟著王可樂，一次學好基礎日文(1CD+可樂老師/原田老師真人教學影片+VRP虛擬點讀筆App)', '新日檢完勝對策N5：漢字.語彙.文法.讀解.聽解(MP3免費下載)', '新日檢完勝單語N4 (附MP3+手機APP)', '好勁道千羽拉麵袋', '日本語常用動詞活用辭典N1，N2，N3，N4，N5動詞辭典：從零基礎到考上N1，就靠這一本!(25K+MP3)', '日本語GOGOGO 2(書+3CD)']"
