分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
電腦資訊,零基礎入門的Python自動化投資：10年操盤手團隊量化通，教你從零開始學程式交易，讓你輕鬆選股、判斷買賣時機，精準獲利,https://www.books.com.tw/img/001/092/50/0010925009.jpg,量化通,采實文化,2022/05/25,優惠價：79折 356元,"沒時間盯盤、不會選股、不敢停損停利⋯⋯
讓投資新手或資深股民都相當困擾，
其實，只要學會程式交易，機器人幫你自動化投資，
這些問題就能一勞永逸，
連文科人也可以輕鬆上手！
 
★第...more",https://www.books.com.tw/products/0010925009?loc=P_0005_001,"['Python 投資停看聽：運用 Open data 打造自動化燈號，學會金融分析精準投資法(iT邦幫忙鐵人賽系列書)', '最強炒股者：戰勝大盤的13招交易法', '比 VBA 更強的 RPA 來了!Power Automate Desktop 零程式打造辦公室流程自動化', '台股老先覺杜金龍的技術分析入門', 'A4習字計劃。習慣寫字。田字格。墨茶', '頂尖操盤手的養成計畫2：交易王者的心智修練', '頂尖操盤手的養成計畫1：建立你的獲利模型', '自組ETF，讓我股利翻倍的存股法：忙碌理科工程師打造屬於自己的ETF，月領4萬被動收入', '邊玩邊賺入手NFT：迎接元宇宙時代，如何判斷真偽、避開詐騙和泡沫化，買一張有價值又抗跌的虛實資產?', 'Python從初學到生活應用超實務(電腦視覺與AI加強版)：讓Python幫你處理日常生活與工作中繁瑣重複的工作', '房市老手21堂超強實戰課：快速看穿房屋買賣陷阱', '最強股市技術分析實戰：2020~2021短短2年，賺進10倍以上的實例分析', '區塊鏈：下一波散戶投資錢潮：投資加密貨幣，成為新世代富翁', '【圖解】零基礎入門Excel╳Python高效工作術：輕鬆匯入大量資料、交叉分析、繪製圖表，連PDF轉檔都能自動化處理，讓效率倍增', '給工程師的第一本理財書：程式金融交易的118個入門關鍵技巧【暢銷回饋版】', '【圖解】波段、當沖、美股三贏!日本股神的線圖獲利法：97張圖╳5種獨門技法╳3大判讀關鍵，讓你一出手就有8成勝率，高效累積千萬資產!', '[益生堂] 仙楂粒', '全方位理財的第一堂課：你一生必學的五大財務規畫', '[益生堂] 薄荷宋陳丸(小)', '不敗學習力：學霸都在用的10大聰明讀書法']"
電腦資訊,比 VBA 更強的 RPA 來了！Power Automate Desktop 零程式打造辦公室流程自動化,https://www.books.com.tw/img/001/092/42/0010924204.jpg,株式会社ASAHI Accounting Robot研究所,旗標,2022/05/24,優惠價：79折 442元,"身為白領上班族，工作上免不了充斥著各種例行性事務，有著重複性高和操作單調的特性，像是幫老闆抓資料、幫業務彙總清單，整理部門報表…等，你的工作效率都被這些瑣事給拖垮了。
 
RPA就是專門...more",https://www.books.com.tw/products/0010924204?loc=P_0005_002,"['Python從初學到生活應用超實務(電腦視覺與AI加強版)：讓Python幫你處理日常生活與工作中繁瑣重複的工作', '零基礎入門的Python自動化投資：10年操盤手團隊量化通，教你從零開始學程式交易，讓你輕鬆選股、判斷買賣時機，精準獲利', '圖解RPA機器人流程自動化入門：10堂基礎課程+第一線導入實證，從資料到資訊、從人工操作到數位勞動力，智慧化新技術的原理機制、運作管理、效益法則', 'Python 教學手冊', 'Python 投資停看聽：運用 Open data 打造自動化燈號，學會金融分析精準投資法(iT邦幫忙鐵人賽系列書)', 'Python資料科學自學聖經：不只是建模!用實戰帶你預測趨勢、找出問題與發現價值(附關鍵影音教學、範例檔)', 'RPA 入門與應用：機器人流程自動化', '企業虛擬化架構：雲端世代VMware vSphere 7高效管理', '翻倍效率工作術：不會就太可惜的Excel+Power BI大數據視覺圖表設計與分析(第二版)', 'Power BI入門 大數據視覺化 + 智慧決策 + 雲端分享 王者歸來(全彩印刷)', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', 'VMware vSphere 7.x 維運實戰管理祕訣', 'CCNA 網路認證先修班', 'Excel Power Pivot：免VBA，也能讓Excel自動統計、分析資料', 'JavaScript多執行緒|超越事件迴圈的並行', '超簡單!Python與Excel整合應用150技', '意見不同，還是可以好好說：Twitter 、Slack高績效團隊負責人，教你化解歧見的8種溝通心理技術', '彼岸花盛開之島【台灣獨家書封】(台灣首位，芥川獎得獎作!)', '精準提問：找到問題解方，培養創意思維、發揮專業影響力的16個提問心法', 'Power BI終極實戰寶典|使用Power Query與PowerBI進行資料分析']"
電腦資訊,教練敏捷團隊：ScrumMaster、敏捷教練及專案經理轉型的最佳指南,https://www.books.com.tw/img/001/092/43/0010924356.jpg,Lyssa Adkins,博碩,2022/05/19,優惠價：78折 468元,"JimHighsmith、MikeCohn共同推薦！
 
★教練敏捷團隊的啟發性實用指南★
 
身為敏捷教練，你可以協助專案團隊在敏捷領域變得出色，並打造出能讓他們深感自豪的產品，並可協助組織從提供創新與卓...more",https://www.books.com.tw/products/0010924356?loc=P_0005_003,"['旗艦級相片沖印 4*6吋【受託代銷】', 'OGSM變革領導：打造企業創新力，建立靈活、隨時擴充的全公司溝通系統工具', 'Scrum敏捷產品管理：打造客戶喜愛的產品', '《紅布朗》綜合堅果(250g/袋)', 'OGSM打造高敏捷團隊：OKR做不到的，OGSM一頁企畫書精準達成!', '軟體架構師全方位提升指南|數位轉型企業中架構師角色的新定義', '[MUJI無印良品]自由換芯滑順膠墨筆芯/黑0.5mm', '[MUJI無印良品]自由換芯滑順膠墨筆芯/藍0.5mm', '晤談的力量：寫給助人者的經典個案逐字稿實作演示與解析', '最新世代平行運算：分散式系統主流框架實作指南', '經理人月刊 4月號/2022 第209期', '變化中的世界秩序：橋水基金應對國家興衰的原則', 'IFS自我療癒法 卷二：化解內在衝突的雙贏之道', '敏捷管理生存指南 不是快，而是適者生存 (上下兩冊)', 'SCRUM BOOT CAMP|23場工作現場的敏捷實戰演練', '底層邏輯：看清這個世界的底牌', '演算法洞見：遞推與遞迴', 'E─home Alice埃利斯可調式布面方格電腦椅─三色可選灰色', 'The Great ScrumMaster中文版： #ScrumMasterWay', '專案管理輕鬆學：PMP國際專案管理師教戰寶典(第三版) [適用PMBOK第七版(含敏捷管理)]']"
電腦資訊,寫給中學生看的AI課：AI生態系需要文理兼具的未來人才,https://www.books.com.tw/img/001/092/19/0010921963.jpg,蔡宗翰,三采,2022/04/22,優惠價：79折 332元,"第一本針對108課綱科技素養的趨勢教育書。
 
AI一定是理科腦？
文科腦在AI發展有何重要性？
「AI界李白」蔡宗翰教授結合輔導高中以上學生與台灣人工智慧學校的豐富經驗，
...more",https://www.books.com.tw/products/0010921963?loc=P_0005_004,"['不敗學習力：學霸都在用的10大聰明讀書法', '富小孩與窮小孩：給現代青少年的24堂財務思維課', '製造數據科學：邁向智慧製造與數位決策', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '漫畫大英百科【文明文化5】：未來職業', '變化中的世界秩序：橋水基金應對國家興衰的原則', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', 'NSCA運動科學(附彩圖光碟)', '做孩子需要的媽媽，就好：教授媽媽郭葉珍〔聽、愛、馭〕三步驟，化解衝突，讓孩子願意聽你說', '艾惟諾葡萄柚活力淨亮護手霜50g', '只是開玩笑，竟然變被告?：中小學生最需要的24堂法律自保課', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '以太，下一波贏家：第一本以太幣的投資專書(隨書附贈「加速入圈超值包」)', '商業模式轉型：獲利世代2 價值創新的6大途徑', '過目不忘的文轉圖深化記憶法：跟著世界記憶權威用大腦最節能的學習途徑，讓你的輸出有觀點，學習力、企劃力、專注力全面升級', '只是開玩笑，竟然變被告2：中小學生和老師家長都需要的法律自保課', '2030科技趨勢全解讀：元宇宙、AI、區塊鏈、雲端、大數據、5G、物聯網，七大最新科技一本就搞懂!', '一個操盤手的虧損自白：長銷30年的獲利經典']"
電腦資訊,Python 教學手冊,https://www.books.com.tw/img/001/092/25/0010922575.jpg,洪維恩,旗標,2022/05/04,優惠價：79折 514元,"程式設計書20萬冊暢銷作者洪維恩最新力作！
本書沿襲《C語言教學手冊》、《C++教學手冊》、《Java教學手冊》系列書籍的中心思維,以教學為優先考量,在內容的設計與學習的節奏上,都適度考量到...more",https://www.books.com.tw/products/0010922575?loc=P_0005_005,"['比 VBA 更強的 RPA 來了!Power Automate Desktop 零程式打造辦公室流程自動化', 'Python 投資停看聽：運用 Open data 打造自動化燈號，學會金融分析精準投資法(iT邦幫忙鐵人賽系列書)', 'C++ 教學手冊 第三版(附光碟*1)', 'AI世代高中生也能輕鬆搞懂的運算思維與演算法：使用Python', '超高效!Python × Excel資料分析自動化：輕鬆打造你的完美工作法!', 'Python資料科學自學聖經：不只是建模!用實戰帶你預測趨勢、找出問題與發現價值(附關鍵影音教學、範例檔)', 'C語言教學手冊(四版)(附1光碟)', '【圖解】零基礎入門Excel╳Python高效工作術：輕鬆匯入大量資料、交叉分析、繪製圖表，連PDF轉檔都能自動化處理，讓效率倍增', '給工程師的第一本理財書：程式金融交易的118個入門關鍵技巧【暢銷回饋版】', 'DigiStone 3C多功能防震硬殼收納包(適2.5吋硬碟/行動電源/相機/記憶卡/3C產品)─黑色X1P', 'Python從初學到生活應用超實務(電腦視覺與AI加強版)：讓Python幫你處理日常生活與工作中繁瑣重複的工作', '過目不忘的文轉圖深化記憶法：跟著世界記憶權威用大腦最節能的學習途徑，讓你的輸出有觀點，學習力、企劃力、專注力全面升級', '《CHABAA》啜吧─100% 蘋果汁1000ml', '超簡單!Python與Excel整合應用150技', 'Python自學聖經(第二版)：從程式素人到開發強者的技術與實戰大全(附影音/範例程式)', 'Python GUI設計活用tkinter之路(第三版)：王者歸來', 'Excel自學聖經(第二版)：從完整入門到職場活用的技巧與實例大全', '理解演算法：Python初學者的深度歷險', '半導體投資大戰：為什麼美、中、台、韓都錢進半導體?了解全球半導體商機的第一本書', 'Python機器學習與深度學習特訓班(第二版)：看得懂也會做的AI人工智慧實戰(附120分鐘影音教學/範例程式)']"
電腦資訊,以太，下一波贏家：第一本以太幣的投資專書（隨書附贈「加速入圈超值包」）,https://www.books.com.tw/img/001/092/19/0010921961.jpg,吳紹綱 Raymond Wu,三采,2022/04/29,優惠價：79折 356元,"馬斯克推文：我會繼續持有以太幣，不會拋售
NBA傳奇柯瑞、饒舌之神阿姆等巨星都愛用
亞馬遜布局支持，華爾街巨頭紛紛看好潛力
 
——第一本以太幣的投資專書——
 
如果說，
比特幣是抗通膨的防守型...more",https://www.books.com.tw/products/0010921961?loc=P_0005_006,"['致富強心臟：最強的牌桌心理鍛鍊，掙脫「我無法/ 我應該/我沒錢」人生困局', '加密貨幣聖經：數位貨幣、數位資產、加密交易與區塊鏈的過去與未來', '為何賣掉就漲，買了就跌?：行為金融學教你避開人性弱點，擴大投資效益，實現財富自由!', '一個操盤手的虧損自白：長銷30年的獲利經典', '變化中的世界秩序：橋水基金應對國家興衰的原則', '原子習慣：細微改變帶來巨大成就的實證法則', '比特幣投資金律：加密貨幣實戰教學與進階獲利法', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '底層邏輯：看清這個世界的底牌', '隱市致富地圖：60億操盤手用一張圖，找到上漲超過30%的翻轉人生贏勢股', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', 'NFT實戰勝經：劉呈顥教你用NFT創造財富的10種方法', '2030科技趨勢全解讀：元宇宙、AI、區塊鏈、雲端、大數據、5G、物聯網，七大最新科技一本就搞懂!', '以太奇襲：一位19歲天才，一場數位與金融革命', '加密貨幣之王：從矽谷到華爾街，虛擬貨幣如何顛覆金融秩序', '全方位理財的第一堂課：你一生必學的五大財務規畫', '錢進加密貨幣：掌握金融變局，彎道超車搶先機!', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', 'NFT投資聖經：全面即懂的終極實戰攻略，從交易、發行到獲利，掌握市值破千億的元宇宙經濟商機', '區塊鏈金術：比特幣×以太坊×NFT×元宇宙×大數據×人工智慧，你必懂的新世紀超夯投資術，別再只是盲目進場!']"
電腦資訊,Python資料科學自學聖經：不只是建模！用實戰帶你預測趨勢、找出問題與發現價值(附關鍵影音教學、範例檔),https://www.books.com.tw/img/001/092/31/0010923134.jpg,"鄧文淵,文淵閣工作室",碁峰,2022/05/09,優惠價：79折 458元,"網路書店年度百大電腦資訊暢銷書
《Python自學聖經》系列力作
運用Python掌握資料科學的價值
讓人工智慧機器學習找出趨勢的關鍵密碼
完整涵蓋Python資料科學技術，從開發工具、資料...more",https://www.books.com.tw/products/0010923134?loc=P_0005_007,"['Python自學聖經(第二版)：從程式素人到開發強者的技術與實戰大全(附影音/範例程式)', 'Excel自學聖經(第二版)：從完整入門到職場活用的技巧與實例大全', '比 VBA 更強的 RPA 來了!Power Automate Desktop 零程式打造辦公室流程自動化', '翻倍效率工作術：不會就太可惜的Excel+Power BI大數據視覺圖表設計與分析(第二版)', 'Python初學特訓班(第四版)：從快速入門到主流應用全面實戰(附250分鐘影音教學/範例程式)', 'Python 教學手冊', 'Python實戰聖經：用簡單強大的模組套件完成最強應用(附影音/範例程式)', 'Python大數據特訓班(第二版)：資料自動化收集、整理、清洗、儲存、分析與應用實戰(附300分鐘影音教學/範例程式)', 'Python 投資停看聽：運用 Open data 打造自動化燈號，學會金融分析精準投資法(iT邦幫忙鐵人賽系列書)', 'Python零基礎入門班(第三版)：一次打好程式設計、運算思維與邏輯訓練基本功(附160分鐘入門影音教學/範例程式)', 'Python與LINE Bot機器人全面實戰特訓班：Flask最強應用(附210分鐘影音教學/範例程式)', '我也要當 YouTuber(第二版)：百萬粉絲網紅不能說的秘密 ─ 拍片、剪輯、直播與宣傳實戰大揭密', 'Office 2021高效實用範例必修16課(附500分鐘影音教學/範例檔)', '【最新ITS認證版】Python零基礎入門班(含ITS Python國際認證模擬試題)', '專家都在用的Google最強實戰：表單、文件、試算、簡報、遠距與線上會議(附影音與範例)', 'Python機器學習超進化：AI影像辨識跨界應用實戰(附100分鐘影像處理入門影音教學/範例程式)', '【圖解】零基礎入門Excel╳Python高效工作術：輕鬆匯入大量資料、交叉分析、繪製圖表，連PDF轉檔都能自動化處理，讓效率倍增', '零基礎入門的Python自動化投資：10年操盤手團隊量化通，教你從零開始學程式交易，讓你輕鬆選股、判斷買賣時機，精準獲利', 'Python機器學習與深度學習特訓班(第二版)：看得懂也會做的AI人工智慧實戰(附120分鐘影音教學/範例程式)', '演算法：最強彩色圖鑑 + Python程式實作 王者歸來(第二版)']"
電腦資訊,從零開始的3D設計之旅：Blender 3D入門教材,https://www.books.com.tw/img/001/092/24/0010922457.jpg,游峰碩,博碩,2022/04/28,優惠價：79折 474元,"從基礎模型建構到動畫製作，全面感受3D製作高效率的設計表現
邁入Blender3D讓人人都可以成為設計師
功能媲美商業級的3D軟體，
Blender3D以免費的方式提供給全球廣大的學習者，
並...more",https://www.books.com.tw/products/0010922457?loc=P_0005_008,"['超Easy!Blender 3D繪圖設計速成包 含3D列印技巧 最新版(第二版)', 'Python遊戲開發講座入門篇|基礎知識與RPG遊戲', 'Python遊戲開發講座進階篇|動作射擊與3D賽車', '【The Chala】裸食燕麥脆片─ 黑糖', 'AHC 賦活能亮全臉眼霜30ml', '善存 醫用口罩(未滅菌)─成人立體型 黑醋栗(25入/盒)', '3ds Max 2021遊戲建模與動畫設計', '變化中的世界秩序：橋水基金應對國家興衰的原則', '元宇宙影音製作指南 ─ 微電影製作入門實戰證照', '不准畫太好：人氣YouTuber的4大繪圖障礙破解術', 'Maya 2020 遊戲建模與動畫設計']"
電腦資訊,Python 投資停看聽：運用 Open data 打造自動化燈號，學會金融分析精準投資法（iT邦幫忙鐵人賽系列書）,https://www.books.com.tw/img/001/092/28/0010922872.jpg,吳東霖,博碩,2022/04/29,優惠價：79折 474元,"本書內容改編自第12屆iT邦幫忙鐵人賽
MicrosoftAzure組佳作網站系列文章
PythonX金融分析XAzure
 
本書從Python入門出發，學習撰寫Python程式，說明如何運用Python知名工具－pandas、...more",https://www.books.com.tw/products/0010922872?loc=P_0005_009,"['零基礎入門的Python自動化投資：10年操盤手團隊量化通，教你從零開始學程式交易，讓你輕鬆選股、判斷買賣時機，精準獲利', '給工程師的第一本理財書：程式金融交易的118個入門關鍵技巧【暢銷回饋版】', 'Python 教學手冊', '比 VBA 更強的 RPA 來了!Power Automate Desktop 零程式打造辦公室流程自動化', '【圖解】零基礎入門Excel╳Python高效工作術：輕鬆匯入大量資料、交叉分析、繪製圖表，連PDF轉檔都能自動化處理，讓效率倍增', '金融機器學習與資料科學藍圖', 'Python資料科學自學聖經：不只是建模!用實戰帶你預測趨勢、找出問題與發現價值(附關鍵影音教學、範例檔)', 'Python金融市場賺大錢聖經：寫出你的專屬指標', '一個操盤手的虧損自白：長銷30年的獲利經典', 'Azure DevOps顧問實戰', '超高效!Python × Excel資料分析自動化：輕鬆打造你的完美工作法!', '投資交易心理戰：內建情緒GPS，揪出投資行為缺陷，讓你持續走在獲利的路上', 'MongoDB 5.x實戰應用', '全方位理財的第一堂課：你一生必學的五大財務規畫', '歐樂B─無蠟牙線50公尺2入', '第一次開網店就大賣第五版增修版', 'Python大數據特訓班(第二版)：資料自動化收集、整理、清洗、儲存、分析與應用實戰(附300分鐘影音教學/範例程式)', 'Python與物聯網程式開發終極實戰寶典', 'Python自學聖經(第二版)：從程式素人到開發強者的技術與實戰大全(附影音/範例程式)', '艾杜紗RoyalJelly蜂王漿潔顏乳120g']"
電腦資訊,Google 雲端應用×遠距教學×居家上課×線上會議一書搞定：老師、家長、學生、上班族居家必備懶人包,https://www.books.com.tw/img/001/092/41/0010924120.jpg,鄭苑鳳,博碩,2022/05/12,優惠價：9折 468元,"大疫情時代，老師們一定要會的遠距教學工作術！
 
從入門基礎到實務解說，
帶你展現超高效的雲端教學技能
 
【重點內容】
☛遠距教學必備利器GoogleMeet
☛師生互動平台G...more",https://www.books.com.tw/products/0010924120?loc=P_0005_010,"['專家都在用的Google最強實戰：表單、文件、試算、簡報、遠距與線上會議(附影音與範例)', '[MUJI無印良品]MUJI溫和卸妝凝露', '線上教學的技術：快速上手的12堂必修課', '《劉一手》榕樹下沙茶豆干(100g/包)', '[MUJI 無印良品]棉棒(補充用)/200支', '線上教學力：全球趨勢X觀念心法X課堂實作X好用工具', '塗鴉吧!用視覺模板翻轉人生：6種框架x4個步驟，學習、工作、時間管理全搞定', '一次學會 Google Office 必備工具：文件 X 試算表 X 簡報 X 雲端硬碟']"
