分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
文學小說,村上T 我愛的那些T恤,https://www.books.com.tw/img/001/092/46/0010924625.jpg,村上春樹,時報出版,2022/05/31,優惠價：79折 300元,"在我人生中的種種投資，這無疑是最划算的一樁。
村上春樹
《POPEYE》雜誌超人氣連載隨筆集結成冊！
打開村上春樹的私人衣櫃，從堆在瓦楞紙箱中的龐大收藏中，
精選108件T恤並寫下關於這些T恤的18篇主題紀...more",https://www.books.com.tw/products/0010924625?loc=P_0005_001,"['綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '[MUJI無印良品]即食迷你拉麵 (雞汁風味)/120g', '放歌(作者親簽版)', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '彼岸花盛開之島【日本原版書封】(台灣首位，芥川獎得獎作!)', '激流與倒影(平裝雲門《水月》雙面書衣)', '沒有女人的男人們(電影書腰全心出發版)', '【荷蘭史翠普】焦糖煎餅250g', '酒店開門之前 卜洛克的作家養成記', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '海幻 (限量作者親簽版)', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】', '如果我們的語言是威士忌', '失控的轟炸：人道與人性的交戰，造就二戰最漫長的一夜 (含8頁珍貴歷史圖片)', '玩笑【昆德拉手繪書封版】：米蘭.昆德拉奠定世界文壇地位的小說處女作，創作初心的終極展現!', '【ecostore】純淨香皂─80g/純羊奶', '銀之夜', '菜場搜神記：一個不買菜女子的市場踏查日記']"
文學小說,六個說謊的大學生【博客來獨家書衣版】（2022年本屋大賞第5名）,https://www.books.com.tw/img/001/092/26/0010922644.jpg,淺倉秋成,采實文化,2022/05/05,優惠價：79折 340元,"★2022年本屋大賞第5名★

★博客來5月選書★

有一種「惡意」，比殺人更深刻，

如果能爭取到更好的未來，

你，願意「說謊」嗎？

一場絕對猜不到凶手的沉浸式心理戰
日本全國書店員...more",https://www.books.com.tw/products/0010922644?loc=P_0005_002,"['在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', '祝葬', '小小世界【本屋大賞第3名、直木賞入圍作】(博客來獨家封面)', '徵人啟事', '前男友的遺書', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '新 推理要在晚餐後', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '偽魚販指南', '歡迎光臨夢境百貨2：找回不再做夢的人', '驗屍報告', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '知識複利：將內容變現，打造專家型個人品牌的策略', '我們想去的地方', '永遠的院子', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '白魔之塔 (複製簽名版)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '星期五的書店：夏天與汽水']"
文學小說,百鬼夜行卷8：狼人（月夜狼嚎PVC夜光書衣版）,https://www.books.com.tw/img/001/092/46/0010924691.jpg,笭菁,奇幻基地,2022/06/02,優惠價：79折 300元,"博客來、金石堂年度暢銷作家——華文靈異天后笭菁 
全新系列「百鬼夜行卷」，全新力作，一鬼一故事
寧靜街頭‧暗夜鐘響‧百鬼夜行‧善惡莫測
「百鬼夜行」來了位尋找失蹤孩童們的失憶老師，約聘的ＤＪ...more",https://www.books.com.tw/products/0010924691?loc=P_0005_003,"['百鬼夜行卷7：吸血鬼', '百鬼夜行卷6：黃色小飛俠', '丑時之女：異遊鬼簿II', '詭軼紀事‧肆：喪鐘平安夜', '百鬼夜行卷5：座敷童子', '詭軼紀事‧參：萬聖鐮血夜', '迴陰(金馬創投及台灣優良電影劇本改編小說)', '百鬼夜行卷4：火焚鬼', '(3包1套)哈哈傳統高透明書套 210', '天防者III：超感者', '百鬼夜行卷8：狼人', '綾羅歌.卷一~卷二.獨家限量作者親簽精緻燙金典藏書盒版', '【IPSA】 化妝棉_120入', 'ONE PIECE航海王 102 (首刷限定版)', '乩身：血月時魔王降臨 完', '詭軼紀事‧貳：中元萬鬼驚', '笭菁闇語2：厄鄰', '百鬼夜行卷3：魔神仔', '暗戀是憂鬱的青色', '[MUJI無印良品]自由換芯附蓋膠墨筆/紅0.38mm']"
文學小說,在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】,https://www.books.com.tw/img/001/092/22/0010922261.jpg,川口俊和,悅知文化,2022/04/27,優惠價：79折 284元,"暢銷台、日、美、英、義等34國、
誠品•博客來•金石堂年度百大、
銷售突破140萬冊之本屋賞入圍作品、
有村架純主演電影原著小說、
《在咖啡冷掉之前》作者之最新催淚新作！
 
明知道終將...more",https://www.books.com.tw/products/0010922261?loc=P_0005_004,"['在咖啡冷掉之前【電影書腰版】', '在回憶消逝之前', '在謊言拆穿之前', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '獅子的點心：2020本屋大賞TOP2!小川糸全新小說，感淚必至!', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '漣漪的夜晚：日本書店員票選「讀了必哭的書」TOP 1', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '永遠的院子', '歡迎光臨夢境百貨2：找回不再做夢的人', '星期五的書店：夏天與汽水', '本命，燃燒【芥川賞受賞作!文學三冠王達成!最衝擊普世價值之話題作品】', '偽魚販指南', '小小世界【本屋大賞第3名、直木賞入圍作】(博客來獨家封面)', '流浪的月【本屋大賞TOP1】', '歡迎光臨夢境百貨：您所訂購的夢已銷售一空', '別人怎麼對你，都因為你說的話']"
文學小說,綾羅歌．卷一～卷二．獨家限量作者親簽精緻燙金典藏書盒版,https://www.books.com.tw/img/001/092/47/0010924705.jpg,鄭丰,奇幻基地,2022/06/02,優惠價：79折 672元,"【綾羅歌限量精緻燙金典藏書盒版套書組】
※卷一裝訂獨家作者親筆簽名扉頁（書盒已預留空間可裝全四冊）※
內含《綾羅歌》卷一、卷二，富麗精細，氣質出眾。
書衣設計意境空靈，遍灑金蔥點綴，外盒裱裝精...more",https://www.books.com.tw/products/0010924705?loc=P_0005_005,"['海幻 (限量作者親簽版)', '天防者III：超感者', '放歌(作者親簽版)', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '男子漢【限量作者親簽版】', '你不能再死一次【博客來獨家親簽版】', '留在Tomo桑心底的日本味：想念家鄉的60道日式料理', '候鳥的女兒(作者親筆簽名扉頁版)', '武漢(博客來獨家簽名版)', '【荷蘭史翠普】焦糖煎餅250g', '武林舊事‧卷一：青城劣徒', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '零零落落【限量精裝版：每本附專屬收藏燙金編號及親蓋藏書印】', '我有結婚病【限量親簽版】', '千門【3+4套書】', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)', '流動日常：藝術蝦的繪畫日記【扉頁親簽版‧博客來獨家】', '【作者親簽版】頂級食材聖經：跟著摘星主廚Jimmy品嘗金字塔頂端的美味', '[MUJI 無印良品]棉棒(補充用)/200支', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】']"
文學小說,明年見，明天見（台北星夜版）,https://www.books.com.tw/img/001/092/39/0010923938.jpg,Middle,春天出版社,2022/05/20,優惠價：9折 288元,"「明天見」，
還記得自己對上一次說這一句話，
是在什麼時候嗎？
累積突破百萬讀者
台、港、澳、新馬年度暢銷作家
Middle最新短篇小說力作
縱使未可再聚，但依然最想見你……...more",https://www.books.com.tw/products/0010923938?loc=P_0005_006,"['明年見，明天見(香港燈影版)', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '好好再見 不負遇見', '不要再回覆他的短訊，好嗎', '時間，才是最後的答案', '想把餘生的溫柔都給你【12萬冊紀念版】', '一周七天，晴天雨天【獨家首刷限量作者親簽版+手寫傳情卡】：寫給每一個為生活努力的你', '大概是時間在煮我吧', '蘇菲 超輕柔護墊無香(40片 x 3包/組)', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '你好，這裡是記憶花店', '月亮是夜晚唯一的光芒', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '就算從未忘記(博客來獨家版)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '離開以後，你有沒有更自由', '曾經錯過的時間，曾經對過的你', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '凌物語：後來，我們都學會假裝不再在乎']"
文學小說,你不能再死一次【博客來獨家親簽版】,https://www.books.com.tw/img/001/092/57/0010925742.jpg,陳雪,鏡文學,2022/06/10,優惠價：79折 332元,"最恐怖的遺棄，是在精心布置之後，
把你獨自留在原地。
 
桃花盛開的時節瀰漫著血色，
相隔十四年的殺人棄屍案重現小鎮，
被丟在樹下的少女們長出滿樹的衣裙鞋襪，
...more",https://www.books.com.tw/products/0010925742?loc=P_0005_007,"['留在Tomo桑心底的日本味：想念家鄉的60道日式料理', '海幻 (限量作者親簽版)', '親愛的共犯【親簽藏書票慶功典藏版】', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】', '我有結婚病【限量親簽版】', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '男子漢【限量作者親簽版】', '放歌(作者親簽版)', '武漢(博客來獨家簽名版)', '流動日常：藝術蝦的繪畫日記【扉頁親簽版‧博客來獨家】', '西北雨(作者親簽珍藏版)(二版)', '綾羅歌.卷一~卷二.獨家限量作者親簽精緻燙金典藏書盒版', '候鳥的女兒(作者親筆簽名扉頁版)', '【作者親簽版】頂級食材聖經：跟著摘星主廚Jimmy品嘗金字塔頂端的美味', '[MUJI無印良品]自由換芯膠墨筆芯/黑0.38mm', '零零落落【限量精裝版：每本附專屬收藏燙金編號及親蓋藏書印】', '龍之國幻想1：欺騙神明的皇子(作者親簽版)', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '原來你什麼都不想要(博客來獨家作者親簽版)', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)']"
文學小說,【博客來獨家限量】你好，這裡是記憶花店（透‧深藍書衣版）,https://www.books.com.tw/img/001/092/19/0010921947.jpg,肆一,三采,2022/04/29,優惠價：79折 300元,"◇◇◇博客來獨家／透‧深藍書衣版◇◇◇
 
作品累銷近1,000,000冊
影視暢銷作家肆一，創作十周年里程碑
───影視化確定！奇幻療癒小說力作───
「你也有想要尋找的記憶嗎？」
 
如果記憶有氣味，...more",https://www.books.com.tw/products/0010921947?loc=P_0005_008,"['遺憾收納員【療癒加贈：收納遺憾.讀寫本】', '心想事成加值驚喜包!【1書+2日記】3分鐘未來日記：寫下的願望真的都實現了!', '好好再見 不負遇見', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '無法成為你期待的樣子，我不抱歉', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', '大概是時間在煮我吧', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '時間，才是最後的答案', '歡迎光臨夢境百貨2：找回不再做夢的人', '練習，喜歡自己：一天一點，比昨天更喜歡今天的自己', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '好好生活 慢慢相遇：30歲，想把溫柔留給自己', '歡迎光臨夢境百貨：您所訂購的夢已銷售一空', '你在左邊放了一句再見【日落巴黎‧雋永版】', '我們都會好好的：不安沒關係，脆弱與寂寞也沒關係，今天的你會很好，明天也是', '明年見，明天見(台北星夜版)', '在不完美的生活裡，找到完整的自己', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦']"
文學小說,流沙,https://www.books.com.tw/img/001/092/53/0010925335.jpg,晨羽,城邦原創,2022/06/02,優惠價：79折 269元,"為了讓那個人所在的世界不崩塌，
我編織出一個又一個謊言，
用我的墜落，換取他的幸福。
 
制霸博客來／誠品／金石堂銷售排行榜
暖淚系青春愛情天后‧晨羽 又一黑暗純愛作
★相關系列前作《看...more",https://www.books.com.tw/products/0010925335?loc=P_0005_009,"['暗戀是憂鬱的青色', '看見雪的日子', '寫給妳的那一個故事', '你是我最想擁有的以後', '想把餘生的溫柔都給你【12萬冊紀念版】', '死神第3部門：追憶', '親愛的，這也是戀愛', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '藍空', '月亮是夜晚唯一的光芒', '如果你也聽說', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', 'BUTLER 抗菌舌苔刷1支─軟毛(顏色隨機)', '一的情書', '這麼多年 上中下(3冊合售)', '十二夢', '有情人間：不遺忘的溫柔書寫', '百鬼夜行卷8：狼人(月夜狼嚎PVC夜光書衣版)', '釀春光', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)']"
文學小說,彼岸花盛開之島【日本原版書封】（台灣首位，芥川獎得獎作！）,https://www.books.com.tw/img/001/092/51/0010925100.jpg,李琴峰,聯合文學,2022/06/01,優惠價：79折 308元,"台灣作家首位，榮獲日本純文學最重要獎項
第165回芥川獎得獎作！

從海洋彼端漂流而來的失憶少女
一個遺世獨立的神祕島嶼
李琴峰醞釀多年，揉合歷史與文化思索、西洋「烏托邦」與東方「桃花源...more",https://www.books.com.tw/products/0010925100?loc=P_0005_010,"['運動比你想的還輕鬆：終結惰性、突破限制的人性化運動', '村上T 我愛的那些T恤', '激流與倒影(平裝雲門《水月》雙面書衣)', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', '海幻 (限量作者親簽版)', '你不能再死一次【博客來獨家親簽版】', '銀之夜', '菜場搜神記：一個不買菜女子的市場踏查日記', '就像現在這樣', '男子漢【限量作者親簽版】', '偽魚販指南', '博士熱愛的算式(首屆本屋大賞TOP 1獲獎傑作・小川洋子最膾炙人口作品)', '北極星灑落之夜', '尋找母樹：樹聯網的祕密', '十字路', '放歌(作者親簽版)', '彼岸花が咲く島', '獨舞', '狂言賽博格(附印刷簽名越前和紙扉頁&野村家名物「蜻蜓肩衣」典藏書卡)', 'LION日本獅王 NONIO牙刷 細柔按摩 單入 (顏色隨機出貨)']"
