分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
專業/教科書/政府出版品,捉迷藏(華語版)[精裝],https://www.books.com.tw/img/001/092/24/0010922455.jpg,鄒駿昇,國立臺灣博物館,2022/04/25,優惠價：79折 316元,"國立臺灣博物館團隊專業監修、波隆那插畫展入圍畫家鄒駿昇以充滿古典美感的筆觸，描繪出奇想與真實交織的故事，一本兼具科學與美學的迷人創作。
 
這是一場跨越150多年的捉迷藏，至今仍在繼續。...more",https://www.books.com.tw/products/0010922455?loc=P_0005_001,"['覕相揣(臺語版)[精裝]', '【統一生機】有機綠豆380g/包', '巴士暴龍(限量加贈夜光墨小畫卡)', '他們的眼睛(首刷加贈 散策時光手札)', '有故事的郵票(1─3)臺灣囡仔古+美國民間傳奇+斯洛伐克童話', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '怪獸媽媽：好愛好愛你限量印簽祝福紀念版', '西洋菜(首刷限量經典珍藏書衣)', '最高的塔最小的星球', '星星是暗夜的眼睛(靜謐精裝版+限量贈品)', '麵包國王套組(綜合口味)：贈台灣限定可愛吐司杯墊', 'Houseplant Jungle 1000pc Puzzle', '偽魚販指南', '怪俠空古力2：妖怪遊樂園', '博物館與它的產地', '蘇丹的犀角', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '[MUJI無印良品]蔥香鴨骨湯底/ 1~2人份.350g', '亂七八糟的口袋']"
專業/教科書/政府出版品,醫藥幽靈：大藥廠如何干預醫療知識的生產、傳播與消費,https://www.books.com.tw/img/001/092/43/0010924325.jpg,瑟吉歐‧希斯蒙都,國立陽明交通大學出版社,2022/06/01,優惠價：95折 428元,"看見醫藥市場背後的無形之手
揭露隱身在醫學管理背後的幽靈
 
大藥廠隱藏在公眾視野之外，它的無形之手伸入研究機構、論文發表規劃師、醫院關鍵意見領袖，甚至是醫學期刊編輯與病患權益倡議組織。
...more",https://www.books.com.tw/products/0010924325?loc=P_0005_002,"['[MUJI無印良品]塑膠擦/黑.小黑', '大賣空：祕密布局，等待時機', '福利之鄉.煙囪之城：麥寮與六輕的矛盾共生', '【小蚊清】植萃防蚊液─沁涼型(100ml/瓶)', '【義大利MILMIL】甜杏仁滋養修護洗髮精買2送1限量組(乾燥適用)', '血壓的祕密：經脈醫學科學化天才醫師、經脈血壓計世界專利發明人郭育誠，透過血壓量測，取得十二經脈資訊，達成遠距醫療診斷與日常保健', '底層邏輯：看清這個世界的底牌', '【BISQUE】北歐風美濃燒陶瓷碗400ml ‧ 鳥', '【BISQUE】北歐風美濃燒陶瓷碗400ml ‧ 小花', 'MIDORI MD Notebook(M)新書空白017(M)新書空白', '我們，長期抗戰中：第一線護理人員的疫情觀察誌', '寄生慈善：一個華爾街大騙子如何用「做好事又能致富」的謊言行騙全球菁英?', '談錶，商業人士必備的素養： 新手入門、配件選搭、保值收藏、揣摩對方性格……從選機芯到挑錶帶，你總能帶動話題。', '哈佛 ✕ Google行為科學家的脫單指南', '黑魔法手帖', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '朝鮮半島現代史：一個追尋驕陽的國度', '變化中的世界秩序：橋水基金應對國家興衰的原則', '村上T 我愛的那些T恤', '理解階級：二十一世紀階級論']"
專業/教科書/政府出版品,台灣建築史綱,https://www.books.com.tw/img/001/092/47/0010924743.jpg,"林會承,徐明福,傅朝卿",遠流,2022/06/02,優惠價：79折 1185元,"台灣建築發展歷程的入門寶典
第一本有系統論述，橫跨數萬年的台灣建築史
六個建築時期．近20萬字．600多張圖片精彩剖析
 
▲台灣三位重量級知名建築教授共同策劃與執筆
▲大專院校建築...more",https://www.books.com.tw/products/0010924743?loc=P_0005_003,"['福爾摩沙時尚圖鑑：大襟衫、馬面裙、三把頭、剪鉸眉、燈籠褲、瑪莉珍鞋……三百年的台灣潮服誌', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '藤森照信 建築偵探放浪記：順風隨心的建築探訪', '薰風 2022年 第19期 1月號', '竹久夢二 TAKEHISA YUMEJI：日本大正浪漫代言人與形塑日系美學的「夢二式藝術」(首刷限量隨書附贈海報)', '鐵道技手前畑彥太郎的攝影記錄：「建主改從」時期的臺灣鐵道(精裝)', '看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '探索臺灣原住民住家研究的出路：兼談博物館展示與部落文化的重建', '建築維護史', '文化創意產業讀本II：象徵價值與美學經濟', '古蹟探險隊：鐵道部廳舍之謎(精裝)']"
專業/教科書/政府出版品,覕相揣(臺語版)[精裝],https://www.books.com.tw/img/001/092/24/0010922456.jpg,鄒駿昇,國立臺灣博物館,2022/04/25,優惠價：79折 316元,"國立臺灣博物館團隊專業監修、波隆那插畫展入圍畫家鄒駿昇以充滿古典美感的筆觸，描繪出奇想與真實交織的故事，一本兼具科學與美學的迷人創作。
 
這是一場跨越150多年的捉迷藏，至今仍在繼續。...more",https://www.books.com.tw/products/0010922456?loc=P_0005_004,"['捉迷藏(華語版)[精裝]', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '地獄谷：台語小說集', '最高的山‧最深的海：世界自然奇觀', '菲姬闖世界', '日子：台語曆日仔詩', '博物館與它的產地', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)', '有故事的郵票(1─3)臺灣囡仔古+美國民間傳奇+斯洛伐克童話', '最高的塔最小的星球', '星星是暗夜的眼睛(靜謐精裝版+限量贈品)', '台語心花開：學台文超入門', '他們的眼睛(首刷加贈 散策時光手札)', '看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '外婆 我的故鄉我的家：涂崇聖攝影集【作者親簽版】', '勇敢的獅子兄弟(北歐理事會兒童青少年文學獎獲獎作品)', '熊媽媽愛上了手機', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '[MUJI無印良品]炊飯元素(金目鯛炊飯料)/85g(S)', 'JMScent Premium 安撫舒眠精油 100%天然複方精油 護芳系列 (10ml)']"
專業/教科書/政府出版品,廢棄物清理法實務解析,https://www.books.com.tw/img/001/092/49/0010924982.jpg,楊翊妘,元照出版,2022/05/01,優惠價：95折 665元,"．唯一完整解析廢棄物清理法體系架構及實務見解。
．精選案例研析及問題討論，精準掌握爭點及瞭解法規。
．收納相關判決、函釋，佐以圖像、表格，快速理解規範。
本書就廢棄物清理法及相...more",https://www.books.com.tw/products/0010924982?loc=P_0005_005,"['相驗心得手札：人間擺渡人的真心告白', '[MUJI無印良品]鉛筆2B.2入', '警察勤務案例研習', '落地', '3小時讀懂現代中國：5大面向 × 62關鍵問題，了解中國人為什麼這樣想、那樣做', '余英時評政治現實(限量珍藏印章版)', '【統一生機】無花果乾 200g/袋', '圖解中國App商業模式：60個最熱門App，趕上社群、電商、支付、娛樂、生活……全方位商機!', '艾蜜莉會計師教你聰明節稅(2022年最新法規增訂版)：圖解個人所得、房地產、投資理財、遺贈稅', '【博客來獨家燙箔書衣】人慈：橫跨二十萬年的人性旅程，用更好的視角看待自己']"
專業/教科書/政府出版品,政府採購法實用(三版),https://www.books.com.tw/img/001/092/42/0010924263.jpg,"謝哲勝,李金松",元照出版,2022/05/01,優惠價：95折 741元,"政府採購指機關為了從事日常的政務活動或滿足公共服務的目的，利用公款交易工程、財物和服務的行為，政府採購的效率與品質與政府施政的品質息息相關，可見其重要性。
政府採購如此重要，採購人員...more",https://www.books.com.tw/products/0010924263?loc=P_0005_006,"['由法院判決看透政府採購契約：財物勞務篇', '政府採購法令彙編第(34版)', '由法院判決看透政府採購契約：技術服務篇', '工程契約理論與實務：兼論政府採購法(四版)']"
專業/教科書/政府出版品,天地一紙：李清榮的糊紙藝術,https://www.books.com.tw/img/001/092/61/0010926154.jpg,"林承緯,呂江銘",台北市政府文化局,2022/05/01,優惠價：95折 285元,藝師李清榮，人稱「阿榮師」，出身祖傳三代的糊紙世家，技藝融合臺南、金門、臺北技法，青年時期受專業西式美術教育，在西方色彩欣賞、雕塑技巧、材料使用等美感與技巧的學習與訓練之下，創造出來的作...more,https://www.books.com.tw/products/0010926154?loc=P_0005_007,"['紙上乾坤：張秋山的糊紙藝術', '圖解台灣行業神明圖鑑：台南體傳統工藝']"
專業/教科書/政府出版品,公共管理(4版),https://www.books.com.tw/img/001/092/35/0010923519.jpg,丘昌泰,智勝,2022/05/01,優惠價：9折 585元,本書捨棄冗長、冷門的學理論述，並加入許多新題材，以考選部公布的「命題大綱」與「歷屆考題」為藍本，重新撰述一本「小而美」的教科書。本書特別適合公務員考試類科「公共管理」或「行政學」中的相關...more,https://www.books.com.tw/products/0010923519?loc=P_0005_008,['公共政策：基礎篇(第六版)']
專業/教科書/政府出版品,流行病學原理（二版）,https://www.books.com.tw/img/001/092/48/0010924835.jpg,史麗珠,雙葉書廊,2022/05/10,優惠價：95折 371元,"本書適用於流行病學或研究方法的教學及自學。
 
本書特色
 
1.以學習者角度來撰寫及編排流行病學內容：章節內容由淺入深、提綱挈領，在公式的介紹上也加入範例來演練計算過程及詮釋其結果。...more",https://www.books.com.tw/products/0010924835?loc=P_0005_009,"['公共衛生學 (中)(修訂五版)', '公共衛生學 (上)(修訂五版)', '長期照顧機構管理(2版)', '健康促進：理論與實務(5版)', '圖解公共衛生學(4版)']"
專業/教科書/政府出版品,深入淺出細說微積分,https://www.books.com.tw/img/001/092/47/0010924785.jpg,沈淵源,三民,2022/05/25,優惠價：79折 435元,"微積分是科學研究的基礎，我們要談如何以分析的方法來研究變動中的事物。
包括四個主要的大課題：連續性、微分法、積分法還有級數之收斂性。原理與計算並重。
前面探討單變數微分之觀念及應用...more",https://www.books.com.tw/products/0010924785?loc=P_0005_010,"['從骰子遊戲到AlphaGo：擲硬幣、AI圍棋、俄羅斯輪盤，生活中處處機率，處處有趣!', '宇宙：遨遊眾星的宇宙探索之旅 少年伽利略25']"
