分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
影視偶像,BTS DYNAMITE 防彈少年團榮光之路 (出道九周年紀念專書)：滿滿大幀高清寫真，與阿米一起見證金色冠冕的榮耀與沉重。ARMY心動珍藏!,https://www.books.com.tw/img/001/092/54/0010925412.jpg,卡洛琳．麥克休,三悅文化,2022-06-13,優惠價：79折 379元,只有防彈能夠超越防彈!披荊斬棘來到阿米面前，用血汗淚鋪成一條榮光之路，不論夾道人潮傳來的是讚美掌聲、還是批判嘲諷，都不能停止防彈前進的腳步!本書記錄七位少年的成長歷程，與阿米一起見證金色...more,https://www.books.com.tw/products/0010925412?loc=P_0005_001,"['幼兒園教保活動課程大綱', '幼兒園教保活動課程 幼兒學習評量手冊', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', 'Lovita愛維他 專利游離型葉黃素 20mg素食膠囊(30顆)', '藝術國度，防彈掀起一場溫柔革命：偶像團體成長蛻變為7個藝術家!BTS用軟性的音樂和舞蹈，引領相互共鳴的阿米軍團，從強勢的大企業和媒體奪回了話語權，溫柔地革了「威權」的命⋯⋯★中文版專屬別冊《我與防彈的祕密手帳》', '【SunFlower三花】三花素面半筒襪.襪子─黑']"
影視偶像,你值得擁有一切你想要的,https://www.books.com.tw/img/001/092/54/0010925418.jpg,陳勢安,大塊文化,2022-05-30,優惠價：79折 379元,●出道十年，情歌天王陳勢安首本剖析內心真我創作●以理性、正向的文字，帶引讀者去面對人生各項挑戰與挫折你的那些鳥事我都遭遇過，我也曾走進與你相同的難過憂鬱中，現在希望藉由我的故事，能讓你...more,https://www.books.com.tw/products/0010925418?loc=P_0005_002,['你值得擁有一切你想要的(暖心簽名版)']
影視偶像,你值得擁有一切你想要的(暖心簽名版),https://www.books.com.tw/img/001/092/54/0010925421.jpg,陳勢安,大塊文化,2022-05-30,優惠價：79折 379元,●出道十年，情歌天王陳勢安首本剖析內心真我創作●以理性、正向的文字，帶引讀者去面對人生各項挑戰與挫折●首刷加贈寫真書籤卡(寫真書籤卡共4款，隨書投入1款，恕無法挑選)你的那些鳥事我都遭遇...more,https://www.books.com.tw/products/0010925421?loc=P_0005_003,"['剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '留在Tomo桑心底的日本味：想念家鄉的60道日式料理', '按下暫停鍵也沒關係：在憂鬱症中掙扎了一年，我學到的事', '海幻 (限量作者親簽版)', '你值得擁有一切你想要的', '放歌(作者親簽版)', '綾羅歌.卷一~卷二.獨家限量作者親簽精緻燙金典藏書盒版', '星星是暗夜的眼睛(靜謐精裝版+限量贈品)', '陳勢安 / 親愛的偏執狂 (CD)', '[MUJI無印良品]自由換芯膠墨筆芯/黑0.38mm', '郭婷筠 / 花開花謝', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】', '我的心機 MIT台灣製 酒精濕巾 20抽/包', '日系無印風 七彩LED靜音USB香薰/水氧機(75ml)', 'LION日本獅王 趣淨安心噴長效除菌液 280ml (除菌噴霧)', '【中衛】減壓護套 (1組/盒)透明霧', '金老佛爺的韓式餐桌：小菜‧鍋物‧下酒菜‧韓劇韓綜必吃美味，45道私房料理指南', '[MUJI無印良品]亞麻綾織舒適貼合拖鞋/墨灰/L', '陳勢安 / 唯一想了解的人']"
影視偶像,《真心真亦Sincerely Yuna》林真亦實體寫真,https://www.books.com.tw/img/001/092/45/0010924577.jpg,"林真亦,黃天仁",尖端,2022-05-27,優惠價：79折 411元,譽有「微笑女神」之稱的林真亦除了跨足演員、模特兒之外，更擅長主持，更受到電競圈的青睞，擁有近70萬粉絲的超高人氣，近期終於推出個人首本實體寫真《真心真亦SincerelyYuna》，由時尚攝影大師黃天仁親...more,https://www.books.com.tw/products/0010924577?loc=P_0005_004,"['《與你襄遇》林襄寫真書', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '一見峮心 峮峮個人寫真書', '仲夏晏之夢 黃上晏寫真書', '《打開你的心》蔡譯心寫真書', '林虹伶「1st寫真」photobook', '謝立琪 KiKi 2022個人寫真 ShaShin']"
影視偶像,《真心真亦Sincerely Yuna》林真亦實體寫真【預購贈品版】,https://www.books.com.tw/img/001/092/47/0010924730.jpg,林真亦,尖端,2022-05-27,優惠價：79折 411元,譽有「微笑女神」之稱的林真亦除了跨足演員、模特兒之外，更擅長主持，更受到電競圈的青睞，擁有近70萬粉絲的超高人氣，近期終於推出個人首本實體寫真《真心真亦SincerelyYuna》，由時尚攝影大師黃天仁親...more,https://www.books.com.tw/products/0010924730?loc=P_0005_005,"['JKF 6月號/2022 第58期', '《與你襄遇》林襄寫真書', '揭開.面莎 super Lisa 林莎寫真書', 'Angel：希兒寫真書', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '《bestie閨蜜》孟潔×菲菲寫真書', '《苡見鍾情》巫苡萱寫真書', 'MCHotDog 熱狗/姚中二', 'QUNing：初心版(平裝)', '一見峮心 峮峮個人寫真書', '郭婷筠 / 花開花謝', '謝立琪 KiKi 2022個人寫真 ShaShin', 'SEXY NUTS性感誌 5月號/2022 第79期', 'JKF 5月號/2022 第57期', '《我就是任性》性感版 / 解婕翎寫真書', 'Angel：希兒寫真書(特裝版)', '因為你，我在這裡 伊梓帆寫真書', '想鹿非非 羚小鹿寫真全記錄', '[MUJI無印良品]即食迷你拉麵 (雞汁風味)/120g', 'ONE PIECE航海王 102 (首刷限定版)']"
影視偶像,剛剛好的優雅：志玲姊姊修養之道,https://www.books.com.tw/img/001/092/47/0010924763.jpg,林志玲,遠流,2022-05-26,優惠價：79折 332元,與更好的自己相遇志玲姊姊首部凝視內心的真摯書寫優雅，是忠於自己腳步的從容；是面對挫折也能笑著轉身繼續前進；是懂得進退，為人著想又不失自我的分寸拿捏。成就自己的同時，也不忘將別...more,https://www.books.com.tw/products/0010924763?loc=P_0005_006,"['剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '戰鬥吧!成語：歡迎登入厭世國文伺服器', '有情人間：不遺忘的溫柔書寫', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '做自己，為什麼還要說抱歉?', '按下暫停鍵也沒關係：在憂鬱症中掙扎了一年，我學到的事', '質感說話課：言語的溫柔力量，是送給自己和他人最美的禮物', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '讓男人追著妳跑(暢銷新裝版)', '原子習慣：細微改變帶來巨大成就的實證法則', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '德國 好立善 EUREYE葉黃素全方位複方軟膠囊(30粒)', '轉念的力量：不被念頭綁架，選擇你的人生，讓心靈自由', '底層邏輯：看清這個世界的底牌', '說不出口的，更需要被聽懂：11個暖心對話練習，走進孩子的心', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '女人要堅強而不逞強', '職場又不是沙發，追求舒適要幹嘛?周品均的35堂犀利職場課', '偽魚販指南']"
影視偶像,剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印),https://www.books.com.tw/img/001/092/48/0010924879.jpg,林志玲,遠流,2022-05-26,優惠價：79折 332元,與更好的自己相遇志玲姊姊首部凝視內心的真摯書寫優雅，是忠於自己腳步的從容；是面對挫折也能笑著轉身繼續前進；是懂得進退，為人著想又不失自我的分寸拿捏。成就自己的同時，也不忘將別...more,https://www.books.com.tw/products/0010924879?loc=P_0005_007,"['做自己，為什麼還要說抱歉?', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '剛剛好的優雅：志玲姊姊修養之道', '讓男人追著妳跑(暢銷新裝版)', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '療癒的飲食與斷食：新時代的個人營養學', 'QBQ!問題背後的問題(30萬冊紀念版)', '原子習慣：細微改變帶來巨大成就的實證法則', '表達力決定你是誰：提升表達力，成為自己期待的樣子', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '全方位理財的第一堂課：你一生必學的五大財務規畫', '底層邏輯：看清這個世界的底牌', '一年投資5分鐘：打造每月3萬被動收入，免看盤、不選股的最強小資理財法', '知識複利：將內容變現，打造專家型個人品牌的策略', '像樹那樣生活：改變韓國十萬讀者，從樹木身上學到35項堅毅的人生智慧', '按下暫停鍵也沒關係：在憂鬱症中掙扎了一年，我學到的事', '質感說話課：言語的溫柔力量，是送給自己和他人最美的禮物', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧']"
影視偶像,村裡來了個暴走女外科影像書(演員親簽版),https://www.books.com.tw/img/001/092/35/0010923559.jpg,"十三月股份有限公司,財團法人公共電視文化事業基金會",尖端,2022-05-20,優惠價：79折 300元,--超強團隊，攜手打造--笑中帶淚、純樸偏鄉裡一窺人性善與惡，劇情既逗趣又寫實，直擊白色巨塔內的風暴與掙扎!改編自劉宗瑀醫師《村裡來了個暴走女外科：偏鄉小醫院的血與骨、笑和淚》，幽默絕妙...more,https://www.books.com.tw/products/0010923559?loc=P_0005_008,"['村裡來了個暴走女外科影像書', '村裡來了個暴走女外科：偏鄉小醫院的血與骨、笑和淚', '小劉醫師.白袍女醫小說套書(村裡來了個暴走女外科【公視戲劇原著】+花樣女醫白袍叢林生存記)', '花樣女醫白袍叢林生存記：一起哭，一起笑，一起LOVE', '《真心真亦Sincerely Yuna》林真亦實體寫真【預購贈品版】', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', '電影原聲帶 / 捍衛戰士： 獨行俠', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '郭婞淳：舉重若輕的婞念(親簽版)', '女外科的辛辣日記2：暴走狂飆 (電子書)', '[MUJI無印良品]筆記本(方格)/32張.A5', 'GUM 牙周護理牙刷─單支入#166(前端超細毛─超軟毛)', '歡迎光臨夢境百貨2：找回不再做夢的人', 'Alice遇見愛麗絲髮飾‧ 韓系細版髮圈100入', '是時候，讓自己踏上浪漫冒險了。', '【MUJI 無印良品】異國速食包(雞肉野菜湯咖哩)250g', '淨可立空氣除菌噴霧80ml', 'sebamed 施巴 橄欖潔膚露 1000ml']"
影視偶像,村裡來了個暴走女外科影像書,https://www.books.com.tw/img/001/092/37/0010923763.jpg,"十三月股份有限公司,財團法人公共電視文化事業基金會",尖端,2022-05-20,優惠價：79折 300元,--超強團隊，攜手打造--笑中帶淚、純樸偏鄉裡一窺人性善與惡，劇情既逗趣又寫實，直擊白色巨塔內的風暴與掙扎!改編自劉宗瑀醫師《村裡來了個暴走女外科：偏鄉小醫院的血與骨、笑和淚》，幽默絕妙的...more,https://www.books.com.tw/products/0010923763?loc=P_0005_009,"['村裡來了個暴走女外科影像書(演員親簽版)', '村裡來了個暴走女外科：偏鄉小醫院的血與骨、笑和淚', '我的人生：玩得認真，認真地玩——網格系統之父約瑟夫•穆勒─布洛克曼', '我的焦慮室友：隨書附贈，限量【焦慮下下籤DIY籤筒】']"
影視偶像,這輩子，演得最好的是自己：金鐘影后王琄開啟人生第三幕的32道幽默守則,https://www.books.com.tw/img/001/092/44/0010924440.jpg,王琄,聯經出版公司,2022-05-19,優惠價：79折 253元,人生至此——我只想成為光亮的一部分為自己活——我是這齣喜劇的唯一主角「第一幕屬於原生家庭，第二幕屬於工作與婚姻，來到人生第三幕，必須拿回主控權找到自已。」——王琄把日子過成喜劇吧!第三人...more,https://www.books.com.tw/products/0010924440?loc=P_0005_010,"['喜劇媽媽桑幽默表達學：克服心理關卡，不恐懼不糾結，讓內向者誕生勇氣的魅力指南', '流浪日記：世界，是我的信仰', '也許你該找人聊聊2：心理師教你大膽修訂自己的人生故事!', '朵朵自在小語：開成自己喜愛的花【作者親簽版】', '好走：臨終時刻的心靈轉化']"
