分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
國中小參考書,每日一文補給站一年級新綱,https://www.books.com.tw/img/001/092/30/0010923072.jpg,胡琇雅,世一,2022/04/26,優惠價：9折 162元,本書選輯52篇適合低年級學童閱讀的中外寓言、童話及古詩，搭配生動有趣的插圖，引發孩子的閱讀興趣，使其能輕易融入故事情節。每篇文章內含一個成語，附上解釋及例句，讓孩子正確了解成語涵義，並靈活...more,https://www.books.com.tw/products/0010923072?loc=P_0020_001,"['童話公主著色本', 'Hi你好!我是幼幼擦寫書：日常用品畫畫練習', '機器人：每天一個勞作遊戲', '夢幻公主：每天一個勞作遊戲', '動物：每天一個勞作遊戲', '恐龍：每天一個勞作遊戲', '交通工具著色本', '動物著色本', '妙妙著色本', 'Hi你好!我是幼幼擦寫書：可愛動物畫畫練習', '海洋動物著色本', '【幼小銜接高階練習本】閱讀理解', '國小精英：英語閱讀超EASY', '變裝舞會：每天一個勞作遊戲', '交通：每天一個勞作遊戲', '智力數學綜合評量(國小2年級)']"
國中小參考書,數學這樣學：國小數學感學習三年級,https://www.books.com.tw/img/001/092/29/0010922961.jpg,李源順,五南,2022/04/28,優惠價：9折 414元,數學感教育是作者統整學習、教學、研究而創新的理論。它有數學的內容理論系統，讓老師知道要教些什麼、學生知道要學些什麼。它有一個起動機制（讓學生說）和五個核心內涵（舉例、簡化、畫圖、問為什麼...more,https://www.books.com.tw/products/0010922961?loc=P_0020_002,"['數學這樣學：國小數學感學習二年級', '數學這樣學：國小數學感學習四年級', '數學這樣學：國小數學感學習一年級', '數學這樣學：國小數學感學習五年級', '數學這樣學：國小數學感學習六年級', '【匠心】成人平面醫用口罩 ─ 午茶系列 ─ 50入/盒(5色可選) 爆漿藍莓', '全腦開發遊戲書：有趣的科學', '【匠心】成人平面醫用口罩 ─ 午茶系列 ─ 50入/盒(5色可選) 伯爵奶茶']"
國中小參考書,國中數學基本素養4：八年級會考實力扎根練習,https://www.books.com.tw/img/001/092/29/0010922974.jpg,許建銘,五南,2022/04/28,優惠價：9折 270元,"想在會考中贏得高分的不二法門無他，唯認真練習、融會貫通、周到細膩而已。
想獲得佳績，唯有扎實練習；沒無往不利，只有永不放棄。
本書是接續《國中數學基本素養1》與《國中數學基本素養2...more",https://www.books.com.tw/products/0010922974?loc=P_0020_003,"['國中數學基本素養5：九年級會考實力扎根練習', '國中數學基本素養3 ：七年級會考實力扎根練習', '國中數學基本素養1：數與代數的運算', '國中數學基本素養2：幾何概念與性質', 'Raymay Kept 可手提資料收納夾 月光灰']"
國中小參考書,閱讀作文基本能力訓練,https://www.books.com.tw/img/001/092/59/0010925986.jpg,賴慶雄,螢火蟲,2022/05/31,優惠價：9折 225元,長期以來，坊間一直缺乏培養閱讀、寫作啟蒙能力和序列練習的書籍。作者特別透過「選詞」「刪詞」「選句」「閱讀測驗」等形式，規劃教材，並以逐回闖關方式，強化學生各項語文能力；這樣的設計安排，我...more,https://www.books.com.tw/products/0010925986?loc=P_0020_004,"['朗文國中英語會考閱讀練習(基礎篇)新課網版', '國中國文閱讀測驗全方位(第3版)', '升國中前必讀的漫畫英文教科書4：基本文法篇(下)', '國中國文科閱讀測驗題組(文言文)(第3版)', '文言文閱讀素養讀這本就對了(共二冊)']"
國中小參考書,國中數學基本素養5：九年級會考實力扎根練習,https://www.books.com.tw/img/001/092/29/0010922979.jpg,許建銘,五南,2022/04/28,優惠價：9折 270元,"想在會考中贏得高分的不二法門無他，唯認真練習、融會貫通、周到細膩而已。
想獲得佳績，唯有扎實練習；沒無往不利，只有永不放棄。
本書是接續《國中數學基本素養1》與《國中數學基本素養2...more",https://www.books.com.tw/products/0010922979?loc=P_0020_005,"['國中數學基本素養4：八年級會考實力扎根練習', '國中數學基本素養3 ：七年級會考實力扎根練習', '國中數學基本素養1：數與代數的運算', '國中數學基本素養2：幾何概念與性質', 'Raymay Kept 可手提資料收納夾 月光灰']"
國中小參考書,活力造詞造句100分 一年級新綱,https://www.books.com.tw/img/001/092/56/0010925621.jpg,范雅芬,世一,2022/05/13,優惠價：9折 72元,本書精選國小一年級應學的重要生字，從「字」的認識、「詞」的練習到「句」的創造，循序訓練孩子的文字運用能力。書中提供生字的部首及解釋、詞性變化練習、字句結構整理和活潑有趣的語文遊戲，讓孩子...more,https://www.books.com.tw/products/0010925621?loc=P_0020_006,"['國小國語作業簿：低年級', '(25K)ABC英文作業簿(平)', '小一新鮮人國語評量卷', '先修評量卷17大班先修評量', '升小一正音先修評量卷', '跟著照樣造句低年級新綱']"
國中小參考書,圖像式學習法：跟著無尾熊學習正確的英文語感,https://www.books.com.tw/img/001/092/58/0010925827.jpg,無尾熊學校,五南,2022/05/28,優惠價：79折 332元,"Shop與Store都是商店，但實際上它們是不一樣的？
Study與Learn都是學習，何時用哪個才是正確的呢？
讓無尾熊來教你，用看的就能懂！
 
英文中，同樣意思的名詞、動詞、助動詞，到底怎...more",https://www.books.com.tw/products/0010925827?loc=P_0020_007,['小朋友最愛的世界地標地圖']
國中小參考書,國中地球科學一點都不難,https://www.books.com.tw/img/001/092/58/0010925828.jpg,潮男,五南,2022/05/28,優惠價：79折 237元,"在臺灣地球科學被規劃在國三才開始學習，但老師們常受到上課時數的限制，而無法完整教授知識，為解決此種困境，《國中地球科學一點都不難》誕生了。
 
本書涵蓋國中階段所需的地球科學知識，並...more",https://www.books.com.tw/products/0010925828?loc=P_0020_008,['LION日本獅王 奈米樂織物抗菌消臭噴霧 350ml (效期至2023/09/04)']
國中小參考書,彩圖‧新版天天閱讀（中年級1）,https://www.books.com.tw/img/001/092/66/0010926637.jpg,賴慶雄,螢火蟲,2022/06/06,優惠價：79折 134元,"★閱讀是獲取知識，訓練思維，提高能力，陶冶心性最重要的途徑！
《天天閱讀》是一套由名篇麗文組成的「兒童精神花園」，我們認為：讓孩子從一開始學習語文，就接觸美好的作品，就如同嬰兒...more",https://www.books.com.tw/products/0010926637?loc=P_0020_009,"['【ecostore】全效合一洗碗錠─純淨無香/30錠', '彩圖‧新版天天閱讀(中年級2)', '彩圖‧新版天天閱讀(中年級3)']"
國中小參考書,"國中會考英文閱讀素養課：從C到A++,考遍天下無敵手（附MP3）",https://www.books.com.tw/img/001/092/68/0010926890.jpg,林昭夏,布可屋,2022/06/08,優惠價：79折 269元,"國中英語滿分速成！
本書依教育部課綱編寫 
國中會考必備
作者在升高中時
英語考科滿分
作者不藏私，手把手
傾全力傳授滿分秘笈
就是要你和他一樣拿滿分！
 
唯一以校園生活為主軸的英語日記...more",https://www.books.com.tw/products/0010926890?loc=P_0020_010,"['國中英語閱讀通2(新課綱版)(二版)', '國中會考國文閱讀測驗(文言文)第3版', '國中會考國文閱讀實戰', '國中會考英語閱讀必備解題指南 考前衝刺篇(全新增修版)【2書(試題本+解析本)】', '國中國文閱讀測驗全方位(第3版)']"
國中小參考書,彩圖‧新版天天閱讀（低年級1）,https://www.books.com.tw/img/001/092/66/0010926616.jpg,賴慶雄,螢火蟲,2022/06/06,優惠價：79折 134元,"★閱讀是獲取知識，訓練思維，提高能力，陶冶心性最重要的途徑！
 
《天天閱讀》是一套由名篇麗文組成的「兒童精神花園」，我們認為：讓孩子從一開始學習語文，就接觸美好的作品，就如同嬰兒一...more",https://www.books.com.tw/products/0010926616?loc=P_0020_011,"['國小國語作業簿：低年級', '泰國 Mae Pranom 泰式甜辣醬260g', '這篇故事有意思']"
國中小參考書,彩圖‧新版天天閱讀（低年級3）,https://www.books.com.tw/img/001/092/66/0010926631.jpg,賴慶雄,螢火蟲,2022/06/06,優惠價：79折 134元,"★閱讀是獲取知識，訓練思維，提高能力，陶冶心性最重要的途徑！
《天天閱讀》是一套由名篇麗文組成的「兒童精神花園」，我們認為：讓孩子從一開始學習語文，就接觸美好的作品，就如同嬰兒...more",https://www.books.com.tw/products/0010926631?loc=P_0020_012,['NaN']
國中小參考書,彩圖‧新版天天閱讀（中年級3）,https://www.books.com.tw/img/001/092/66/0010926642.jpg,賴慶雄,螢火蟲,2022/06/06,優惠價：79折 134元,"★閱讀是獲取知識，訓練思維，提高能力，陶冶心性最重要的途徑！
《天天閱讀》是一套由名篇麗文組成的「兒童精神花園」，我們認為：讓孩子從一開始學習語文，就接觸美好的作品，就如同嬰兒...more",https://www.books.com.tw/products/0010926642?loc=P_0020_013,"['彩圖‧新版天天閱讀(中年級1)', '彩圖‧新版天天閱讀(中年級2)']"
國中小參考書,彩圖‧新版天天閱讀（中年級4）,https://www.books.com.tw/img/001/092/66/0010926645.jpg,賴慶雄,螢火蟲,2022/06/06,優惠價：79折 134元,"★閱讀是獲取知識，訓練思維，提高能力，陶冶心性最重要的途徑！
《天天閱讀》是一套由名篇麗文組成的「兒童精神花園」，我們認為：讓孩子從一開始學習語文，就接觸美好的作品，就如同嬰兒...more",https://www.books.com.tw/products/0010926645?loc=P_0020_014,['小學生的跨領域閱讀：中年級']
國中小參考書,活力造詞造句100分四年級新綱,https://www.books.com.tw/img/001/092/30/0010923068.jpg,范雅芬,世一,2022/04/26,優惠價：9折 72元,本書精選國小四年級應學的重要生字，從「字」的認識、「詞」的練習到「句」的創造，循序訓練孩子的文字運用能力。書中提供生字的部首及解釋、詞性變化練習、字句結構整理和活潑有趣的語文遊戲，讓孩子...more,https://www.books.com.tw/products/0010923068?loc=P_0020_015,"['活力造詞造句100分 三年級', '活力造詞造句100分 二年級']"
國中小參考書,彩圖‧新版天天閱讀（低年級2）,https://www.books.com.tw/img/001/092/66/0010926622.jpg,賴慶雄,螢火蟲,2022/06/06,優惠價：79折 134元,"★閱讀是獲取知識，訓練思維，提高能力，陶冶心性最重要的途徑！
 
《天天閱讀》是一套由名篇麗文組成的「兒童精神花園」，我們認為：讓孩子從一開始學習語文，就接觸美好的作品，就如同嬰兒一...more",https://www.books.com.tw/products/0010926622?loc=P_0020_016,"['國小國語作業簿：低年級', '彩圖‧新版天天閱讀(低年級4)', '彩圖‧新版天天閱讀(低年級3)']"
國中小參考書,彩圖‧新版天天閱讀（低年級4）,https://www.books.com.tw/img/001/092/66/0010926636.jpg,賴慶雄,螢火蟲,2022/06/06,優惠價：79折 134元,"★閱讀是獲取知識，訓練思維，提高能力，陶冶心性最重要的途徑！
《天天閱讀》是一套由名篇麗文組成的「兒童精神花園」，我們認為：讓孩子從一開始學習語文，就接觸美好的作品，就如同嬰兒...more",https://www.books.com.tw/products/0010926636?loc=P_0020_017,"['國小國語作業簿：低年級', '彩圖‧新版天天閱讀(低年級3)', '彩圖‧新版天天閱讀(低年級2)']"
國中小參考書,彩圖‧新版天天閱讀（中年級2）,https://www.books.com.tw/img/001/092/66/0010926639.jpg,賴慶雄,螢火蟲,2022/06/06,優惠價：79折 134元,"★閱讀是獲取知識，訓練思維，提高能力，陶冶心性最重要的途徑！
《天天閱讀》是一套由名篇麗文組成的「兒童精神花園」，我們認為：讓孩子從一開始學習語文，就接觸美好的作品，就如同嬰兒...more",https://www.books.com.tw/products/0010926639?loc=P_0020_018,"['彩圖‧新版天天閱讀(中年級1)', '彩圖‧新版天天閱讀(中年級3)']"
國中小參考書,活力成語100分 一年級新綱,https://www.books.com.tw/img/001/092/56/0010925616.jpg,黃美麗,世一,2022/05/13,優惠價：9折 72元,成語，是最獨特的溝通工具，也是文化縮影。本書按照成語的部首編排，標明首字的部首及筆畫數；解釋及例句配合生動的插圖，加深學習印象；附上靈活多變的練習題，讓孩子明白成語的意涵並靈活運用，增進...more,https://www.books.com.tw/products/0010925616?loc=P_0020_019,"['閱讀測驗實力評量一年級', '每日一文補給站一年級新綱', '國小國語作業簿：低年級', '每日一文輕鬆讀(一年級)', '國語文推理智力測驗(一)《低年級適用》']"
國中小參考書,這篇童話有意思,https://www.books.com.tw/img/001/092/73/0010927369.jpg,世一文化編輯群,世一,2022/06/13,優惠價：9折 135元,"閱讀是學習的階梯！
 
本書以溫馨童話為主題，收錄對孩子有所助益的文章，言近旨遠、圖文並茂，搭配文後測驗，引導理解與思考，延伸語文應用，讓一則則小故事啟發孩子閱讀的核心素養！
 
...more",https://www.books.com.tw/products/0010927369?loc=P_0020_020,"['不再寫錯字', '畫說國小1200單字辭典+1MP3', '升私中先修特訓班：國文', '國小作文範例(中年級)', '國語文推理智力測驗(一)《低年級適用》']"
國中小參考書,這些對話有意思,https://www.books.com.tw/img/001/092/73/0010927370.jpg,世一文化編輯群,世一,2022/06/13,優惠價：9折 135元,"閱讀是學習的階梯！
 
本書以機智對話為主題，收錄對孩子有所助益的文章，言近旨遠、圖文並茂，搭配文後測驗，引導理解與思考，延伸語文應用，讓一則則小故事啟發孩子閱讀的核心素養！
 
...more",https://www.books.com.tw/products/0010927370?loc=P_0020_021,"['不再寫錯字', '畫說國小1200單字辭典+1MP3', '升私中先修特訓班：國文', '國小作文範例(中年級)', '國語文推理智力測驗(一)《低年級適用》']"
國中小參考書,這個人有意思,https://www.books.com.tw/img/001/092/73/0010927373.jpg,世一文化編輯群,世一,2022/06/13,優惠價：9折 135元,"閱讀是學習的階梯！
 
本書以名人事蹟為主題，收錄對孩子有所助益的文章，言近旨遠、圖文並茂，搭配文後測驗，引導理解與思考，延伸語文應用，讓一則則小故事啟發孩子閱讀的核心素養！
 
...more",https://www.books.com.tw/products/0010927373?loc=P_0020_022,"['管家琪教作文：語詞聯想遊戲', '國語文推理智力測驗(一)《低年級適用》', '升私中先修特訓班：國文', '小一新鮮人國語評量卷', '升私中先修特訓班：英文']"
