分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
自然科普,好節氣、好天氣：淑麗氣象趴趴GO十年陪你全臺走透透！,https://www.books.com.tw/img/001/091/05/0010910582.jpg,王淑麗,時報出版,2022/05/17,優惠價：79折 379元,"生活中有氣象，氣象中有生活！
將臺灣這塊土地一年四季的美景與豐饒物產帶給所有人，
正是「淑麗氣象趴趴GO」最重要的使命！
東森當家氣象主播王淑麗的「氣象趴趴GO」節目，
走過十...more",https://www.books.com.tw/products/0010910582?loc=P_0005_001,"['【台酒】金牌FREE啤酒風味飲料─(無酒精啤酒) 烈日芒果冰茶(6入)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '我不是最耀眼的但可以是最努力的：許傑輝的管家心理自學法', '華無式家族治療：吳就君的治療心法和助人美學', 'TOPGUN + 圖解捍衛戰士套書(博客來獨家)(圖解捍衛戰士：美國頂尖飛行員的誕生地 + TOPGUN：捍衛戰士成軍的歷史與秘密)', '700萬人評選!最想吃的氣炸鍋人氣排行料理：韓國網路最夯!只要3~5步驟，103道氣炸料理，三餐、點心、派對料理，通通一鍋搞定', '天長地久：給美君的信(全新增修版)(首刷限量贈作者手跡卡片)', '[MUJI無印良品]自由換芯按壓滑順膠墨筆/藍0.5mm', '律師也有良心，怎麼了嗎?：卡債不用全還、車禍對方錯了還是可以告你、獲得遺產竟被告侵占……36個需要律師的煩心事，讓暗黑律師法老王為你解惑!', '來一客 ─ 川辣牛肉風味(3杯/組) 有效期限至2022/6/20']"
自然科普,過目不忘的文轉圖深化記憶法：跟著世界記憶權威用大腦最節能的學習途徑，讓你的輸出有觀點，學習力、企劃力、專注力全面升級,https://www.books.com.tw/img/001/092/24/0010922452.jpg,池田義博,天下雜誌,2022/04/28,優惠價：79折 300元,"世界記憶權威這樣鍛鍊記憶力
回歸大腦最原始的學習途徑，學習效率提升400倍！
三步驟圖像化、象徵化、圖表化把文字轉成圖，
改變傳統死背、強記、重複抄寫的低效率學習方式，
每天一個練習，...more",https://www.books.com.tw/products/0010922452?loc=P_0005_002,"['卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '零阻力改變：華頓商學院爆紅行為科學課，直擊內在弱點，高效自我成長', '高層次閱讀與思考：建中名師親授，克服閱讀萬字長文的障礙，快速抓到重點，學會了比補習更有效', '一生都能好好記憶：哈佛神經科學家寫給每個人的大腦記憶全書，遺忘不是敵人，簡單練習，訓練記憶陪你走的更遠', '底層邏輯：看清這個世界的底牌', '超高效學習：超級學霸╳跨界學習權威的35個PRO考試秘技', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '取材.執筆.推敲：《被討厭的勇氣》作者直授，最全面的寫作指南', '逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證', '學習高手：哈佛、耶魯雙學霸的最強學習法', '全球人才搶著學!密涅瓦的思考習慣訓練', '生態系競爭策略：重新定義價值結構，在轉型中辨識正確的賽局，掌握策略工具，贏得先機', '日本腦力錦標賽五冠王「超高效記憶術」：3循環反覆速習法╳1分鐘速寫，無關天分與年齡，記憶大量資訊隨時開始!', '正向專注力：180秒實踐高績效人生，奧運金牌運動員、頂尖業務、世界大賽冠軍隊都在用的心智鍛鍊法', '變化中的世界秩序：橋水基金應對國家興衰的原則', '不會背叛你的K書竅門：只要14天，再弱的科目都有救。韓國考生最推崇的讀書導師分享：大學、研究所、國考、證照考必備!', '無限賽局：翻轉思維框架，突破勝負盲點，贏得你想要的未來', '薩提爾的自我覺察練習：學會了，就能突破內在盲點，達成人生目標', '超級思維：跨界、跨域、跨能，突破思考盲點，提升解決能力的心智模式大全', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好']"
自然科普,甲蟲超人超圖解,https://www.books.com.tw/img/001/092/60/0010926081.jpg,黑貓老師,野人,2022/06/08,優惠價：79折 473元,"＼超狂「三視圖」精美拉頁絕讚收錄！／
 
養蟲25年資深蟲迷「黑貓老師」，
歷時四年終於成書。
蟲友瘋狂敲碗，
甲蟲飼育全解不藏私大公開。
 
第一次養甲蟲就能變高手！
 
本書收錄蟲迷們最...more",https://www.books.com.tw/products/0010926081?loc=P_0005_003,"['nac nac 抹草平安皂 100g(3入)', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', 'DR.WU 角鯊潤澤修復精華15ML', '我和我的冠軍甲蟲', '[MUJI無印良品]炊飯元素(北九州風味雞肉炊飯料)/177g', '[MUJI無印良品]即食迷你拉麵 (雞汁風味)/120g', '孟買春秋：史密斯夫婦樂活印度', '每顆星星都有故事：看漫畫星座神話，學天文觀星祕技', 'DR.WU 3%白藜蘆醇亮白修護精華15ML', '不准畫太好：人氣YouTuber的4大繪圖障礙破解術']"
自然科普,尋找母樹：樹聯網的祕密,https://www.books.com.tw/img/001/092/24/0010922403.jpg,蘇珊‧希瑪爾,大塊文化,2022/04/29,優惠價：79折 379元,"｛植物之間也能溝通並對話？｝
阿凡達電影裡的「靈魂之樹」都是真的──
跟動物一樣，樹木之間也有溝通的網路。
出身伐木家族的森林生態學家，
以三十年光陰，在密林幽徑中穿梭尋覓，
解開林木之間傳遞散布...more",https://www.books.com.tw/products/0010922403?loc=P_0005_004,"['不知道的都叫樹', '叢林：關於地球生命與人類文明的大歷史', '像樹那樣生活：改變韓國十萬讀者，從樹木身上學到35項堅毅的人生智慧', '內景唐人街', '向編輯學思考：激發自我才能、學習用新角度看世界，精準企畫的10種武器', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '[MUJI無印良品]筆記本(5mm方格).線裝/30張.B5.深灰', '走進布農的山', '樹的祕密語言：學會傾聽樹語，潛入樹的神祕世界', '取材.執筆.推敲：《被討厭的勇氣》作者直授，最全面的寫作指南', '成語故事', '彼岸花盛開之島【日本原版書封】(台灣首位，芥川獎得獎作!)', '蘭花絮語 Whisper of the Orchids：臺灣第一本水彩古典蘭花畫', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '山與林的深處：一位臺裔環境歷史學家的尋鄉之旅，在臺灣的植物、島嶼風光和歷史間探尋家族與自身的來處與記憶', '地方創生×SDGs的實踐指南：孕育人與經濟的生態圈，創造永續經營的地方設計法', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '有趣到不可思議的樹木果實圖鑑：300種果實驚人的機能美和造形美，前所未有的鑑賞級寫真', '三千分之一的森林：微觀苔蘚，找回我們曾與自然共享的語言', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)']"
自然科普,OKR實現淨零排放的行動計畫,https://www.books.com.tw/img/001/092/58/0010925890.jpg,"約翰‧杜爾,萊恩‧潘查薩拉姆",天下文化,2022/05/31,優惠價：79折 553元,"➢OKR權威推手、矽谷40年創投家約翰‧杜爾全球矚目力作
➢以OKR解構淨零排放世紀挑戰，揭示ESG潔淨科技巨大商機
➢攜手貝佐斯、高爾、比爾蓋茲等超過50位全球意見領袖及企業家以最快速度投入最...more",https://www.books.com.tw/products/0010925890?loc=P_0005_005,"['[MUJI無印良品]鉛筆2B.2入', '2030永續企業革命：全方位ESG永續實戰攻略', '[MUJI無印良品]鉛筆HB.2入', '2040世界未來報告書：太空淘金、人機共生、移動革命、能源戰爭、ESG策略，疫後時代如何抓住正在崛起的工作與商機?', '資料煉金術：開放資料存取權，重燃創新之火', 'SDGs系列講堂 去碳化社會：從低碳到脫碳，尋求乾淨能源打造綠色永續環境', 'ESG+CSR：企業永續經營的關鍵祕笈', '企業初心：未來企業的新領導準則', '2030科技趨勢全解讀：元宇宙、AI、區塊鏈、雲端、大數據、5G、物聯網，七大最新科技一本就搞懂!', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '你要如何衡量你的人生? (全新增修版)：哈佛商學院最重要的一堂課', '從搖籃到搖籃：綠色經濟的設計提案【ESG永續暢銷三版】', 'ESG投資大未來：永續發展趨勢下的資產配置全攻略', 'OKR：做最重要的事', '如何避免氣候災難：結合科技與商業的奇蹟，全面啟動淨零碳新經濟', '寂靜的地球：工業化、人口爆炸與氣候變遷，昆蟲消失如何瓦解人類社會?', '少即是多：棄成長如何拯救世界', '輿情操縱：用數據操控心智的鼻祖「析模公司」運作大揭密', '20世紀的主義們：自由主義.社會主義.共產主義.法西斯主義.民粹主義.多元文化主義(牛津非常短講)', '我們可以選擇的未來：拯救氣候危機']"
自然科普,鳥類的機智都市生活：從覓食、求偶、築巢、叫聲，一窺 43 種鳥鄰居令人意想不到的日常,https://www.books.com.tw/img/001/092/21/0010922129.jpg,一日一種,遠流,2022/04/27,優惠價：79折 332元,"66則都市鳥的生態圖解
在散步、通勤或上下學的路上，稍加留意即可觀察到的野鳥生態
 
✓覓食
烏鴉竟然會叼走肥皂？還會利用汽車車輪輾破胡桃？
蒼鷹開動前會把獵物的羽毛一根根...more",https://www.books.com.tw/products/0010922129?loc=P_0005_006,"['鳥事一堆!超崩潰鳥類觀察筆記：來自全世界，集結海陸空，六種體型、七大劣根性，一笑解千愁的紓壓手繪賞鳥指南', '【限量作者親簽版】噢!原來你家住這裡：臺灣野生動物的呆萌宅宅日常', '和路邊的野鳥做朋友：超萌四格漫畫，帶你亂入很有戲的鳥類世界', '有趣到不可思議的樹木果實圖鑑：300種果實驚人的機能美和造形美，前所未有的鑑賞級寫真', '噢!原來如此 有趣的鳥類學', '昆蟲觀察入門', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '身而為鳥：從飛翔、築巢、覓食到鳴唱，了解鳥的一舉一動，以及其中的道理', '鳥類繪畫的第一堂課：美國自然學家約翰勞斯賞鳥與畫鳥指南', '【梅香莊】極品梅肉55G (無籽全素)', 'AHC 賦活能亮全臉眼霜30ml', '捉迷藏(華語版)[精裝]', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '非實用野鳥圖鑑：600種鳥類變身搞笑全紀錄【十週年台灣特有版】', '療癒之島：在60種森林香氣裡，聞見台灣的力量', '劉必榮談判精華課：33年經驗集大成，上過這堂課，視野、思維無限寬廣', '台灣常見室內節肢動物圖鑑：居家常見101種蟲蟲大集合，教你如何分辨與防治', '鳥類學家的世界冒險劇場： 從鳥糞到外太空，從暗光鳥到恐龍，沒看過這樣的鳥類學!', '怪奇事物所：你知道嗎?其實我們都很怪!(隨書附贈怪奇筆記本)']"
自然科普,鳥事一堆！超崩潰鳥類觀察筆記：來自全世界，集結海陸空，六種體型、七大劣根性，一笑解千愁的紓壓手繪賞鳥指南,https://www.books.com.tw/img/001/092/32/0010923235.jpg,馬特．克拉赫特,積木文化,2022/05/07,優惠價：79折 356元,"達爾文把小美洲鴕吃下肚，然後才發現那是新物種（笑死）
 
「除了作者的第一本書之外，這是我讀過最好笑的書……我已經買了超多本來送給親朋好友。馬特這次欠我欠大了。」──安東尼獎得主、《紐約時報》暢...more",https://www.books.com.tw/products/0010923235?loc=P_0005_007,"['鳥類的機智都市生活：從覓食、求偶、築巢、叫聲，一窺 43 種鳥鄰居令人意想不到的日常', '噢!原來如此 有趣的鳥類學', '鳥類繪畫的第一堂課：美國自然學家約翰勞斯賞鳥與畫鳥指南', '和路邊的野鳥做朋友：超萌四格漫畫，帶你亂入很有戲的鳥類世界', '【限量作者親簽版】噢!原來你家住這裡：臺灣野生動物的呆萌宅宅日常', '如果生物課都這麼ㄎㄧㄤ!【動物知識噴笑漫畫】豬狗貓激萌演出，笑到你滿地找頭', '【KANU】美式黑咖啡(深度烘焙)(1.6gx10包)', '漫畫昆蟲笑料演化史：史上第一本榮獲「幽默諾貝爾獎」的昆蟲漫畫書', '療癒之島：在60種森林香氣裡，聞見台灣的力量', '台灣常見室內節肢動物圖鑑：居家常見101種蟲蟲大集合，教你如何分辨與防治', '台灣蛙類與蝌蚪圖鑑', '捉迷藏(華語版)[精裝]', '圖解蜜蜂與養蜂：認識蜜蜂的一生，學習如何飼養、愛護蜜蜂，從製作蜂箱到採蜜的全面自學指南', '噢!原來你家住這裡：臺灣野生動物的呆萌宅宅日常', '身而為鳥：從飛翔、築巢、覓食到鳴唱，了解鳥的一舉一動，以及其中的道理', '不准畫太好：人氣YouTuber的4大繪圖障礙破解術', '狐狸一族心探險1：不能說的禁忌', '玉使(仙靈傳奇5)', '海洋解剖書：超過650幅海洋博物繪，帶你深入淺出，全方位探索洋流、地形、鯨豚等自然知識', '與蜜蜂共舞──安奎的蜜蜂手札']"
自然科普,【限量作者親簽版】噢！原來你家住這裡：臺灣野生動物的呆萌宅宅日常,https://www.books.com.tw/img/001/092/34/0010923496.jpg,玉子,商周出版,2022/05/12,優惠價：79折 300元,"認識臺灣生態的第一本書！
都市、農村、山地、濕地、海外
不可不知的49隻野生動物大集合
【趣味圖文X手繪圖鑑X知識詳解】
一起認識身邊的動物好朋友
「咦～在都市裡也能看到老鷹嗎？！」
...more",https://www.books.com.tw/products/0010923496?loc=P_0005_008,"['鳥類的機智都市生活：從覓食、求偶、築巢、叫聲，一窺 43 種鳥鄰居令人意想不到的日常', '噢!原來如此 有趣的臺灣動物小學園1.開學季(首刷限定：附贈精緻烤漆動物別針1枚)', '鳥事一堆!超崩潰鳥類觀察筆記：來自全世界，集結海陸空，六種體型、七大劣根性，一笑解千愁的紓壓手繪賞鳥指南', '和路邊的野鳥做朋友：超萌四格漫畫，帶你亂入很有戲的鳥類世界', '昆蟲觀察入門', '身而為鳥：從飛翔、築巢、覓食到鳴唱，了解鳥的一舉一動，以及其中的道理', '噢!原來如此 有趣的鳥類學', '捉迷藏(華語版)[精裝]', '穿越故宮大冒險7：驚天動地多寶格(限量贈故宮人氣國寶貼紙)', '劉必榮談判精華課：33年經驗集大成，上過這堂課，視野、思維無限寬廣', '阿鏘的毛毛蟲觀察日記', 'Marie Claire美麗佳人 5月號/2022 第349期 超值版', '怪奇事物所：你知道嗎?其實我們都很怪!(隨書附贈怪奇筆記本)', '藍光酒精噴霧槍【奈米級】雙重殺菌 無線消毒噴霧槍 K5 酒精噴霧機 酒精槍 手持消毒槍 霧化冷噴藍光消毒', '經驗陷阱：檢視經驗的偏誤，找回決策的主動權', 'Herbs香草百科：品種、栽培與應用全書(2018年暢銷改版)', '精實影響力：非營利組織的創新', '2030永續企業革命：全方位ESG永續實戰攻略', '為動物請命：建立善待眾生的正見', '寵物臨終服務與生死關懷']"
自然科普,飛機迷都想知道的50個超知識：飛行員告訴你飛機構造與操作、空中交管、航空氣象等搭飛機前一定要知道的事,https://www.books.com.tw/img/001/092/29/0010922992.jpg,"周沄枋,徐浩,丁瑀",晨星,2022/05/01,優惠價：79折 300元,"‧飛機可以倒車嗎？
‧民航機為什麼飛不到外太空？
‧空中的地圖是誰畫的？
‧大自然如何幫飛機省時省油？
‧空中飛機這麼多，到底要怎麼航管呢?
搭乘舒適的班機時，你是否也曾想過種...more",https://www.books.com.tw/products/0010922992?loc=P_0005_009,"['機場總監告訴你50個飛機知識：關於機場基建、飛行、商務、法規、營運的祕密', '客機大百科', '跟著飛行員一起開飛機[圖解版]', '飛機力學超入門：讓飛機飛上天的航空基礎工程學【圖解版】', '變化中的世界秩序：橋水基金應對國家興衰的原則', '攻擊高度四千米：德國空軍崛起與敗亡的命運', '航空管制超入門【圖解版】', '德意志：一個國家的記憶', 'DREAM TOMICA 天竺鼠車車 馬鈴薯', '飛行奧妙初探：解析飛機展翅翱翔的奧祕!', '世界民航 5月號/2022 第285期', '律師也有良心，怎麼了嗎?：卡債不用全還、車禍對方錯了還是可以告你、獲得遺產竟被告侵占……36個需要律師的煩心事，讓暗黑律師法老王為你解惑!', '郭婞淳：舉重若輕的婞念(親簽版)', '想知道的100個飛機問題', 'TopGear Taiwan 極速誌 6月號/2022 第80期', '第三帝國興亡史(4卷套書)', '女兒是吸收媽媽情緒長大的：獻給世上所有女兒、母親、女性的自我修復心理學', '飛機的構造與飛行原理(圖解版)', '怪奇事物所2：這世界不只很怪，還很可愛!', '逆轉人生的英語課：Netflix、Disney+翻譯官的英語學習術，讓你的英文跳躍式大進步']"
自然科普,SDGs系列講堂 去碳化社會：從低碳到脫碳，尋求乾淨能源打造綠色永續環境,https://www.books.com.tw/img/001/092/47/0010924738.jpg,InfoVisual研究所,台灣東販,2022/05/26,優惠價：79折 300元,"從敲響地球暖化的警鐘到達成《巴黎協定》的過程，
在聯合國的主導下，全世界都致力於減碳。
甚至訂定了SDGs中的目標7「確保人人都享有負擔得起、可靠且永續的近代能源。」
 
然而回到實際生活上，狀況...more",https://www.books.com.tw/products/0010924738?loc=P_0005_010,"['SDGs系列講堂 跨越國境的塑膠與環境問題：為下一代打造去塑化地球我們需要做的事!', 'SDGs系列講堂 全球氣候變遷：從氣候異常到永續發展目標，謀求未來世代的出路', '大頭的再見安打', 'SDGs：我們想要的未來【2022增訂版】：17項永續發展目標&國際實踐範例', '17個改變世界的方法：圖解聯合國永續發展目標SDGS', '地方創生×SDGs的實踐指南：孕育人與經濟的生態圈，創造永續經營的地方設計法', '貓卡卡的裁縫店2：河馬夫人的禮服', 'OKR實現淨零排放的行動計畫', '看懂聯合國永續發展目標(SDGs)', '2030永續企業革命：全方位ESG永續實戰攻略', 'La Vie 02月號/2022第214期 (電子雜誌)', '【令和】KF94 韓版 醫療級成人立體口罩|10入/盒 珊瑚橘', '動物星球偵探事件簿', '寂靜的地球：工業化、人口爆炸與氣候變遷，昆蟲消失如何瓦解人類社會?', '超爆笑漫畫歷史人物養成記(全五冊)', '屁屁偵探動畫漫畫5 噗噗 怪盜U對上怪盜U?!(怪盜U頭冠限量版)', 'ESG+CSR：企業永續經營的關鍵祕笈', '四川尋寶記', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '矢板明夫在台灣「說三道四」']"
