分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
心理勵志,剛剛好的優雅（博客來限量獨家PVC書衣+日星特製鉛字印）,https://www.books.com.tw/img/001/092/48/0010924879.jpg,林志玲,遠流,2022/05/26,優惠價：79折 332元,"與更好的自己相遇
志玲姊姊首部凝視內心的真摯書寫
 
優雅，是忠於自己腳步的從容；
是面對挫折也能笑著轉身繼續前進；
是懂得進退，為人著想又不失自我的分寸拿捏。
...more",https://www.books.com.tw/products/0010924879?loc=P_0005_001,"['做自己，為什麼還要說抱歉?', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '剛剛好的優雅：志玲姊姊修養之道', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '讓男人追著妳跑(暢銷新裝版)', '療癒的飲食與斷食：新時代的個人營養學', 'QBQ!問題背後的問題(30萬冊紀念版)', '表達力決定你是誰：提升表達力，成為自己期待的樣子', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '知識複利：將內容變現，打造專家型個人品牌的策略', '底層邏輯：看清這個世界的底牌', '一年投資5分鐘：打造每月3萬被動收入，免看盤、不選股的最強小資理財法', '原子習慣：細微改變帶來巨大成就的實證法則', '全方位理財的第一堂課：你一生必學的五大財務規畫', '像樹那樣生活：改變韓國十萬讀者，從樹木身上學到35項堅毅的人生智慧', '說不出口的，更需要被聽懂：11個暖心對話練習，走進孩子的心', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '[MUJI 無印良品]棉棒(補充用)/200支']"
心理勵志,讓別人贏：在人生多重角色中，55個修煉與覺察的智慧,https://www.books.com.tw/img/001/092/36/0010923663.jpg,黃冠華Sunny Huang,商業周刊,2022/05/12,優惠價：79折 300元,"——唯有真心利他、才能真正回饋自己——
斜槓企業家、《商業周刊》專欄作家黃冠華
從企業經營到人生哲理，給你不一樣的思考解方
西方人玩撲克，好比以拳頭大小決勝負;
亞洲人打麻將，本質是「...more",https://www.books.com.tw/products/0010923663?loc=P_0005_002,"['變化中的世界秩序：橋水基金應對國家興衰的原則', '底層邏輯：看清這個世界的底牌', '奇異衰敗學：百年企業為何從頂峰到解體?', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '高彈性成長法則：每一次的改變，都是成長的機會!彈性的力量帶你越變越好', 'OGSM變革領導：打造企業創新力，建立靈活、隨時擴充的全公司溝通系統工具', '中國紫砂', 'CEO徹夜未眠真心話：我如何在困難中摸索、思考、突破的內心告白', '全方位理財的第一堂課：你一生必學的五大財務規畫', '療癒的飲食與斷食：新時代的個人營養學', '窮查理的普通常識(增修版)：巴菲特50年智慧合夥人查理.蒙格的人生哲學', '精準訂價：在商戰中跳脫競爭的獲利策略', '剛剛好的優雅：志玲姊姊修養之道', '別做熱愛的事，要做真實的自己：一本重新思考人生與工作的改變之書', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '零阻力改變：華頓商學院爆紅行為科學課，直擊內在弱點，高效自我成長', '投資最重要的事：一本股神巴菲特讀了兩遍的書', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '知識複利：將內容變現，打造專家型個人品牌的策略']"
心理勵志,剛剛好的優雅：志玲姊姊修養之道,https://www.books.com.tw/img/001/092/47/0010924763.jpg,林志玲,遠流,2022/05/26,優惠價：79折 332元,"與更好的自己相遇
志玲姊姊首部凝視內心的真摯書寫
 
優雅，是忠於自己腳步的從容；
是面對挫折也能笑著轉身繼續前進；
是懂得進退，為人著想又不失自我的分寸拿捏。
成就自己的...more",https://www.books.com.tw/products/0010924763?loc=P_0005_003,"['剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '戰鬥吧!成語：歡迎登入厭世國文伺服器', '有情人間：不遺忘的溫柔書寫', '做自己，為什麼還要說抱歉?', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '讓男人追著妳跑(暢銷新裝版)', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '按下暫停鍵也沒關係：在憂鬱症中掙扎了一年，我學到的事', '質感說話課：言語的溫柔力量，是送給自己和他人最美的禮物', '原子習慣：細微改變帶來巨大成就的實證法則', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '德國 好立善 EUREYE葉黃素全方位複方軟膠囊(30粒)', '轉念的力量：不被念頭綁架，選擇你的人生，讓心靈自由', '底層邏輯：看清這個世界的底牌', '說不出口的，更需要被聽懂：11個暖心對話練習，走進孩子的心', '女人要堅強而不逞強', '職場又不是沙發，追求舒適要幹嘛?周品均的35堂犀利職場課', '一年投資5分鐘：打造每月3萬被動收入，免看盤、不選股的最強小資理財法', '表達力決定你是誰：提升表達力，成為自己期待的樣子']"
心理勵志,你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦,https://www.books.com.tw/img/001/092/25/0010922512.jpg,千里淳風,天下雜誌,2022/04/28,優惠價：79折 292元,"人生總會遇到卡關的時候，我們必須給自己一個機會，
鬆開生命中的執著，停下來化解眼前的痛苦與困境。
工作不順、財務困窘、情人負心、婚姻失和、孩子不如人……。
生活總有那麼多待解的難...more",https://www.books.com.tw/products/0010922512?loc=P_0005_004,"['其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '零阻力改變：華頓商學院爆紅行為科學課，直擊內在弱點，高效自我成長', '別人怎麼對你，都因為你說的話', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '療癒的飲食與斷食：新時代的個人營養學', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '時間，才是最後的答案', '底層邏輯：看清這個世界的底牌', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '記得你是誰(暢銷15萬冊紀念版)：哈佛的最後一堂課', '妳可以乖，但不能不懂男人的壞', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '練心：李崇建與雨果幼兒園的薩提爾教育實踐', '立下界限：卸除生命中不必要的內疚感，找回平靜，成為溫柔且堅定的自己', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '今天雖然很好，但不知道明天會怎樣：別怕受傷，生活就是懂得擁抱傷口再緩慢前行，這樣就很幸福了', '原子習慣：細微改變帶來巨大成就的實證法則']"
心理勵志,練心：李崇建與雨果幼兒園的薩提爾教育實踐,https://www.books.com.tw/img/001/092/26/0010922682.jpg,"李崇建,林文煌",親子天下,2022/05/04,優惠價：79折 316元,"「過去的傳統教育、當今的另類教育或雙語教育、理念教育，還有諸多的教學策略，我認為最終的目的，是培養出幸福、和諧與自在的生命！」∼李崇建

「我們的教育模式，不是保證孩子不受傷...more",https://www.books.com.tw/products/0010922682?loc=P_0005_005,"['薩提爾的故事溝通：陪孩子練習愛，在愛中學習成長', '你背負了誰的傷：從家庭的原生三角關係，療癒代際傷害', '薩提爾的對話練習(十萬冊融冰紀念版，內附精美薩提爾練習專用練習本《冰山練習曲》)：以好奇的姿態，理解你的內在冰山，探索自己，連結他人', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '李崇建談冰山之渴望：幸福的奧義(上下冊不分售)', '直捷之道【阿迪亞香提的覺醒課】：30堂課，體驗真正的開悟和解脫', '小學生高效學習原子習慣 (附贈小學生考試學習自學手冊)：拆解8大策略X23個實作心法，引導孩子學習如何學', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '精準提問：找到問題解方，培養創意思維、發揮專業影響力的16個提問心法', '心教：點燃每個孩子的學習渴望', '薩提爾縱深對話：李崇建與學思達夥伴的提問與實踐', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '教室裡的對話練習：當學思達遇見薩提爾', '專題式學習，從小就能開始!', '遊戲人生72變：線上‧實體遊戲教學一本通', '給長耳兔的36封信：成長進行式', '允許悲傷：最溫柔的療癒', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '斷食善終——送母遠行，學習面對死亡的生命課題', '薩提爾的親子對話：每個孩子，都是我們的孩子 從實戰經驗淬鍊超強親子對話(附超擬真實作練習)']"
心理勵志,按下暫停鍵也沒關係：在憂鬱症中掙扎了一年，我學到的事,https://www.books.com.tw/img/001/092/51/0010925148.jpg,阿滴（都省瑞）,如何,2022/06/01,優惠價：79折 340元,"★台灣第一位突破200萬訂閱的知識型YouTuber，從深陷憂鬱到康復的真情告白！
★特別邀請「小鬱亂入」設計師繪製插圖，抓出你我心中的那隻小怪獸！
★收錄專業醫師、諮商心理師及阿滴父母的訪談...more",https://www.books.com.tw/products/0010925148?loc=P_0005_006,"['原子習慣：細微改變帶來巨大成就的實證法則', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '小鬱亂入，抱緊處理', '剛剛好的優雅：志玲姊姊修養之道', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '躁鬱人的機智生活', '劉必榮談判精華課：33年經驗集大成，上過這堂課，視野、思維無限寬廣', '全方位理財的第一堂課：你一生必學的五大財務規畫', '不敗學習力：學霸都在用的10大聰明讀書法', '被討厭的勇氣：自我啟發之父「阿德勒」的教導', '海獅說歐洲王室羅曼死【限量親簽香氛扉頁+「王子公主的有事人生」透明貼紙】', '醫生說我可以去死沒關係：日本王牌精神科醫師終極療癒秘訣，治好1000顆破碎的心!', '從內做起：頂尖領導大師淬鍊25年的10堂課', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '被討厭的勇氣 二部曲完結篇：人生幸福的行動指南', '村裡來了個暴走女外科：偏鄉小醫院的血與骨、笑和淚', 'PLUS 豆豆彩貼替帶魔豆8.4mm×10M綠TG─1121R', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '蔡康永的情商課：為你自己活一次', '歡迎光臨夢境百貨2：找回不再做夢的人']"
心理勵志,心念自癒力，逆轉慢性病（親簽版）：21世紀最新心念醫學,https://www.books.com.tw/img/001/092/64/0010926416.jpg,"許瑞云,鄭先安",天下文化,2022/06/07,優惠價：79折 332元,"「不開藥醫師」許瑞云、鄭先安最新力作
《心念自癒力》暢銷好評，逆轉疾病完整實作版！ 
 
突破中醫、西醫，真正根治疾病，
不僅無副作用，並能增進幸福感的心療法
 
平常好好的，怎麼...more",https://www.books.com.tw/products/0010926416?loc=P_0005_007,"['心念自癒力：突破中醫、西醫的心療法', '療癒的飲食與斷食：新時代的個人營養學', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '全方位理財的第一堂課：你一生必學的五大財務規畫', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '別再說都是為我好：情緒能量╳愛的語言╳正念溝通，改變家庭能量動力，化解家人關係難題', '【統一生機】薑黃綜合堅果隨手包六入組 168g(28g*6包)/袋', '從負債2000萬到奇蹟罩我每一天：8個吸引好運、財富和人緣的超狂變身機制，順應宇宙法則，更快心想事成!', '【翠菓子】航空米果綜合米果禮盒(22包/盒)', '超越認知障礙 曹爸有方：保有快樂記憶、忘得輕安自在，有尊嚴安老終老', '快樂醫學：藏傳身心靈預防醫學書', '郭婞淳：舉重若輕的婞念(親簽版)', '【IPSA】 化妝棉_120入', '轉念，與自己和解︰哈佛醫師心能量2', '【美味田】極特濃系_原味乳酪絲(煙燻風味)(60g)', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '什麼才是人生最值得的事', '心想事成加值驚喜包!【1書+2日記】3分鐘未來日記：寫下的願望真的都實現了!', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家']"
心理勵志,空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】,https://www.books.com.tw/img/001/092/47/0010924782.jpg,"許皓宜,凌柏瑋",遠流,2022/05/26,優惠價：79折 308元,"後疫情時代，虛無主義當道
人心動輒空了個洞
還有填滿的可能嗎？
人要如何守著心，守著溫度
在亂世的流裡，游向愛的彼岸？
 
我們可能陷入一種「空心」的狀態，卻不自知？
 
...more",https://www.books.com.tw/products/0010924782?loc=P_0005_008,"['剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '留在Tomo桑心底的日本味：想念家鄉的60道日式料理', '我有結婚病【限量親簽版】', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)', '羞辱創傷：最日常，卻最椎心的痛楚', '知識複利：將內容變現，打造專家型個人品牌的策略', '你背負了誰的傷：從家庭的原生三角關係，療癒代際傷害', '候鳥的女兒(作者親筆簽名扉頁版)', '【作者親簽版】頂級食材聖經：跟著摘星主廚Jimmy品嘗金字塔頂端的美味', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '順勢溝通：一句話說到心坎裡!不消耗情緒，掌握優勢的39個對話練習', '零零落落【限量精裝版：每本附專屬收藏燙金編號及親蓋藏書印】', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '武漢(博客來獨家簽名版)', '海幻 (限量作者親簽版)', '流動日常：藝術蝦的繪畫日記【扉頁親簽版‧博客來獨家】', '綾羅歌.卷一~卷二.獨家限量作者親簽精緻燙金典藏書盒版', '你不能再死一次【博客來獨家親簽版】', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】']"
心理勵志,其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好,https://www.books.com.tw/img/001/092/21/0010922103.jpg,吳若權,悅知文化,2022/04/25,優惠價：79折 300元,"心理勵志暢銷作家．吳若權
繼《先放手，再放心：我從《心經》學到的人生智慧》，
全新心靈成長作品！
【超值影音課程】
每章皆設計「靈魂練習題」，並結合線上影片，
掃描QRcode，即可延伸閱...more",https://www.books.com.tw/products/0010922103?loc=P_0005_009,"['先放手，再放心：我從《心經》學到的人生智慧', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '愈成熟，愈天真：與自己的內在小孩重逢', '女兒是吸收媽媽情緒長大的：獻給世上所有女兒、母親、女性的自我修復心理學', '再難過，也終會度過：總有那些迷惘、不知所措的時刻──給不知不覺成為大人的你', '別人怎麼對你，都因為你說的話', '顯化效應：每天都能做的「注意力鍊金術」，讓你心想事成', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '原子習慣：細微改變帶來巨大成就的實證法則', '原生家庭木馬快篩：三步驟解鎖並拋棄繼承家族負向印記', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '願所有相遇，都恰逢其時【60萬冊暢銷增訂版】：成為有趣而不扭曲的人，過努力而不糾結的人生', '時間，才是最後的答案', '正面的解讀；逆向的思考：聖嚴法師開導 吳若權筆記 108課人生智慧學習', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '無，生命的最佳狀態：用科學方法消除痛苦與不安', '謙卑的力量：放下，才是真正的抵達', '底層邏輯：看清這個世界的底牌']"
心理勵志,妳可以乖，但不能不懂男人的壞,https://www.books.com.tw/img/001/092/24/0010922482.jpg,大叔,圓神,2022/05/01,優惠價：79折 269元,"★10萬追蹤，人氣粉專「拎杯是大叔啦」版主寫給女孩的情海泅泳須知，帶妳嗅出男人的渣指數！
★犀利震撼的醒腦金句，帶妳看清男人的情話、傻話、謊話、真心話！
★寫給各年齡女性的真實愛情...more",https://www.books.com.tw/products/0010922482?loc=P_0005_010,"['讓男人追著妳跑(暢銷新裝版)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '時間，才是最後的答案', '愛情這種病【十年暢銷作者親簽版】', '華燈之下：條通媽媽桑的懺情錄', '原子習慣：細微改變帶來巨大成就的實證法則', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '你的愛情就像你自己：SBS常駐心理師，集15年諮商經驗，找到愛的解答', '心想事成加值驚喜包!【1書+2日記】3分鐘未來日記：寫下的願望真的都實現了!', '別人怎麼對你，都因為你說的話', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '日本第一女公關的人際溝通術：不靠靈巧也能創造億萬業績的祕密', '好好生活 慢慢相遇：30歲，想把溫柔留給自己', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '引導孩子說出內心話：不說教的情商課，讓親子都被好好理解', '愛情這種病', '被討厭的勇氣：自我啟發之父「阿德勒」的教導', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '我想跟你好好說話：賴佩霞的六堂「非暴力溝通」入門課']"
