分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
醫療保健,療癒的飲食與斷食：新時代的個人營養學,https://www.books.com.tw/img/001/092/46/0010924662.jpg,楊定一,天下生活,2022/05/25,優惠價：79折 395元,"身心醫學暢銷經典
《真原醫》失落的一章、
每個人都需要的個人營養學——
在這充滿變動、慮病、不安的時代，
這本書，來得正是時候。
 
「那麼多年，終於等到了。」
 
「地球的轉變速度太快...more",https://www.books.com.tw/products/0010924662?loc=P_0005_001,"['真原醫：21世紀最完整的預防醫學', '最簡單、居家隨時做的結構調整運動：感恩身體的功課', '好睡：新的睡眠科學與醫學', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '必要的創傷', '清醒地睡', '唯識：新的意識科學', '豐盛', '全部的你：跳出局限，擁抱生命無限的可能(增訂版)', '我是誰：找回快樂與自由的隨身練習', '奇蹟', '全方位理財的第一堂課：你一生必學的五大財務規畫', '呼吸的自癒力：簡單幾步驟，降低壓力和焦慮，提高專注力，帶來情緒的平衡', '靜坐的科學、醫學與心靈之旅：21世紀最實用的身心轉化指南', '頭腦的東西：一個真實的新科學', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '透過運動和療效姿勢結構調整(附贈DVD)', '我：弄錯身分的個案', '短路：心靈的科學', '時間的陷阱 Trapped in Time']"
醫療保健,心念自癒力，逆轉慢性病（親簽版）：21世紀最新心念醫學,https://www.books.com.tw/img/001/092/64/0010926416.jpg,"許瑞云,鄭先安",天下文化,2022/06/07,優惠價：79折 332元,"「不開藥醫師」許瑞云、鄭先安最新力作
《心念自癒力》暢銷好評，逆轉疾病完整實作版！ 
 
突破中醫、西醫，真正根治疾病，
不僅無副作用，並能增進幸福感的心療法
 
平常好好的，怎麼...more",https://www.books.com.tw/products/0010926416?loc=P_0005_002,"['心念自癒力：突破中醫、西醫的心療法', '療癒的飲食與斷食：新時代的個人營養學', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '全方位理財的第一堂課：你一生必學的五大財務規畫', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '轉念的力量(限量新春暖心版)：不被念頭綁架，選擇你的人生，讓心靈自由', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '別再說都是為我好：情緒能量╳愛的語言╳正念溝通，改變家庭能量動力，化解家人關係難題', '【統一生機】薑黃綜合堅果隨手包六入組 168g(28g*6包)/袋', '從負債2000萬到奇蹟罩我每一天：8個吸引好運、財富和人緣的超狂變身機制，順應宇宙法則，更快心想事成!', '【翠菓子】航空米果綜合米果禮盒(22包/盒)', '超越認知障礙 曹爸有方：保有快樂記憶、忘得輕安自在，有尊嚴安老終老', '快樂醫學：藏傳身心靈預防醫學書', '郭婞淳：舉重若輕的婞念(親簽版)', '【IPSA】 化妝棉_120入', '轉念，與自己和解︰哈佛醫師心能量2', '【美味田】極特濃系_原味乳酪絲(煙燻風味)(60g)', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '什麼才是人生最值得的事', '心想事成加值驚喜包!【1書+2日記】3分鐘未來日記：寫下的願望真的都實現了!']"
醫療保健,核心逆齡 節拍超慢跑：徒手慢養好肌力，幫你去油肚、解疼痛、降三高、增加骨密度與代謝力，抗老化擺脫肌少症！,https://www.books.com.tw/img/001/092/29/0010922999.jpg,徐棟英,境好出版,2022/05/05,優惠價：79折 300元,"★1,000多位學員核心有力真實見證！★
免輔具、不受場地限制「徒手練核心」x不傷膝蓋的「節拍超慢跑」
降血脂血糖、睡得好、體力佳、改善行動力，
預防肌少症、癌症病友都能練，還可延緩失智！
【上班族...more",https://www.books.com.tw/products/0010922999?loc=P_0005_003,"['血壓的祕密：經脈醫學科學化天才醫師、經脈血壓計世界專利發明人郭育誠，透過血壓量測，取得十二經脈資訊，達成遠距醫療診斷與日常保健', '教室裡有一頭大象：思考、思考、講道理【哲學教授帶孩子從小養成思辨素養】', '療癒的飲食與斷食：新時代的個人營養學', '全方位理財的第一堂課：你一生必學的五大財務規畫', '螺絲愈來愈鬆：從政客、名流和小人物，記錄當代美國走向內在瓦解與重建的心靈史', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '增肌×減脂·科學化飲食全書：5原則×5步驟，打造個人化菜單，有效突破健身撞牆期', '《紅布朗》藍莓乾(150g/罐)', '【統一生機】淨暢乳酸菌PLUS雙寡糖 (20包入)', '[MUJI無印良品]鉛筆HB.2入', '[MUJI無印良品]自由換芯滑順膠墨筆芯/紅0.5mm', '品饌東亞：食物研究中的權力滋味、醫學食補與知識傳說', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '最強超慢跑法', '變化中的世界秩序：橋水基金應對國家興衰的原則', '孫主任的經濟筆記：景氣預測權威帶你輕鬆看懂總經趨勢， 從貿易戰、科技戰、疫後商機、經營挑戰到金融投資一次掌握', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '一個操盤手的虧損自白：長銷30年的獲利經典', '《劉一手》榕樹下黃金條豆干(100g/包)', '【徒手健身】肌群訓練X解剖全書：150種訓練項目及運動機能解剖分析； 無須專業器材，就地鍛鍊零藉口，強力續航更持久!']"
醫療保健,超越認知障礙 曹爸有方：保有快樂記憶、忘得輕安自在，有尊嚴安老終老,https://www.books.com.tw/img/001/092/32/0010923247.jpg,曹汶龍,原水,2022/05/07,優惠價：79折 356元,"如何知道家人是否有失智徵兆？你會怎麼判斷？
如果家人被診斷患有失智症，你會怎麼照顧他？
 
只要活得夠久，失智就可能降臨，
失智不可怕，可怕的是不暸解失智，
不知道如何正確的與失智...more",https://www.books.com.tw/products/0010923247?loc=P_0005_004,"['[MUJI無印良品]自由換芯膠墨筆芯/黑0.38mm', '不失智的29個好習慣!：跟著70+名醫這樣做，健腦防衰，健康慢老!', '原子習慣：細微改變帶來巨大成就的實證法則', '心念自癒力，逆轉慢性病(親簽版)：21世紀最新心念醫學', '健腦工程：預防失智的12堂大腦建築課', 'GUM牙周護理牙膏140g', '別讓記憶說再見：全方位認識失智症', 'LION日本獅王 細潔寬薄牙刷 炭能抗菌 單入 (顏色隨機出貨)', '【花蓮縣餅】菩提餅鋪 ─ 奶油酥條(180g/盒)', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '【曼寧】菊花決明子枸杞茶包 6gx8入', '留住相愛，停止傷害：臨床實踐的失智症照顧方案，陪伴患者也照顧自己，走出情感疲勞，找回生活平衡', '全方位理財的第一堂課：你一生必學的五大財務規畫', '平安鈔經組合《藥師經》4本組合', '[MUJI無印良品]自由換芯膠墨筆芯/紅0.38mm', '【限量作者親簽版】零基礎!機智選股生活：用台股打造「財富後盾」，人生更有安全感', '[MUJI無印良品]自由換芯按壓筆管/半透明', '[MUJI無印良品]自由換芯膠墨筆芯/藍0.38mm', '郭婞淳：舉重若輕的婞念(親簽版)', '沒關係，你可以哭出來：一場長期照護者們的內在療癒之旅，一本「照顧」每位「照顧者」的溫暖之書。']"
醫療保健,369排毒飲食聖經,https://www.books.com.tw/img/001/092/39/0010923940.jpg,安東尼‧威廉,晨星,2022/05/12,優惠價：79折 394元,"百萬暢銷書醫療靈媒系列最新力作！
一部慢性病＋難治疾病的食療全書！
 
你不會在此聽見傳統醫界的老調重彈，而是獲得種種對於食物的全新理解。
 
你將看到針對焦慮、抑鬱、痤瘡、濕疹、萊...more",https://www.books.com.tw/products/0010923940?loc=P_0005_005,"['神奇西芹汁：醫療靈媒給你這個時代最有效、療癒全球數百萬人的靈藥', '醫療靈媒‧改變生命的食物', '醫療靈媒：慢性與難解疾病背後的祕密，以及健康的終極之道', '369排毒食譜', '療癒的飲食與斷食：新時代的個人營養學', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '救命飲食：越營養，越危險!?(10年經典全新增訂)', '[MUJI無印良品]棉麻聚酯收納箱/長方形/中', '【OMORY】 純色細網洗衣袋6件組─贈洗衣板(隨機)', '醫療靈媒─搶救肝臟：破除低糖高蛋白飲食的迷思，教你正確照護、餵養、療癒肝臟的全方位指南 (電子書)', '醫療靈媒：慢性與難解疾病背後的祕密，以及健康的終極之道：慢性與難解疾病背後的祕密，以及健康的終極之道 (電子書)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '原子習慣：細微改變帶來巨大成就的實證法則', '醫療靈媒‧改變生命的食物 (電子書)', '薩提爾的對話練習(十萬冊融冰紀念版，內附精美薩提爾練習專用練習本《冰山練習曲》)：以好奇的姿態，理解你的內在冰山，探索自己，連結他人', '【澳洲 Bains Wholefoods】 鷹嘴豆零食脆片100g (原味)', '我想跟你好好說話：賴佩霞的六堂「非暴力溝通」入門課', '能量水晶療癒全書：頻率對了，你的人生就對了!找出你身心靈的能量調音師', '神奇西芹汁：醫療靈媒給你這個時代最有效、療癒全球數百萬人的靈藥 (電子書)', '【令和】KF94 韓版 醫療級成人立體口罩|10入/盒 珊瑚橘']"
醫療保健,運動比你想的還輕鬆：終結惰性、突破限制的人性化運動,https://www.books.com.tw/img/001/092/43/0010924366.jpg,陳俊忠,原水,2022/05/21,優惠價：79折 356元,"運動是良藥（ExerciseisMedicine，EIM）不能只是呼口號，
因為不運動與抽菸喝酒同為萬病根源。
國內外研究數據真心不騙「懶惰真的會短命！」
「動」則得「救」，現在開始拉開你與疾病的距離！
 
...more",https://www.books.com.tw/products/0010924366?loc=P_0005_006,"['吃錯了，當然會生病!2 發炎，並不是件壞事(六版)：但發炎失控，就是百病之源', '美國CLOROX 高樂氏居家殺菌濕紙巾 清新香/35片裝─有效期限至2023/07', '啟動身體的抗老系統：從破壞模式切換到修復模式，享受無病生活', '美國CLOROX 高樂氏居家殺菌濕紙巾 檸檬香/35片裝─有效期限至2023/07', '健檢做完，然後呢?：從自然醫學觀點，拆解數字真相，掌握對症處方，找回健康!(4版)', '社會可以被改變：超高齡社會的處方箋', '高醣、低醣、生酮，怎麼吃才適合我?陳俊旭的終極實踐', '怎麼吃，也毒不了我!──陳俊旭博士的阻毒、解毒、排毒私房秘笈']"
醫療保健,養腦聖典：護腦珍品管花肉蓯蓉全面解密，延緩衰老，養腦要趁早,https://www.books.com.tw/img/001/092/43/0010924365.jpg,未來方案工作室,墨刻,2022/05/21,優惠價：79折 205元,超高齡社會來臨，身體健康壽命日益延長，而大腦的健康保養更是不可輕忽。現代人因飲食和生活作息不正常，即便青壯年也常感到記憶大不如前，當記憶力逐漸衰退，代表大腦開始出現初老症狀，此時若不加以改善...more,https://www.books.com.tw/products/0010924365?loc=P_0005_007,"['呼吸的自癒力：簡單幾步驟，降低壓力和焦慮，提高專注力，帶來情緒的平衡', '醫療靈媒：慢性與難解疾病背後的祕密，以及健康的終極之道', '女人的身心療癒地圖(全新增訂版)：全方位骨盆治療，整合妳的女性身體，喚醒生命野性活力', '易經說：養生先養心', '不生病的藏傳養生術：身心靈全面關照的預防醫學']"
醫療保健,燃：最新研究，揭開身體究竟如何燃燒卡路里、減肥、保持健康！,https://www.books.com.tw/img/001/092/29/0010922900.jpg,赫曼．龐策,方舟文化,2022/05/05,優惠價：79折 379元,"得跑多遠，才能把一個甜甜圈的熱量完全燃燒？
咖啡或其他超級食物真能「促進」新陳代謝？
運動不會讓你瘦？讓人大吃一驚的「代謝的科學」！
英美亞馬遜分類TOP1，售出14國語言版權
登上《新科學人》封面...more",https://www.books.com.tw/products/0010922900?loc=P_0005_008,"['增肌×減脂·科學化飲食全書：5原則×5步驟，打造個人化菜單，有效突破健身撞牆期', '天生不愛動： 自然史和演化如何破除現代人關於運動與健康的12個迷思', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '好教練的養成之道：從如何指導、安排課表到打造成功職涯，健身教練都該懂的105條關鍵守則', '【徒手健身】肌群訓練X解剖全書：150種訓練項目及運動機能解剖分析； 無須專業器材，就地鍛鍊零藉口，強力續航更持久!', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '怪獸訓練肌力及體能訓練手冊', '搞懂內分泌，練成你的易瘦體質：不節食、不斷醣、不生酮、不吃藥、不需要制式菜單，打造這輩子都胖不了的瘦身術!', '療癒的飲食與斷食：新時代的個人營養學', '【統一生機】甘栗 150g/包', '美國第一健身強人，給女生的科學化鍛鍊全書：重訓×飲食，12週有效訓練，女生也能練出精實肌肉', '底層邏輯：看清這個世界的底牌', '郭婞淳：舉重若輕的婞念(親簽版)', '原子習慣：細微改變帶來巨大成就的實證法則', '遊戲人生：善用遊戲‧活化教育，玩出新高度', '1年減14公斤內臟脂肪的燃脂飲食法：用蛋白質脂質飲食重啟燃脂機制，打造怎麼吃都瘦的好體質', '最強健身教練養成聖經', '最美好、也最殘酷的翻身時代：畢德歐夫帶你掌握理財5大關鍵', '幸福瘦：不節食、不復胖，從心開始的23堂療癒減重對話', '全方位理財的第一堂課：你一生必學的五大財務規畫']"
醫療保健,骨力自癒逆轉密碼：鬆開筋膜．遠離疼痛．強健骨骼．提升肌力．改善免疫,https://www.books.com.tw/img/001/092/32/0010923249.jpg,蔡凱宙,原水,2022/05/19,優惠價：79折 356元,"久治不癒的骨骼肌肉疼痛，
問題根源往往出在筋膜的彈性不足及循環不通，
除了透過筋膜運動鬆開沾黏之外， 
奉行飲食中的「3減」：減糖、減小麥、減藥，
勵行生活中的「3增」：增肌、增睡、增腸胃力，
...more",https://www.books.com.tw/products/0010923249?loc=P_0005_009,"['健康金三角養生法〔修訂版〕', '【令和】KF94 韓版 醫療級成人立體口罩|10入/盒 天使白', '【令和】KF94 韓版 醫療級成人立體口罩|10入/盒 神秘黑', '療癒的飲食與斷食：新時代的個人營養學', '紐西蘭【EasiYo優格粉】經典原味(140公克)', '文茜說世紀典範人物之二：從平凡到不平凡的─梅克爾、羅斯福夫人、杜魯門', '文茜說世紀典範人物：不帶虛名的外衣走天涯──邱吉爾、戴高樂、羅斯福', '【令和】KF94 韓版 醫療級成人立體口罩|10入/盒 蒂芬尼藍', 'NFT實戰勝經：劉呈顥教你用NFT創造財富的10種方法', '大賣空：祕密布局，等待時機', '超越認知障礙 曹爸有方：保有快樂記憶、忘得輕安自在，有尊嚴安老終老', '離島星星數一數 逃出數學的密室(附 超實用攻略本)', '骨質疏鬆照護全書：骨科名醫教你，吃對食物+做對運動，抑制骨流失，活化骨細胞，有效抗老化，擁有績優骨!']"
醫療保健,心念自癒力，逆轉慢性病：21世紀最新心念醫學,https://www.books.com.tw/img/001/092/64/0010926414.jpg,"許瑞云,鄭先安",天下文化,2022/06/07,優惠價：79折 332元,"「不開藥醫師」許瑞云、鄭先安最新力作
《心念自癒力》暢銷好評，逆轉疾病完整實作版！ 
 
突破中醫、西醫，真正根治疾病，
不僅無副作用，並能增進幸福感的心療法

平常好好的，怎麼...more",https://www.books.com.tw/products/0010926414?loc=P_0005_010,"['心念自癒力：突破中醫、西醫的心療法', '療癒的飲食與斷食：新時代的個人營養學', 'nac nac EDI超純水濕巾20抽/6入', '羞辱創傷：最日常，卻最椎心的痛楚', '[MUJI無印良品]軟質聚乙烯收納盒/半/中', '【IPSA】 化妝棉_120入', '薩提爾的親子對話：每個孩子，都是我們的孩子 從實戰經驗淬鍊超強親子對話(附超擬真實作練習)', '哈佛醫師心能量：為什麼有些病老是治不好或需要長期依賴藥物呢?身體病症的答案心知道!', '轉念的力量(限量新春暖心版)：不被念頭綁架，選擇你的人生，讓心靈自由', '讓別人贏：在人生多重角色中，55個修煉與覺察的智慧', '大腦科學的教養常識：父母應該把握的幼兒發展關鍵', '心念自癒力，逆轉慢性病(親簽版)：21世紀最新心念醫學', '莊子，從心開始 完結篇(上)大宗師：關於自由的人生解答之書', '莊子，從心開始 完結篇(下)應帝王：順物自然的心內修復之書', '擊不倒你的，會使你更強大：從走唱小歌女到英特爾總經理，吳惠瑜把逆境活成喜劇的人生哲學', '走出傷痛 破繭重生：哈佛醫師心能量 啟動內在療癒力', '【德恩奈】清淨涼牙膏156g', '【翠菓子】航空米果綜合米果禮盒(22包/盒)', '1週2食材，讓心不發炎的解憂飲食：心好累?讓「調身也調神」的食療習慣為你去煩、除勞、免疫吧!', '【苗栗公館鄉農會】日曬紅棗干 200g/ 包']"
