分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
飲食,法朋風味全圖鑑：翻書學搭配，看圖懂技巧，112種蛋糕體、夾心、奶餡、香緹…，掌握味道口感與視覺的最佳組合關鍵！,https://www.books.com.tw/img/001/092/38/0010923885.jpg,李依錫,大境,2022/05/17,優惠價：79折 411元,">彙集李依錫師傅30年經驗、技術的唯一著作 
>以剖面圖解構法朋在味道×口感×視覺上的絕妙搭配
>糕點比例層次與組織結構一目瞭然
>所有配方不藏私大公開！
 
以剖面詳細描述口味組...more",https://www.books.com.tw/products/0010923885?loc=P_0005_001,"['職人級奶油蛋糕【技法全圖解】：零基礎也學得會!從蛋糕體、奶油夾餡、抹面工序到裝飾組合，分層解構做出兼具美味與視覺的高質感甜點', '職人級蛋糕捲【技法全圖解】：零基礎也學得會!從口味配方、烘焙技法、到組合裝飾，一次學會「蛋糕體綿密濕潤」、「奶油霜濃郁滑順」的高級感美味甜點', '「人氣RESSOURCES菓子工坊」卡士達糕點配方大公開!糕點店的靈魂奶餡與醬汁，從基礎到進階應用40道', '法式甜點的設計：藍帶甜點師的職人配方&破框美學，35款集結色彩搭配、造型發想、味覺堆疊的美味解構', '冰淇淋風味學 Gelato&Sorbet', '打造人氣甜點店：接單接著就開店，甜點師創業學大公開!', '人氣RESSOURCES菓子工坊餅乾配方大公開!', '焦糖甜點全圖鑑：6種基礎焦糖技法大解密，可直接吃、當餡料、做裝飾!糖果X餅乾X蛋糕X塔派，一窺焦糖名店的經典配方', '吳克己的職人手感吐司(烘焙類熱銷紀念版)：專業烘焙技法，解開吐司的秘密', '這才叫果醬!：果醬女王56款使用在地台灣食材的手作果醬【金獎增訂版】', '金牌主廚的法式甜點饕客口碑版：得獎甜點珍藏秘方大公開', '完全解構!精品級甜點：從入門到進階!餅乾、泡芙、蛋糕、塔派，顛覆味覺與視覺的私房食譜X夢幻裝飾', '烘焙職人嚴選麵包：廣受好評的吐司╳貝果╳鹽可頌風味美學', '蛋糕結構研究室：徹底解析五大關鍵材料，掌握柔軟×紮實×濕潤×蓬鬆終極配方比', '韓式鮮奶油擠花、抹面、夾層：韓國名師Congmom親授，21款基本技法+29個擠花技巧+37種蛋糕裝飾', '糕餅麵食寶典：國寶級師傅60年經驗傳授，不藏私解答150個製作糕餅麵點的技巧與問題。', '自宅獨享烘焙X小食動手做：烘焙小點X經典小食，新手也能無負擔上手!', '原子習慣：細微改變帶來巨大成就的實證法則', '法式甜點：秒殺甜點課程不用搶，一次學會塔派、泡芙、千層蛋糕、常溫點心', '職人級蛋糕捲【技法全圖解】：零基礎也學得會!從口味配方、烘焙技法、到組合裝飾，一次學會「蛋糕體綿密濕潤」、「奶油霜濃郁滑順」的高級感美味甜點 (電子書)']"
飲食,留在Tomo桑心底的日本味：想念家鄉的60道日式料理,https://www.books.com.tw/img/001/091/95/0010919581.jpg,Tomo加賀美智久,台灣角川,2022/05/30,優惠價：79折 332元,"從模特兒到中村先生是演員也是主廚
Tomo加賀美智久的經典日式料理公開
經典的日式料理，是Tomo永遠的鄉愁。雖然日本料理總給人昂貴的印象，但其實在家做並不難。無論是居酒屋下酒菜、酒家菜&條通...more",https://www.books.com.tw/products/0010919581?loc=P_0005_002,"['平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '我有結婚病【限量親簽版】', '武漢(博客來獨家簽名版)', '候鳥的女兒(作者親筆簽名扉頁版)', '零零落落【限量精裝版：每本附專屬收藏燙金編號及親蓋藏書印】', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)', '海幻 (限量作者親簽版)', '流動日常：藝術蝦的繪畫日記【扉頁親簽版‧博客來獨家】', '你不能再死一次【博客來獨家親簽版】', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '【作者親簽版】頂級食材聖經：跟著摘星主廚Jimmy品嘗金字塔頂端的美味', '名模主廚Tomoの廚房生活手記：70道不失敗超簡單的美味料理創意提案', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '日式素家常101：蔬食研究家的和風家庭料理', '連篇交響詩(精裝/作者親簽版)', '艾笛的永生契約(作者親筆簽名扉頁版+獨家奇幻透卡)', '你值得擁有一切你想要的(暖心簽名版)', 'JIMHODA 可折疊 手機桌面支架/粉色', '韓式海鮮料理圖解聖經：800張圖解&關鍵步驟，釣魚高手從用刀、活締、放血、切法、熟成，到超過100種醬料與黃金食譜，傳授你全方位掌握關於魚類和海鮮的知識與技法']"
飲食,日式素家常101：蔬食研究家的和風家庭料理,https://www.books.com.tw/img/001/092/45/0010924545.jpg,李耀堂,邦聯文化,2022/05/24,優惠價：79折 356元,"美味高度還原，茹素者也能享用的日本國民美食
人氣日本家常菜素食版
市售和風調味品做料理
自製經典日式醬出好菜
長壽的日本菜Ｘ健康的蔬素食＝日式素家常
根據WHO統計，...more",https://www.books.com.tw/products/0010924545?loc=P_0005_003,"['連篇交響詩(精裝/作者親簽版)', '留在Tomo桑心底的日本味：想念家鄉的60道日式料理', '【翠菓子】航空米果綜合米果禮盒(22包/盒)', '素的下飯菜：輕鬆做出 100 道中西式扒飯料理', '素餐桌調味帖 金牌冠軍的獨門調味料：56款自然安心的調味品╳10種零添加的常備素料╳75道美味加分的素料理', '『白崎茶会の発酵定食』自製味噌、鹽麴、甘酒、泡菜、豆漿優格...變化每天都能簡單實踐，對身體友善的菜單與常備菜100道', '我有結婚病【限量親簽版】', '季節日本漬112：順應時令、友善身體， 從淺漬、經典到食療，可品嚐四季的手作漬物。', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)', '【統一生機】甘栗 150g/包', '【Cap】加厚牛津布大容量收納袋─米色小狗', '【Cap】加厚牛津布大容量收納袋─藍色櫻桃', '寫小說，不用太規矩： 三浦紫苑的寫作講座(台灣讀者限定典藏・作者燙金簽名×贈言)', '蔬食常備菜：168 道安之茹素的一日三餐提案[二版]', '一吃就上癮!美味秒殺烤箱菜：100道零油煙超省時料理，從肉類、蔬菜、海鮮，到主食、甜品，輕鬆烤出噴香好滋味!', '【中衛】酒精棉片─ 網孔型(綠) 1盒(200片/盒)', '(3盒1包)FABER─CASTELL自動鉛筆芯0.5─HB', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '原汁原味照食譜：不失敗的60道素料理', '做甜點不失敗的10堂關鍵必修課【暢銷典藏版】：世界甜點冠軍烘焙工法全書 (電子書)']"
飲食,法式甜點的設計：藍帶甜點師的職人配方&破框美學，35款集結色彩搭配、造型發想、味覺堆疊的美味解構,https://www.books.com.tw/img/001/092/46/0010924634.jpg,郭恩慈,台灣廣廈,2022/05/26,優惠價：79折 514元,"上萬人爭相搶購、開賣即完售的網路爆款甜點，
國際品牌SABON禮盒指定聯名！
「Enpâtisserie大口心心」工作室，首度出書！
帶你用35堂基礎→→進階的「新時代甜點設計課」，
逐步拆解發想˙造型˙色彩˙...more",https://www.books.com.tw/products/0010924634?loc=P_0005_004,"['法朋風味全圖鑑：翻書學搭配，看圖懂技巧，112種蛋糕體、夾心、奶餡、香緹…，掌握味道口感與視覺的最佳組合關鍵!', '職人級奶油蛋糕【技法全圖解】：零基礎也學得會!從蛋糕體、奶油夾餡、抹面工序到裝飾組合，分層解構做出兼具美味與視覺的高質感甜點', '職人級蛋糕捲【技法全圖解】：零基礎也學得會!從口味配方、烘焙技法、到組合裝飾，一次學會「蛋糕體綿密濕潤」、「奶油霜濃郁滑順」的高級感美味甜點', '打造人氣甜點店：接單接著就開店，甜點師創業學大公開!', '「人氣RESSOURCES菓子工坊」卡士達糕點配方大公開!糕點店的靈魂奶餡與醬汁，從基礎到進階應用40道', '質感甜點層層解構【立體剖面全圖解】：世界冠軍教你50款人氣甜點，從初階到進階分層拆解製程、配方與美味的關鍵技巧', '【京盛宇】十全十美御守袋茶禮盒─精選10款台灣好茶，搭配10種溫暖祝福 藍色', '純素主義烘焙聖經：89道巴黎名店配方與步驟技巧教學，無蛋奶全植物也能做出正統法式甜點', '冰淇淋風味學 Gelato&Sorbet', '人氣RESSOURCES菓子工坊餅乾配方大公開!', '黃偈的甜點日記：32道法式甜點與追夢隨筆', '正韓食：韓國歐巴主廚的刀法、調醬、烹飪全書，神還原道地韓劇美食(附料理影音)', '達克瓦茲【分層全圖解】：從零開始學職人級配方&不失敗技巧，在家做出外酥內軟的甜蜜法式甜點', '正韓小菜：五星韓廚的道地韓國小菜!從開胃泡菜到麻藥雞蛋，65道零失敗偷飯料理', '焦糖甜點全圖鑑：6種基礎焦糖技法大解密，可直接吃、當餡料、做裝飾!糖果X餅乾X蛋糕X塔派，一窺焦糖名店的經典配方', '菅又亮輔 果香滿溢的法式甜點：甜點界備受矚目的「Ryoura」主廚私房配方大公開!', '蛋糕結構研究室：徹底解析五大關鍵材料，掌握柔軟×紮實×濕潤×蓬鬆終極配方比', '日本甜點名師的奶油研究室：滑順濃郁×完美融合×吸睛妝點', '用科學方式瞭解糕點的「為什麼?」：基本麵團、材料的231個Q&A', '無麩質完美烘焙：美味的無麩質食譜與科學知識']"
飲食,餐桌上的魚百科：跟著魚汛吃好魚，從挑選、保存、處理、熟成到料理的全食材事典（典藏增訂版）,https://www.books.com.tw/img/001/092/53/0010925340.jpg,郭宗坤,麥浩斯,2022/06/02,優惠價：79折 593元,"熱銷萬本，全新推出《餐桌上的魚百科》典藏增訂版！
台灣最完整的魚類全食材事典
收錄165種魚X10種蝦X10種貝類
選購要點、食用切法、保存要訣、烹調秘技，一次搞定！
專業漁料理職人郭宗坤從小...more",https://www.books.com.tw/products/0010925340?loc=P_0005_005,"['韓式海鮮料理圖解聖經：800張圖解&關鍵步驟，釣魚高手從用刀、活締、放血、切法、熟成，到超過100種醬料與黃金食譜，傳授你全方位掌握關於魚類和海鮮的知識與技法', '舌尖上的八大菜系：兩百餘道中餐名菜的緣起和典故，名廚帶你懂食材、有談資，會不會點菜，就看這本書。', '【日本FOREVER】日本熱銷保鮮膜切割器/錫箔紙切割器─1入組', '【Trapa】金典95%黑巧克力100g', '菜市場魚圖鑑', '全魚解構與料理：採購、分切、熟成、醃製，從魚肉、魚鱗到內臟，天才主廚完整分解與利用一條魚的烹飪新思維，探究魚類料理與飲食的真價值', '從廚房開始的健康生活：低醣主義粗食正夯─100道全食物低醣料理美味提案', '【老饕級世界美食圖鑑套書】(二冊)：《世界下酒菜圖鑑》、《世界地方特色料理圖鑑》', '肉の料理科學【超圖解】：1000張分解圖!大廚不外傳的雞豬牛羊306個部位烹調密技，從選對肉到出好菜一本搞定!', '日式串燒大全']"
飲食,10分鐘上菜，一回家就開飯！千萬粉絲都說讚的零失敗快速料理+甜點，超人氣秒殺食譜100+,https://www.books.com.tw/img/001/092/32/0010923240.jpg,丸子,PCuSER電腦人文化,2022/05/07,優惠價：79折 356元,"省時！輕鬆！美味！冰箱有什麼就煮什麼的最實用料理！
網路點閱率最高！丸子的左撇子廚房
下班後只想輕鬆煮！100+新手也會的人氣料理X一鍋到底X甜蜜烘焙
從各式肉類、海鮮、蔬菜應有盡有的人氣料理；...more",https://www.books.com.tw/products/0010923240?loc=P_0005_006,"['媽媽便當店：超人氣料理140+自由配!今天減醣菜、明天造型餐、野餐也OK，網路詢問度最高的美味便當食譜', '一蛋究竟!無所不能101道蛋料理：只要有蛋，備料烹調輕鬆易上手，從早餐、主食、便當、配菜到異國料理，都能變化出無窮美味!', '上桌秒殺!活用蔬菜速簡料理：專家教你從挑菜、備料到烹煮，把20種常見蔬菜變身304款澎湃主菜、省時配菜、便利常備菜!', '[星巴克]星巴克咖啡捲心酥', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', 'Costco減醣便當：網路詢問度超高!人氣組合自由配，最美味瘦身食譜的分裝、保存、料理，一次搞定全家午餐+晚餐!', '[星巴克]可可牛奶威化捲收納盒', '一個人的餐桌，偶爾還有點心：自煮生活靈感食譜，結合旅行滋味的78道日常料理', '瘦身常備菜&減醣快手菜330', '幸好冰箱有蛋：100道每天吃都不膩的幸福蛋料理', '會開瓦斯就會煮：從家常小館到熱炒店，從酒蒸蛤蠣到三杯雞，IG人氣主廚分享13萬粉絲最愛86道吃不膩、零失敗、親友讚不絕口的超簡單料理(美味99分+成就感100分)', '24小時全為己所用【限量贈：自分時間手帳】：以「心靈滿足」為目標的時間管理法', '剛剛好的優雅：志玲姊姊修養之道', '【米森】好菌搖搖─有機兒茶素綠茶(2g*14包/盒)', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '不敗學習力：學霸都在用的10大聰明讀書法', '世界地方特色料理圖鑑：集結300個國家、地區，藉著食譜認識各地歷史、文化、宗教飲食規則', '解憂雜貨店【暖心紀念版】', '文言文很好用─你一定想用的絕妙好詞(名詞、動詞)：引經據典，言之有物、談吐得宜，提升素養的最快方法。', '完全解構!精品級甜點：從入門到進階!餅乾、泡芙、蛋糕、塔派，顛覆味覺與視覺的私房食譜X夢幻裝飾']"
飲食,職人級奶油蛋糕【技法全圖解】：零基礎也學得會！從蛋糕體、奶油夾餡、抹面工序到裝飾組合，分層解構做出兼具美味與視覺的高質感甜點,https://www.books.com.tw/img/001/092/24/0010922491.jpg,朴祗賢,台灣廣廈,2022/05/05,優惠價：79折 356元,"★質地柔軟濕潤的海綿蛋糕，再加上鮮奶油裝飾和水果夾心，交織成難以抗拒的甜點！
★從打發奶油、夾餡抹面、到裝飾組合及分切蛋糕，獻給你職人級的製作技巧！
甜點主廚/郭士弘、甜點架式主廚/Jasmine──...more",https://www.books.com.tw/products/0010922491?loc=P_0005_007,"['職人級蛋糕捲【技法全圖解】：零基礎也學得會!從口味配方、烘焙技法、到組合裝飾，一次學會「蛋糕體綿密濕潤」、「奶油霜濃郁滑順」的高級感美味甜點', '法朋風味全圖鑑：翻書學搭配，看圖懂技巧，112種蛋糕體、夾心、奶餡、香緹…，掌握味道口感與視覺的最佳組合關鍵!', '法式甜點的設計：藍帶甜點師的職人配方&破框美學，35款集結色彩搭配、造型發想、味覺堆疊的美味解構', '打造人氣甜點店：接單接著就開店，甜點師創業學大公開!', '「人氣RESSOURCES菓子工坊」卡士達糕點配方大公開!糕點店的靈魂奶餡與醬汁，從基礎到進階應用40道', '上桌秒殺!活用蔬菜速簡料理：專家教你從挑菜、備料到烹煮，把20種常見蔬菜變身304款澎湃主菜、省時配菜、便利常備菜!', '焦糖甜點全圖鑑：6種基礎焦糖技法大解密，可直接吃、當餡料、做裝飾!糖果X餅乾X蛋糕X塔派，一窺焦糖名店的經典配方', '吳克己的職人手感吐司(烘焙類熱銷紀念版)：專業烘焙技法，解開吐司的秘密', '高含水萬用麵糰：一變多的神奇麵糰，做成麵包、比薩、中式點心、異國小點都好吃', '李志豪法式香甜維也納菓子麵包', '冰淇淋風味學 Gelato&Sorbet', '日本甜點名師的奶油研究室：滑順濃郁×完美融合×吸睛妝點', '韓式鮮奶油擠花、抹面、夾層：韓國名師Congmom親授，21款基本技法+29個擠花技巧+37種蛋糕裝飾', '完全解構!精品級甜點：從入門到進階!餅乾、泡芙、蛋糕、塔派，顛覆味覺與視覺的私房食譜X夢幻裝飾', '愛。甜點：沙布蕾、帕芙洛娃、達克瓦茲 70道法式人氣派塔 經典╳低卡烘焙食譜', '磅蛋糕【剖面全圖解】：傳統經典烘焙X絕美韓系裝飾，運用3種混合技法，在家做出23款創意口味', '純素主義烘焙聖經：89道巴黎名店配方與步驟技巧教學，無蛋奶全植物也能做出正統法式甜點', '麵點女王的百變中式點心(親簽版)', '媽媽便當店：超人氣料理140+自由配!今天減醣菜、明天造型餐、野餐也OK，網路詢問度最高的美味便當食譜', '蛋糕結構研究室：徹底解析五大關鍵材料，掌握柔軟×紮實×濕潤×蓬鬆終極配方比']"
飲食,職人級蛋糕捲【技法全圖解】：零基礎也學得會！從口味配方、烘焙技法、到組合裝飾，一次學會「蛋糕體綿密濕潤」、「奶油霜濃郁滑順」的高級感美味甜點,https://www.books.com.tw/img/001/092/24/0010922495.jpg,朴祗賢,台灣廣廈,2022/05/05,優惠價：79折 300元,"★你喜歡蛋糕捲那蓬鬆的蛋糕體，一口咬下爆出奶霜內餡的邪惡美味嗎？
★你著迷那柔滑細膩的奶油淋醬，大口咬下包裹著蛋糕體的豐富滿足感？
★首次公開店內配方，咖啡廳才能享受到的美味，在自家廚房就能實現...more",https://www.books.com.tw/products/0010922495?loc=P_0005_008,"['職人級奶油蛋糕【技法全圖解】：零基礎也學得會!從蛋糕體、奶油夾餡、抹面工序到裝飾組合，分層解構做出兼具美味與視覺的高質感甜點', '法朋風味全圖鑑：翻書學搭配，看圖懂技巧，112種蛋糕體、夾心、奶餡、香緹…，掌握味道口感與視覺的最佳組合關鍵!', '「人氣RESSOURCES菓子工坊」卡士達糕點配方大公開!糕點店的靈魂奶餡與醬汁，從基礎到進階應用40道', '打造人氣甜點店：接單接著就開店，甜點師創業學大公開!', '法式甜點的設計：藍帶甜點師的職人配方&破框美學，35款集結色彩搭配、造型發想、味覺堆疊的美味解構', '冰淇淋風味學 Gelato&Sorbet', '高含水萬用麵糰：一變多的神奇麵糰，做成麵包、比薩、中式點心、異國小點都好吃', '李志豪法式香甜維也納菓子麵包', '吳克己的職人手感吐司(烘焙類熱銷紀念版)：專業烘焙技法，解開吐司的秘密', '焦糖甜點全圖鑑：6種基礎焦糖技法大解密，可直接吃、當餡料、做裝飾!糖果X餅乾X蛋糕X塔派，一窺焦糖名店的經典配方', '上桌秒殺!活用蔬菜速簡料理：專家教你從挑菜、備料到烹煮，把20種常見蔬菜變身304款澎湃主菜、省時配菜、便利常備菜!', '達克瓦茲【分層全圖解】：從零開始學職人級配方&不失敗技巧，在家做出外酥內軟的甜蜜法式甜點', '完全解構!精品級甜點：從入門到進階!餅乾、泡芙、蛋糕、塔派，顛覆味覺與視覺的私房食譜X夢幻裝飾', '【老四川】酸辣粉(106g)', '請問阿洸師傅!堂本流15款經典配方與風味筆記，教你在家也能做出溫暖療癒的麵包', 'Hello Kitty包粽icash2.0', '正韓小菜：五星韓廚的道地韓國小菜!從開胃泡菜到麻藥雞蛋，65道零失敗偷飯料理', '成為1%的創業存活者：貝克街王繁捷如何以20萬創造5，000萬業績?', '這才叫果醬!：果醬女王56款使用在地台灣食材的手作果醬【金獎增訂版】', '麵點女王的百變中式點心(親簽版)']"
飲食,打造人氣甜點店：接單接著就開店，甜點師創業學大公開！,https://www.books.com.tw/img/001/092/19/0010921968.jpg,VICKY,出色文化,2022/05/06,優惠價：79折 379元,"藝人指定造型蛋糕甜點名店VKCookingHouse，
首本甜點創業教戰分享！
獻給所有喜愛手作甜點，懷有甜點師追夢之旅的你。
 
✦藝人活動御用甜點師‧超吸睛造型蛋糕！
擅長製作翻糖蛋糕、糖霜餅...more",https://www.books.com.tw/products/0010921968?loc=P_0005_009,"['職人級奶油蛋糕【技法全圖解】：零基礎也學得會!從蛋糕體、奶油夾餡、抹面工序到裝飾組合，分層解構做出兼具美味與視覺的高質感甜點', '法朋風味全圖鑑：翻書學搭配，看圖懂技巧，112種蛋糕體、夾心、奶餡、香緹…，掌握味道口感與視覺的最佳組合關鍵!', '職人級蛋糕捲【技法全圖解】：零基礎也學得會!從口味配方、烘焙技法、到組合裝飾，一次學會「蛋糕體綿密濕潤」、「奶油霜濃郁滑順」的高級感美味甜點', '「人氣RESSOURCES菓子工坊」卡士達糕點配方大公開!糕點店的靈魂奶餡與醬汁，從基礎到進階應用40道', '法式甜點的設計：藍帶甜點師的職人配方&破框美學，35款集結色彩搭配、造型發想、味覺堆疊的美味解構', '冰淇淋風味學 Gelato&Sorbet', '高含水萬用麵糰：一變多的神奇麵糰，做成麵包、比薩、中式點心、異國小點都好吃', 'TART澎派人氣甜塔，熱賣款食譜初公開 製作技巧不藏私，在家也能做出職人級美味', '焦糖甜點全圖鑑：6種基礎焦糖技法大解密，可直接吃、當餡料、做裝飾!糖果X餅乾X蛋糕X塔派，一窺焦糖名店的經典配方', '麵點女王的百變中式點心(親簽版)', '法式甜點：秒殺甜點課程不用搶，一次學會塔派、泡芙、千層蛋糕、常溫點心', '愛。甜點：沙布蕾、帕芙洛娃、達克瓦茲 70道法式人氣派塔 經典╳低卡烘焙食譜', '純素主義烘焙聖經：89道巴黎名店配方與步驟技巧教學，無蛋奶全植物也能做出正統法式甜點', '自宅獨享烘焙X小食動手做：烘焙小點X經典小食，新手也能無負擔上手!', '媽媽便當店：超人氣料理140+自由配!今天減醣菜、明天造型餐、野餐也OK，網路詢問度最高的美味便當食譜', '台灣小吃輕鬆上手：高成功率配方，一次學會大廚美味技法!', '質感甜點層層解構【立體剖面全圖解】：世界冠軍教你50款人氣甜點，從初階到進階分層拆解製程、配方與美味的關鍵技巧', '一喝上癮!冷飲Bar：調出你最愛喝、開店最吸睛的100款文青茶X纖果汁X急凍飲X潮咖啡X微氣泡，學會茶葉沖泡、彩虹漸層、虎紋掛杯的調飲技巧', '人氣RESSOURCES菓子工坊餅乾配方大公開!', '繽紛多彩法式凍派：磅蛋糕模型輕鬆做，精緻奢華百寶盒']"
飲食,【日本咖啡時光套書】（二冊）：《京都喫茶記事》、《日本純喫茶物語》,https://www.books.com.tw/img/001/092/20/0010922080.jpg,"田中慶一,山之內遼",日出出版,2022/04/25,優惠價：66折 574元,"本套書組合：《京都喫茶記事》+《日本純喫茶物語》（兩冊）
 
《京都喫茶記事》
 
擁有千年歷史的京都，其實還是座故事特別多的咖啡城市。
咖啡迷跟京都迷必定要珍藏的京都咖啡發展...more",https://www.books.com.tw/products/0010922080?loc=P_0005_010,"['秋刀魚 3月號/2022 第35期', '咖啡冠軍的手沖咖啡學：從了解自己喜歡的味道，找到專屬自己的咖啡配方', 'Hanako(2022.06)增刊：美味咖啡與新習慣特集。', '舌尖上的八大菜系：兩百餘道中餐名菜的緣起和典故，名廚帶你懂食材、有談資，會不會點菜，就看這本書。', '斷食善終——送母遠行，學習面對死亡的生命課題', '【MUJI無印良品】爆米花(奶油雞肉咖哩風味)/200g', '環遊日本摩托車日記【精裝版】：走遍47都道府縣、1741市町村，看見最美麗的日本風景', '栞與紙魚子1', '北台灣步道攻略完全制霸', '栞與紙魚子2', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '變化中的世界秩序：橋水基金應對國家興衰的原則', '【Celestial 詩尚草本】美國進口 香草南非國寶茶(20環保包)', '【統一生機】原味綜合堅果隨手包六入組 168g(28g*6包)/袋', '臺南日式建築紀行：地靈與現代主義的幸福同居(隨書附『手繪臺南日式街屋』書衣海報)', '老倫敦.從酒吧出發']"
