,分類,書名,作者,出版社,出版日期,優惠價,也買了
0,文學小說,村上T 我愛的那些T恤,村上春樹,時報出版,2022/05/31,優惠價：79折 300元,"['綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '[MUJI無印良品]即食迷你拉麵 (雞汁風味)/120g', '放歌(作者親簽版)', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '彼岸花盛開之島【日本原版書封】(台灣首位，芥川獎得獎作!)', '激流與倒影(平裝雲門《水月》雙面書衣)', '沒有女人的男人們(電影書腰全心出發版)', '【荷蘭史翠普】焦糖煎餅250g', '酒店開門之前 卜洛克的作家養成記', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '海幻 (限量作者親簽版)', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】', '如果我們的語言是威士忌', '失控的轟炸：人道與人性的交戰，造就二戰最漫長的一夜 (含8頁珍貴歷史圖片)', '玩笑【昆德拉手繪書封版】：米蘭.昆德拉奠定世界文壇地位的小說處女作，創作初心的終極展現!', '【ecostore】純淨香皂─80g/純羊奶', '銀之夜', '菜場搜神記：一個不買菜女子的市場踏查日記']"
1,文學小說,六個說謊的大學生【博客來獨家書衣版】（2022年本屋大賞第5名）,淺倉秋成,采實文化,2022/05/05,優惠價：79折 340元,"['在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', '祝葬', '小小世界【本屋大賞第3名、直木賞入圍作】(博客來獨家封面)', '徵人啟事', '前男友的遺書', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '新 推理要在晚餐後', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '偽魚販指南', '歡迎光臨夢境百貨2：找回不再做夢的人', '驗屍報告', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '知識複利：將內容變現，打造專家型個人品牌的策略', '我們想去的地方', '永遠的院子', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '白魔之塔 (複製簽名版)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '星期五的書店：夏天與汽水']"
2,文學小說,百鬼夜行卷8：狼人（月夜狼嚎PVC夜光書衣版）,笭菁,奇幻基地,2022/06/02,優惠價：79折 300元,"['百鬼夜行卷7：吸血鬼', '百鬼夜行卷6：黃色小飛俠', '丑時之女：異遊鬼簿II', '詭軼紀事‧肆：喪鐘平安夜', '百鬼夜行卷5：座敷童子', '詭軼紀事‧參：萬聖鐮血夜', '迴陰(金馬創投及台灣優良電影劇本改編小說)', '百鬼夜行卷4：火焚鬼', '(3包1套)哈哈傳統高透明書套 210', '天防者III：超感者', '百鬼夜行卷8：狼人', '綾羅歌.卷一~卷二.獨家限量作者親簽精緻燙金典藏書盒版', '【IPSA】 化妝棉_120入', 'ONE PIECE航海王 102 (首刷限定版)', '乩身：血月時魔王降臨 完', '詭軼紀事‧貳：中元萬鬼驚', '笭菁闇語2：厄鄰', '百鬼夜行卷3：魔神仔', '暗戀是憂鬱的青色', '[MUJI無印良品]自由換芯附蓋膠墨筆/紅0.38mm']"
3,文學小說,在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】,川口俊和,悅知文化,2022/04/27,優惠價：79折 284元,"['在咖啡冷掉之前【電影書腰版】', '在回憶消逝之前', '在謊言拆穿之前', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '你發生過什麼事：【Amazon及紐約時報暢銷第1名!】關於創傷如何影響大腦與行為，以及我們能如何療癒自己', '獅子的點心：2020本屋大賞TOP2!小川糸全新小說，感淚必至!', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '漣漪的夜晚：日本書店員票選「讀了必哭的書」TOP 1', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '永遠的院子', '歡迎光臨夢境百貨2：找回不再做夢的人', '星期五的書店：夏天與汽水', '本命，燃燒【芥川賞受賞作!文學三冠王達成!最衝擊普世價值之話題作品】', '偽魚販指南', '小小世界【本屋大賞第3名、直木賞入圍作】(博客來獨家封面)', '流浪的月【本屋大賞TOP1】', '歡迎光臨夢境百貨：您所訂購的夢已銷售一空', '別人怎麼對你，都因為你說的話']"
4,文學小說,綾羅歌．卷一～卷二．獨家限量作者親簽精緻燙金典藏書盒版,鄭丰,奇幻基地,2022/06/02,優惠價：79折 672元,"['海幻 (限量作者親簽版)', '天防者III：超感者', '放歌(作者親簽版)', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '男子漢【限量作者親簽版】', '你不能再死一次【博客來獨家親簽版】', '留在Tomo桑心底的日本味：想念家鄉的60道日式料理', '候鳥的女兒(作者親筆簽名扉頁版)', '武漢(博客來獨家簽名版)', '【荷蘭史翠普】焦糖煎餅250g', '武林舊事‧卷一：青城劣徒', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '零零落落【限量精裝版：每本附專屬收藏燙金編號及親蓋藏書印】', '我有結婚病【限量親簽版】', '千門【3+4套書】', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)', '流動日常：藝術蝦的繪畫日記【扉頁親簽版‧博客來獨家】', '【作者親簽版】頂級食材聖經：跟著摘星主廚Jimmy品嘗金字塔頂端的美味', '[MUJI 無印良品]棉棒(補充用)/200支', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】']"
5,文學小說,明年見，明天見（台北星夜版）,Middle,春天出版社,2022/05/20,優惠價：9折 288元,"['明年見，明天見(香港燈影版)', '【博客來獨家限量】你好，這裡是記憶花店(透‧深藍書衣版)', '好好再見 不負遇見', '不要再回覆他的短訊，好嗎', '時間，才是最後的答案', '想把餘生的溫柔都給你【12萬冊紀念版】', '一周七天，晴天雨天【獨家首刷限量作者親簽版+手寫傳情卡】：寫給每一個為生活努力的你', '大概是時間在煮我吧', '蘇菲 超輕柔護墊無香(40片 x 3包/組)', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦', '你好，這裡是記憶花店', '月亮是夜晚唯一的光芒', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '就算從未忘記(博客來獨家版)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '離開以後，你有沒有更自由', '曾經錯過的時間，曾經對過的你', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '凌物語：後來，我們都學會假裝不再在乎']"
6,文學小說,你不能再死一次【博客來獨家親簽版】,陳雪,鏡文學,2022/06/10,優惠價：79折 332元,"['留在Tomo桑心底的日本味：想念家鄉的60道日式料理', '海幻 (限量作者親簽版)', '親愛的共犯【親簽藏書票慶功典藏版】', '平家物語 犬王之卷(湯淺政明✕松本大洋《犬王》動畫原著)【獨家限量松本大洋海報版】', '我有結婚病【限量親簽版】', '未來還沒被書寫：搖滾樂及其所創造的(博客來獨家限量親簽)', '男子漢【限量作者親簽版】', '放歌(作者親簽版)', '武漢(博客來獨家簽名版)', '流動日常：藝術蝦的繪畫日記【扉頁親簽版‧博客來獨家】', '西北雨(作者親簽珍藏版)(二版)', '綾羅歌.卷一~卷二.獨家限量作者親簽精緻燙金典藏書盒版', '候鳥的女兒(作者親筆簽名扉頁版)', '【作者親簽版】頂級食材聖經：跟著摘星主廚Jimmy品嘗金字塔頂端的美味', '[MUJI無印良品]自由換芯膠墨筆芯/黑0.38mm', '零零落落【限量精裝版：每本附專屬收藏燙金編號及親蓋藏書印】', '龍之國幻想1：欺騙神明的皇子(作者親簽版)', '空心人：擁抱渴望被愛的靈魂【獨家書衣親簽版，加贈心理練習卡2張組(兩款隨機出貨)】', '原來你什麼都不想要(博客來獨家作者親簽版)', '第二代馬蘭吟唱隊&董事長跨界大樂團 / Pakelang 八歌浪 (CD)']"
7,文學小說,【博客來獨家限量】你好，這裡是記憶花店（透‧深藍書衣版）,肆一,三采,2022/04/29,優惠價：79折 300元,"['遺憾收納員【療癒加贈：收納遺憾.讀寫本】', '心想事成加值驚喜包!【1書+2日記】3分鐘未來日記：寫下的願望真的都實現了!', '好好再見 不負遇見', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '無法成為你期待的樣子，我不抱歉', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', '大概是時間在煮我吧', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '時間，才是最後的答案', '歡迎光臨夢境百貨2：找回不再做夢的人', '練習，喜歡自己：一天一點，比昨天更喜歡今天的自己', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '好好生活 慢慢相遇：30歲，想把溫柔留給自己', '歡迎光臨夢境百貨：您所訂購的夢已銷售一空', '你在左邊放了一句再見【日落巴黎‧雋永版】', '我們都會好好的：不安沒關係，脆弱與寂寞也沒關係，今天的你會很好，明天也是', '明年見，明天見(台北星夜版)', '在不完美的生活裡，找到完整的自己', '你以為的偶然，都是人生的必然：通透好命的本質，解生活的憂，排人生的苦']"
8,文學小說,流沙,晨羽,城邦原創,2022/06/02,優惠價：79折 269元,"['暗戀是憂鬱的青色', '看見雪的日子', '寫給妳的那一個故事', '你是我最想擁有的以後', '想把餘生的溫柔都給你【12萬冊紀念版】', '死神第3部門：追憶', '親愛的，這也是戀愛', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '藍空', '月亮是夜晚唯一的光芒', '如果你也聽說', '在說出再見之前【百萬暢銷小說《在咖啡冷掉之前》迸淚續作】', 'BUTLER 抗菌舌苔刷1支─軟毛(顏色隨機)', '一的情書', '這麼多年 上中下(3冊合售)', '十二夢', '有情人間：不遺忘的溫柔書寫', '百鬼夜行卷8：狼人(月夜狼嚎PVC夜光書衣版)', '釀春光', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)']"
9,文學小說,彼岸花盛開之島【日本原版書封】（台灣首位，芥川獎得獎作！）,李琴峰,聯合文學,2022/06/01,優惠價：79折 308元,"['運動比你想的還輕鬆：終結惰性、突破限制的人性化運動', '村上T 我愛的那些T恤', '激流與倒影(平裝雲門《水月》雙面書衣)', '沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', '海幻 (限量作者親簽版)', '你不能再死一次【博客來獨家親簽版】', '銀之夜', '菜場搜神記：一個不買菜女子的市場踏查日記', '就像現在這樣', '男子漢【限量作者親簽版】', '偽魚販指南', '博士熱愛的算式(首屆本屋大賞TOP 1獲獎傑作・小川洋子最膾炙人口作品)', '北極星灑落之夜', '尋找母樹：樹聯網的祕密', '十字路', '放歌(作者親簽版)', '彼岸花が咲く島', '獨舞', '狂言賽博格(附印刷簽名越前和紙扉頁&野村家名物「蜻蜓肩衣」典藏書卡)', 'LION日本獅王 NONIO牙刷 細柔按摩 單入 (顏色隨機出貨)']"
