Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.10-10.42.0.42-443-39551-6,10.42.0.42,39551,172.217.11.10,443,6,12/07/2017 11:19:35,36881,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,840.54120007592,81.34269678154064,18440.5,25497.563422805717,36470.0,411.0,0,0,0,0,0,411.0,411.0,0.0,411.0,411.0,1,0,0,0,32,64,27.114232260513546,54.22846452102709,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2559,511,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.42-443-37549-6,10.42.0.42,37549,172.217.11.46,443,6,12/07/2017 11:19:35,36894,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,623.4076001517861,54.209356534937925,36894.0,0.0,36894.0,36894.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.104678267468962,27.104678267468962,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,BENIGN
205.185.216.10-10.42.0.42-80-35611-6,10.42.0.42,35611,205.185.216.10,80,6,12/07/2017 11:19:41,27676,4,1,642.0,0.0,642.0,0.0,160.5,321.0,0.0,0.0,0.0,0.0,23196.99378522908,180.6619453678277,6919.0,8911.354704345837,20079.0,541.0,27676.0,9225.333333333334,11891.02789221072,22778.0,541.0,0,0,0,0,0,0,0,0,0,136,40,144.5295562942622,36.13238907356555,0.0,642.0,107.0,262.09540247780006,68694.0,0,0,0,1,0,0,0,0,0.0,128.4,160.5,0.0,136,0,0,0,0,0,0,4,642,1,0,65535,14480,1,32,0,0,0,0,0,0,0,0,BENIGN
205.185.216.10-10.42.0.42-80-35611-6,205.185.216.10,80,10.42.0.42,35611,6,12/07/2017 11:19:41,4053,4,0,667.0,0.0,346.0,0.0,166.75,192.81662272739868,0,0,0,0,164569.45472489513,986.9232667160128,1351.0,1533.867008576689,3027.0,17.0,4053.0,1351.0,1533.867008576689,3027.0,17.0,0,0,0,0,0,0,0,0,0,128,0,986.9232667160128,0.0,0.0,346.0,133.4,182.87919509884114,33444.8,0,0,0,0,1,0,0,0,0.0,166.75,166.75,0.0,128,0,0,0,0,0,0,4,667,0,0,31,-1,2,32,0,0,0,0,0,0,0,0,BENIGN
175.100.207.204-10.42.0.42-80-36744-6,10.42.0.42,36744,175.100.207.204,80,6,12/07/2017 11:19:31,10442135,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3830634252478061,3480711.6666666665,5677498.79915217,1.003632E7,158274.0,1.0442135E7,5221067.5,6809795.391750952,1.003632E7,405815.0,0,0,0,0,0,0,0,0,0,80,32,0.28729756893585456,0.09576585631195153,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,29200,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.204-10.42.0.42-80-36745-6,10.42.0.42,36745,175.100.207.204,80,6,12/07/2017 11:19:31,10328461,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3872793826689184,3442820.3333333335,5711373.762171964,1.0036371E7,29394.0,1.0328461E7,5164230.5,6890247.172887232,1.0036371E7,292090.0,0,0,0,0,0,0,0,0,0,80,32,0.2904595370016888,0.0968198456672296,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,29200,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.233-10.42.0.42-80-33722-6,10.42.0.42,33722,175.100.207.233,80,6,12/07/2017 11:19:37,5530155,4,4,448.0,354.0,448.0,0.0,112.0,224.00000000000003,354.0,0.0,88.5,177.0,145.02305993231656,1.4466140641627587,790022.142857143,1858976.9775623393,4998634.0,49.0,531521.0,177173.66666666666,154892.75877307283,287228.0,49.0,5290292.0,1763430.6666666667,2805413.0781038883,5000778.0,44611.0,0,0,0,0,100,92,0.7233070320813794,0.7233070320813794,0.0,448.0,89.11111111111111,178.3791218475725,31819.11111111111,0,0,0,1,0,0,0,0,1.0,100.25,112.0,88.5,100,0,0,0,0,0,0,4,448,4,354,65535,30,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-58.215.168.151-36825-80-6,10.42.0.42,36825,58.215.168.151,80,6,12/07/2017 11:19:40,2834183,5,4,1040.0,1014.0,520.0,0.0,208.0,284.81572990268637,1014.0,0.0,253.5,507.0,724.7238445788433,3.175518306333783,354272.875,457938.2143004626,1107648.0,483.0,1841173.0,460293.25,464788.62897047086,1107648.0,483.0,2474185.0,824728.3333333334,751203.0891805048,1472746.0,1359.0,0,0,0,0,120,92,1.7641768368521018,1.4113414694816813,0.0,1014.0,205.4,357.0098660323611,127456.04444444443,0,0,0,1,0,0,0,0,0.0,228.22222222222223,208.0,253.5,120,0,0,0,0,0,0,5,1040,4,1014,65535,14,2,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.204-10.42.0.42-80-36748-6,10.42.0.42,36748,175.100.207.204,80,6,12/07/2017 11:19:33,10588546,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377766692424059,3529515.3333333335,5811478.743336874,1.0239616E7,109681.0,348930.0,348930.0,0.0,348930.0,348930.0,1.0349297E7,1.0349297E7,0.0,1.0349297E7,1.0349297E7,0,0,0,0,60,52,0.1888833462120295,0.1888833462120295,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.204-10.42.0.42-80-36747-6,10.42.0.42,36747,175.100.207.204,80,6,12/07/2017 11:19:33,10641188,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37589787907139693,3547062.6666666665,5811275.8556606425,1.0256971E7,130670.0,384217.0,384217.0,0.0,384217.0,384217.0,1.0387641E7,1.0387641E7,0.0,1.0387641E7,1.0387641E7,0,0,0,0,60,52,0.18794893953569847,0.18794893953569847,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,BENIGN
