Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.206-10.42.0.151-443-52896-6,10.42.0.151,52896,216.58.219.206,443,6,12/07/2017 05:41:49,37242,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,617.5822995542667,53.702808656892756,37242.0,0.0,37242.0,37242.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.851404328446378,26.851404328446378,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1591,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.151-443-46311-6,10.42.0.151,46311,172.217.12.138,443,6,12/07/2017 05:41:52,37742,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.99136240792751,37742.0,0.0,37742.0,37742.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.495681203963755,26.495681203963755,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-48453-443-6,10.42.0.151,48453,31.13.71.3,443,6,12/07/2017 05:42:01,240697,6,7,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,28.714285714285715,50.07898523237828,5326.198498527194,54.009813167592455,20058.083333333332,31609.861782385495,109084.0,4.0,101827.0,20365.4,28509.969244108277,65626.0,1185.0,210927.0,35154.5,45271.10263181139,109084.0,4.0,0,0,0,0,200,232,24.92760607735036,29.08220709024209,0.0,537.0,91.57142857142857,183.43798544874642,33649.494505494506,0,0,0,1,0,0,0,0,1.0,98.61538461538461,180.16666666666666,28.714285714285715,200,0,0,0,0,0,0,6,1081,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-48453-443-6,10.42.0.151,48453,31.13.71.3,443,6,12/07/2017 05:42:01,7277,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,4259.997251614676,412.2577985433558,3638.5,3611.194331519698,6192.0,1085.0,1085.0,1085.0,0.0,1085.0,1085.0,0,0,0,0,0,1,0,0,0,64,32,274.8385323622372,137.4192661811186,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
157.55.130.167-10.42.0.151-40019-52868-6,10.42.0.151,52868,157.55.130.167,40019,6,12/07/2017 05:42:16,46217,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.27411991258628,46217.0,0.0,46217.0,46217.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.63705995629314,21.63705995629314,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1411,35,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.101.115.193-46946-443-6,10.42.0.151,46946,23.101.115.193,443,6,12/07/2017 05:42:16,49480,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.420371867421174,49480.0,0.0,49480.0,49480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.210185933710587,20.210185933710587,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-65.52.108.74-49320-443-6,10.42.0.151,49320,65.52.108.74,443,6,12/07/2017 05:42:16,50028,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.96641880546893,25014.0,35355.33905932738,50014.0,14.0,0,0,0,0,0,14.0,14.0,0.0,14.0,14.0,0,0,0,0,32,64,19.988806268489643,39.97761253697929,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.208.28.54-43029-443-6,10.42.0.151,43029,104.208.28.54,443,6,12/07/2017 05:42:16,51427,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.89007719680323,51427.0,0.0,51427.0,51427.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.445038598401617,19.445038598401617,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-104.43.254.159-60643-443-6,10.42.0.151,60643,104.43.254.159,443,6,12/07/2017 05:42:16,76073,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.290536721307166,76073.0,0.0,76073.0,76073.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13.145268360653583,13.145268360653583,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-91.190.216.59-42705-12350-6,10.42.0.151,42705,91.190.216.59,12350,6,12/07/2017 05:42:16,120139,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.647383447506638,120139.0,0.0,120139.0,120139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.323691723753319,8.323691723753319,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
